STATION,STATION_NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DP01,DSNW,DT00,DT32,DX70,DX90,EMNT,EMSN,EMXP,EMXT,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1983-07,6,0,0,0,31,16,-11.6111,0.0,670.56,2.2778,-3.2778,624.84,477.266,-1.7222,-2.3889,-3.2778
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1983-08,5,0,0,0,30,12,-11.8889,0.0,1109.98,2.0,-2.6667,612.14,483.87,-1.9444,-2.6111,-3.2222
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1983-09,5,0,0,0,24,7,-16.2222,0.0,980.44,2.6111,-4.8333,482.6,377.19,-3.9444,-4.2778,-5.2778
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1983-10,11,0,0,2,8,0,-19.9444,0.0,1353.82,-1.4444,-7.8889,297.18,219.964,-7.9444,-8.0556,-8.4444
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1984-05,15,0,0,0,16,0,-16.8333,0.0,1831.34,-1.1111,-8.5,175.26,288.29,-8.6667,-8.9444,-9.6667
USC00286055,"NEW BRUNSWICK 3 SE, NJ US",40.47282,-74.42259,33.8,1984-08,9,0,0,0,31,5,-12.2222,0.0,1089.66,0.4444,-5.4444,457.2,501.396,-3.0556,-3.1111,-3.6667
USC00395544,"MILESVILLE 5 NE, SD US",44.5171,-101.6184,681.8,2015-03,4,0,2,22,10,0,-28.8889,330.2,33.02,-1.4444,-14.0556,152.4,170.18,-17.7778,-14.8889,-14.9444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2012-10,8,0,0,12,5,0,-20.5556,0.0,485.14,-3.8889,-11.0,238.76,337.82,-11.0,-10.6667,-11.0
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2012-11,6,0,0,19,0,0,-25.1667,381.0,213.36,-7.0,-14.0556,99.06,182.88,-17.4444,-17.1667,-16.8333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2012-12,8,3,2,31,0,0,-28.5556,6781.8,749.3,-11.2778,-16.2222,55.88,111.76,-18.1111,-17.7778,-17.4444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-01,9,1,11,31,0,0,-32.0,2184.4,238.76,-15.3333,-17.7778,0.0,55.88,-22.7222,-22.3889,-21.7778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-02,9,7,7,28,0,0,-32.0,1930.4,426.72,-16.2222,-18.7222,-15.24,43.18,-20.8889,-20.5556,-20.2222
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-03,12,4,0,30,0,0,-27.0556,4064.0,335.28,-12.2222,-17.7778,0.0,27.94,-18.7222,-18.7222,-18.7222
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-05,17,0,0,6,11,1,-18.7222,330.2,1214.12,1.3333,-9.1111,127.0,83.82,-15.0,-14.6667,-14.6667
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-06,16,0,0,0,22,0,-13.1667,0.0,1290.32,-0.1667,-5.7222,365.76,325.12,-9.1111,-9.1111,-9.4444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-08,5,0,0,0,31,5,-11.8889,0.0,419.1,1.3333,-3.8889,535.94,492.76,-5.1111,-5.7222,-6.3333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-09,7,0,0,0,22,3,-15.6111,0.0,347.98,0.4444,-5.4444,480.06,508.0,-7.0,-7.2778,-7.2778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-10,14,0,0,8,7,0,-19.6111,0.0,904.24,-3.5556,-9.7778,226.06,325.12,-11.6111,-11.2778,-11.0
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-11,4,1,0,25,0,0,-26.1111,1168.4,162.56,-10.6667,-13.7778,55.88,142.24,-17.7778,-17.7778,-17.1667
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2013-12,12,9,15,31,0,0,-31.6667,1752.6,289.56,-14.0556,-17.7778,27.94,83.82,-17.7778,-17.7778,-17.4444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-01,10,8,24,31,0,0,-35.0556,2717.8,218.44,-15.6111,-17.7778,15.24,55.88,-18.1111,-18.1111,-17.7778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-02,5,3,21,28,0,0,-32.6111,6248.4,612.14,-15.0,-17.7778,15.24,43.18,-18.1111,-17.7778,-17.1667
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-03,5,1,4,29,0,0,-33.2222,1879.6,264.16,-10.3889,-17.4444,15.24,43.18,-17.7778,-17.7778,-17.1667
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-04,14,2,0,13,1,0,-22.3889,6070.6,1206.5,-5.1111,-14.0556,15.24,43.18,-17.7778,-17.7778,-17.4444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-06,15,0,0,0,26,0,-12.2222,0.0,1206.5,-0.7778,-6.6667,464.82,396.24,-7.2778,-7.6111,-7.2778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-07,7,0,0,0,30,2,-11.2778,0.0,548.64,0.4444,-6.3333,535.94,508.0,-5.7222,-6.0556,-6.3333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-08,14,0,0,0,31,0,-10.3889,0.0,863.6,-0.5,-4.8333,551.18,523.24,-6.0556,-6.3333,-7.2778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-09,9,0,0,0,19,0,-16.5556,0.0,510.54,-1.4444,-6.3333,424.18,436.88,-8.5,-8.8333,-8.8333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-10,7,0,0,5,1,0,-19.9444,0.0,381.0,-5.7222,-10.0556,281.94,325.12,-12.5556,-12.5556,-12.5556
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-11,11,5,2,26,0,0,-28.8889,1295.4,175.26,-10.3889,-14.0556,83.82,170.18,-17.4444,-17.4444,-16.8333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2014-12,11,2,4,27,0,0,-29.8333,3098.8,187.96,-12.5556,-16.8333,43.18,99.06,-17.7778,-17.7778,-17.1667
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-01,6,1,12,31,0,0,-31.3333,1549.4,71.12,-14.6667,-17.7778,27.94,55.88,-18.3889,-18.3889,-17.7778
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-02,4,3,19,28,0,0,-31.3333,1549.4,83.82,-17.1667,-18.7222,-43.18,27.94,-21.1667,-20.8889,-19.9444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-03,6,3,4,27,0,0,-30.4444,2260.6,167.64,-8.2222,-17.4444,-55.88,15.24,-20.2222,-20.2222,-19.9444
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-04,10,0,0,8,6,0,-19.6111,203.2,414.02,-2.9444,-13.1667,0.0,15.24,-16.5556,-16.5556,-16.8333
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-05,12,0,0,0,14,0,-17.1667,0.0,581.66,-2.0556,-8.8333,281.94,182.88,-11.0,-11.0,-11.8889
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,2015-06,12,0,0,0,25,1,-13.7778,0.0,607.06,0.4444,-6.3333,381.0,325.12,-7.8889,-8.2222,-8.8333
