"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00108899","1921-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","13.0","2,6","8",",6","3",",6","0",",6","","","0",",6","0","1,6","0","1,6","0","1,6","17","1,6","0","1,6","","","2.2","1,6,23,","","","0",",,6,31,+","18.8",",,6,15,","30.0","1,6,02,+","257.3","","113.0","1,6","36.6",",,,6","0",",,,6","14.87","2,6","20.89","1,,,6","8.85","1,,,6"
"USC00108899","1921-09","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","","","","","","","","","","","0",",6","24",",6","","","","","","","","","-5.0",",6,14,+","","","","","","","","","","","","","","","","","","","","","-1.39",",,,6"
"USC00108899","1922-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","16.4",",6","6",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","0",",6","","","3.9",",6,10,+","","","","","5.3",",,6,08,","27.2",",6,31,","90.8","","90.8",",6","17.2",",,,6","","","15.93",",6","20.81",",,,6","11.05",",,,6"
"USC00108899","1922-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","31.0","1,6","6",",6","4",",6","0",",6","","","0",",6","0","1,6","0","1,6","0","1,6","18","1,6","0","1,6","","","1.7","1,6,13,","","","0",",,6,31,+","17.3",",,6,12,","30.6","1,6,01,","179.9","","89.1","1,6","35.1",",,,6","0",",,,6","16.40","1,6","22.12","1,,,6","10.67","1,,,6"
"USC00108899","1923-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","4",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","4.8",",,6,07,","","","","","","","13.9",",,,6","0",",,,6","","","","","",""
"USC00108899","1923-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","6",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","25.7",",,6,20,","","","","","","","50.8",",,,6","0",",,,6","","","","","",""
"USC00108899","1924-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","","","","","","","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00108899","1924-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00108899","1925-06","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","1.3",",,6,21,","","","","","","","2.1",",,,6","","","","","","","",""
"USC00108899","1925-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","9.6","1,6","6",",6","6",",6","0",",6","","","","","0",",6","0",",6","0","1,6","28","1,6","0","1,6","","","4.4",",6,11,+","","","","","6.4",",,6,17,","30.0","1,6,17,","58.8","","58.8","1,6","23.9",",,,6","","","16.67","1,6","24.28","1,,,6","9.07",",,,6"
"USC00108899","1926-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","49.5","3,6","","","","","","","","","","","0","1,6","0","1,6","0","2,6","24","2,6","1","2,6","2","","4.4","1,6,27,+","","","","","","","37.8","2,6,14,","33.3","","33.3","2,6","","","","","18.63","3,6","23.81","2,,,6","13.46","1,,,6"
"USC00108899","1926-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","11.8",",6","","","","","","","","","","","0",",6","0",",6","0",",6","17",",6","0",",6","","","1.1",",6,31,","","","","","","","27.8",",6,26,+","166.1","","132.8",",6","","","","","14.43",",6","19.72",",,,6","9.14",",,,6"
"USC00108899","1927-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","17.4",",6","7",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","19",",6","0",",6","","","2.2",",6,05,","","","","","2.0",",,6,04,+","29.4",",6,24,","107.0","","107.0",",6","9.5",",,,6","","","15.44",",6","20.84",",,,6","10.05",",,,6"
"USC00108899","1927-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","6.4",",6","8",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","0",",6","","","1.1",",6,31,","","","","","21.8",",,6,31,","27.2",",6,19,","233.1","","126.1",",6","51.0",",,,6","","","14.47",",6","20.16",",,,6","8.78",",,,6"
"USC00108899","1928-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","46.6",",6","8",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","17",",6","0",",6","","","2.8",",6,06,","","","","","7.1",",,6,16,","30.6",",6,26,","108.3","","108.3",",6","12.2",",,,6","","","16.34",",6","21.54",",,,6","11.14",",,,6"
"USC00108899","1929-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","0.3",",,6,19,+","","","","","","","0.6",",,,6","","","","","","","",""
"USC00108899","1929-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","36.9",",6","3",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","1.1",",6,19,","","","","","7.1",",,6,26,","30.6",",6,30,","","","44.3",",6","7.9",",,,6","","","18.09",",6","24.71",",,,6","11.48",",,,6"
"USC00108899","1931-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","31.3",",6","4",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","1",",6","","","3.3",",6,11,+","","","","","8.1",",,6,03,","32.2",",6,20,","85.9","","85.9",",6","15.4",",,,6","","","16.57",",6","22.75",",,,6","10.40",",,,6"
"USC00108899","1932-07","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","14.4",",6","4",",6","2",",6","0",",6","","","","","0",",6","1",",6","0",",6","12",",6","0",",6","","","-0.6",",6,04,","","","","","13.5",",,6,03,","30.6",",6,27,","151.7","","151.7",",6","24.2",",,,6","","","13.90",",6","19.76",",,,6","8.05",",,,6"
"USC00108899","1932-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","22.0",",6","5",",6","2",",6","0",",6","","","","","0",",6","2",",6","0",",6","19",",6","0",",6","","","-2.2",",6,29,","","","","","11.4",",,6,11,","30.0",",6,17,+","291.1","","139.4",",6","23.2",",,,6","","","14.54",",6","20.25",",,,6","8.84",",,,6"
"USC00108899","1933-08","47.566667","-115.833333","1958.0","SUNSET PEAK, ID US","","","7",",6","3",",6","0",",6","0",",6","0",",6","0",",","0",",6","","","","","","","4","","1.1",",6,20,","0",",,6,31,+","0",",,6,31,+","18.0",",,6,05,","","","","","","","29.9",",,,6","0",",,,6","","","","","12.68",",,,6"
