"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AUM00011155","1996-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","16","2,S","12","2,S","0","2,S","28","2,","","","","","6","4,S","0","4,S","0","4,S","","","1300","2,,S,16,+","18.0","2,,S,03,","15.5","4,S,23,","","","","","111.9","2,,,S","","","5.19","4,,,S","",""
"AUM00011155","1996-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","20.4","5,S,18,","","","","","","","","","10.64","5,,,S","",""
"AUM00011155","1996-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","10","5,S","7","5,S","0","5,S","31",",","","","","","","","","","","","","","450",",,S,04,+","17.0","5,,S,03,","","","","","","","66.0","5,,,S","","","","","",""
"AUM00011155","1997-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","29","2,","","","","","","","","","","","","","371","2,,S,06,+","","","","","","","","","","","","","","","",""
"AUM00011155","1997-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","25","3,","","","","","","","","","","","","","701","3,,S,20,+","","","","","","","","","","","","","","","",""
"AUM00011155","1997-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","27","4,","","","","","","","","","","","","","1199","4,,S,30,","","","","","","","","","","","","","","","",""
"AUM00011155","1997-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","25","5,","","","","","","","","","","","","","1430","5,,S,23,","","","","","","","","","","","","","","","",""
"AUM00011155","1997-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","19.9","5,S,15,","","","","","","","","","11.20","5,,,S","",""
"AUM00011155","1997-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","1","2,S","0","2,S","","","","","","","22.1","2,S,29,","","","","","","","","","13.46","2,,,S","",""
"AUM00011155","1997-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","","","18.5","3,S,25,","","","","","","","","","15.13","3,,,S","",""
