"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00206371","1888-01","42.01667","-85.55","265.2","PARKVILLE, MI US","","","14",",6","9",",6","0",",6","7",",6","","","","","","","","","","","","","","","","","51",",,6,25,+","17.8",",,6,04,","","","","","61.9",",,,6","347",",,,6","","","","","",""
"USC00206371","1888-02","42.01667","-85.55","265.2","PARKVILLE, MI US","","","8",",6","7",",6","0",",6","3",",6","","","","","","","","","","","","","","","","","25",",,6,25,+","22.4",",,6,24,","","","","","51.1",",,,6","88",",,,6","","","","","",""
"USC00206371","1888-03","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","8",",6","0",",6","3",",6","","","","","","","","","","","","","","","","","38",",,6,27,+","16.8",",,6,01,","","","","","71.2",",,,6","140",",,,6","","","","","",""
"USC00206371","1888-04","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","16.5",",,6,09,","","","","","48.3",",,,6","","","","","","","",""
"USC00206371","1888-05","42.01667","-85.55","265.2","PARKVILLE, MI US","","","13",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","","","","","51.8",",,6,11,","","","","","173.2",",,,6","","","","","","","",""
"USC00206371","1888-06","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","33.8",",,6,27,","","","","","68.4",",,,6","","","","","","","",""
"USC00206371","1888-07","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18.3",",,6,06,","","","","","47.6",",,,6","","","","","","","",""
"USC00206371","1888-08","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","11.2",",,6,07,","","","","","17.7",",,,6","","","","","","","",""
"USC00206371","1888-09","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","21.6",",,6,15,","","","","","60.0",",,,6","","","","","","","",""
"USC00206371","1888-10","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.0",",,6,05,","","","","","54.0",",,,6","","","","","","","",""
"USC00206371","1888-11","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","6",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","76",",,6,18,","55.6",",,6,08,","","","","","88.9",",,,6","110",",,,6","","","","","",""
"USC00206371","1888-12","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","7",",6","0",",6","2",",6","","","","","","","","","","","","","","","","","38",",,6,05,","15.5",",,6,16,","","","","","62.8",",,,6","71",",,,6","","","","","",""
"USC00206371","1889-01","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","6",",6","0",",6","4",",6","","","","","","","","","","","","","","","","","102",",,6,09,","17.8",",,6,16,","","","","","65.9",",,,6","327",",,,6","","","","","",""
"USC00206371","1889-02","42.01667","-85.55","265.2","PARKVILLE, MI US","","","15",",6","10",",6","0",",6","7",",6","","","","","","","","","","","","","","","","","152",",,6,18,","15.2",",,6,18,","","","","","67.2",",,,6","496",",,,6","","","","","",""
"USC00206371","1889-03","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","7",",6","0",",6","6",",6","","","","","","","","","","","","","","","","","51",",,6,30,+","22.1",",,6,30,","","","","","64.0",",,,6","215",",,,6","","","","","",""
"USC00206371","1889-04","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","5",",6","0",",6","1",",6","","","","","","","","","","","","","","","","","25",",,6,05,","10.2",",,6,11,","","","","","28.0",",,,6","25",",,,6","","","","","",""
"USC00206371","1889-05","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","7",",6","2",",6","0","1,6","","","","","","","","","","","","","","","","","0","1,T,6,21,","56.9",",,6,29,","","","","","129.2",",,,6","0","1,T,,6","","","","","",""
"USC00206371","1889-06","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","27.9",",,6,16,","","","","","84.4",",,,6","","","","","","","",""
"USC00206371","1889-07","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","7",",6","3",",6","","","","","","","","","","","","","","","","","","","","","130.8",",,6,18,","","","","","277.7",",,,6","","","","","","","",""
"USC00206371","1889-08","42.01667","-85.55","265.2","PARKVILLE, MI US","","","4",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","","","","","25.4",",,6,09,","","","","","29.2",",,,6","","","","","","","",""
"USC00206371","1889-09","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.9",",,6,05,","","","","","33.7",",,,6","","","","","","","",""
"USC00206371","1889-10","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","13.0",",,6,30,","","","","","46.6",",,,6","","","","","","","",""
"USC00206371","1891-10","42.01667","-85.55","265.2","PARKVILLE, MI US","8.9",",6","8",",6","4",",6","0",",6","","","0",",6","4",",6","0",",6","4",",6","0",",6","","","","","-4.4",",6,28,","","","7.6",",,6,15,+","30.6",",6,02,","262.3",",6","28.0",",,,6","","","10.16",",6","15.73",",,,6","4.59",",,,6"
"USC00206371","1891-12","42.01667","-85.55","265.2","PARKVILLE, MI US","0.0","2,6","8",",6","3",",6","0",",6","4",",6","0","2,6","20","2,6","4","2,6","0","2,6","0","2,6","","","","","-11.7","2,6,27,","127",",,6,06,","13.5",",,6,06,","13.9","2,6,03,","477.7","2,6","38.7",",,,6","254",",,,6","1.86","2,6","6.74","2,,,6","-3.02","2,,,6"
"USC00206371","1892-03","42.01667","-85.55","265.2","PARKVILLE, MI US","","","8",",6","7",",6","0",",6","4",",6","","","","","","","","","","","","","","","","","25",",,6,19,+","17.8",",,6,22,","","","","","54.0",",,,6","113",",,,6","","","","","",""
"USC00206371","1892-04","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","8",",6","0",",6","2",",6","","","","","","","","","","","","","","","","","76",",,6,14,","15.2",",,6,03,","","","","","79.5",",,,6","127",",,,6","","","","","",""
"USC00206371","1892-06","42.01667","-85.55","265.2","PARKVILLE, MI US","","","19",",6","15",",6","0",",6","","","","","","","","","","","","","","","","","","","","","17.8",",,6,26,+","","","","","151.8",",,,6","","","","","","","",""
"USC00206371","1892-07","42.01667","-85.55","265.2","PARKVILLE, MI US","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","7","","","","","","27.9",",,6,02,","","","","","59.9",",,,6","","","","","","","",""
"USC00206371","1892-08","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","1","","5","","","","","","12.7",",,6,01,","","","","","25.1",",,,6","","","","","","","",""
"USC00206371","1892-09","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","35.6",",,6,13,","","","","","87.6",",,,6","","","","","","","",""
"USC00206371","1892-10","42.01667","-85.55","265.2","PARKVILLE, MI US","","","8",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.1",",,6,31,+","","","","","16.1",",,,6","","","","","","","",""
