"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014835","1944-01","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","7",",6","0",",6","0",",6","","","","","","","-15.0",",6,13,","0",",T,6,08,+","0",",T,6,19,+","","","17.8",",6,27,+","","","551.2",",6","","","0",",T,,6","0.55",",6","5.48",",,,6","-4.38",",,,6","","","","","","","","","","","",""
"USW00014835","1944-02","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0","1,6","7",",6","6",",6","0",",6","11",",6","3",",6","2",",6","23",",6","7","1,6","0","1,6","0","1,6","","","","","","","-21.1",",6,13,","178",",,6,13,+","152",",,6,10,","22.4",",,6,25,","20.6","1,6,26,","","","508.6","1,6","50.1",",,,6","218",",,,6","0.28","1,6","4.93","1,,,6","-4.37",",,,6","","","","","","","","","","","",""
"USW00014835","1944-03","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0","2,6","14",",6","7",",6","0",",6","1",",","","","0","1,6","22","1,6","4","1,6","0","1,6","0","1,6","","","","","","","-9.4","1,6,10,+","254",",,6,04,","","","18.3",",,6,04,","18.9","1,6,15,","","","469.7","1,6","60.7",",,,6","","","2.15","2,6","7.12","1,,,6","-2.82","1,,,6","","","","","","","","","","","",""
"USW00014835","1944-04","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0",",6","11",",6","8",",6","3",",6","0",",6","0",",6","0",",6","7",",6","1",",6","3",",6","0",",6","","","","","","","-5.0",",6,05,+","0",",,6,30,+","0",",,6,30,+","34.8",",,6,11,","22.2",",6,23,","","","270.3",",6","143.9",",,,6","0",",,,6","9.32",",6","14.42",",,,6","4.22",",,,6","","","","","","","","","","","",""
"USW00014835","1944-05","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","99.3","","99.3",",6","14",",6","9",",6","2",",6","0",",","","","0",",6","0",",6","0",",6","24",",6","2",",6","","","","","","","0.6",",6,06,","0",",,6,31,+","","","25.7",",,6,22,","32.8",",6,26,","","","57.4",",6","118.5",",,,6","","","19.69",",6","25.38",",,,6","13.99",",,,6","","","","","","","","","","","",""
"USW00014835","1944-06","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","265.1","","165.8",",6","7",",6","6",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","28",",6","9",",6","","","","","","","7.2",",6,07,","0",",,6,30,+","","","11.4",",,6,14,","37.8",",6,28,","","","10.0",",6","35.3",",,,6","","","23.53",",6","29.56",",,,6","17.50",",,,6","","","","","","","","","","","",""
"USW00014835","1944-07","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","449.8","","184.7","4,6","7",",6","2",",6","0",",6","0",",","","","0","4,6","0","4,6","0",",6","31",",6","19",",6","","","","","","","9.4","4,6,21,","0",",,6,31,+","","","18.8",",,6,26,","38.3",",6,10,","0.0","","0.0",",6","32.2",",,,6","","","24.86","4,6","32.24",",,,6","17.49","4,,,6","","","","","","","","","","","",""
"USW00014835","1944-08","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","628.1","","178.3",",6","9",",6","5",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","29",",6","14",",6","","","","","","","9.4",",6,19,","0",",,6,31,+","","","24.4",",,6,31,","36.1",",6,10,+","3.9","","3.9",",6","76.6",",,,6","","","23.96",",6","29.78",",,,6","18.13",",,,6","","","","","","","","","","","",""
"USW00014835","1944-09","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","695.0","","66.9",",6","6",",6","4",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","26",",6","1",",6","","","","","","","4.4",",6,25,","0",",,6,30,+","","","17.8",",,6,28,","32.8",",6,03,","41.6","","37.7",",6","30.5",",,,6","","","19.31",",6","25.41",",,,6","13.20",",,,6","","","","","","","","","","","",""
"USW00014835","1944-10","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","707.3","","12.3",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","3",",6","0",",6","11",",6","0",",6","","","","","","","-1.7",",6,16,","","","0",",,6,31,+","23.1",",,6,05,","28.9",",6,06,","233.3","","191.7",",6","53.6",",,,6","0",",,,6","12.54",",6","18.82",",,,6","6.26",",,,6","","","","","","","","","","","",""
"USW00014835","1944-11","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","709.2","","1.9","2,6","14",",6","5",",6","0",",6","0",",6","0",",6","0","2,6","8","2,6","1",",6","2",",6","0",",6","","","","","","","-6.1","2,6,30,","0",",T,6,30,+","3",",,6,29,","14.5",",,6,03,","24.4",",6,01,","563.4","","330.1",",6","54.0",",,,6","3",",,,6","6.53","2,6","9.63",",,,6","3.43","2,,,6","","","","","","","","","","","",""
"USW00014835","1945-01","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","6","0.0",",6","7",",6","1",",6","0",",6","31",",","","","3",",6","31",",6","21",",6","0",",6","0",",6","","","","","","","-19.4",",6,02,","127",",,6,10,","","","3.0",",,6,10,","5.0",",6,12,","","","732.7",",6","8.6",",,,6","","","-5.30",",6","-1.79",",,,6","-8.82",",,,6","","","","","","","","","","","",""
"USW00014835","1945-02","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","6","0.0","1,6","11",",6","2",",6","0",",6","5",",","","","1","1,6","22","1,6","8",",6","0",",6","0",",6","","","","","","","-18.3","1,6,01,","25",",,6,28,+","","","15.7",",,6,21,","18.3",",6,15,","","","495.4",",6","30.4",",,,6","","","0.03","1,6","3.85",",,,6","-3.80","1,,,6","","","","","","","","","","","",""
"USW00014835","1945-03","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","4.0","6","4.0",",6","13",",6","10",",6","1",",6","","","0",",6","0",",6","11",",6","0",",6","10",",6","0",",6","","","","","","","-5.0",",6,01,","","","0",",T,6,21,+","33.5",",,6,30,","26.7",",6,28,+","","","244.4",",6","144.2",",,,6","0",",T,,6","10.58",",6","16.28",",,,6","4.88",",,,6","","","","","","","","","","","",""
"USW00014835","1945-04","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","7.1","6","3.1",",6","13",",6","8",",6","0",",6","","","0",",6","0",",6","2",",6","0",",6","7",",6","0",",6","","","","","","","-1.1",",6,05,","","","0",",T,6,05,","18.0",",,6,26,","25.6",",6,11,+","","","221.7",",6","87.6",",,,6","0",",T,,6","11.04",",6","16.42",",,,6","5.66",",,,6","","","","","","","","","","","",""
"USW00014835","1945-05","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","15.7","6","8.6",",6","15","1,6","8","1,6","2","1,6","","","","","0",",6","0",",6","0",",6","15",",6","0",",6","","","","","","","1.7",",6,11,+","","","","","29.7","1,,6,16,","28.3",",6,26,+","","","161.2",",6","92.8","1,,,6","","","13.41",",6","18.93",",,,6","7.89",",,,6","","","","","","","","","","","",""
"USW00014835","1945-06","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","76.0","6","60.3","3,6","15",",6","11",",6","0",",6","","","0",",6","0","3,6","0","3,6","0",",6","24",",6","2",",6","","","","","","","1.7","3,6,05,","","","0",",,6,30,+","23.1",",,6,12,","32.8",",6,24,","","","36.9",",6","118.0",",,,6","0",",,,6","19.46","3,6","25.15",",,,6","13.77","3,,,6","","","","","","","","","","","",""
"USW00014835","1945-07","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","225.5","6","149.5",",6","4",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","6",",6","","","","","","","10.0",",6,11,","","","","","37.3",",,6,13,","36.7",",6,24,","1.7","6","1.7",",6","58.2",",,,6","","","23.10",",6","28.99",",,,6","17.21",",,,6","","","","","","","","","","","",""
"USW00014835","1945-08","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","367.2","6","141.7",",6","8",",6","8",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","7",",6","","","","","","","8.9",",6,26,","","","0",",,6,31,+","22.1",",,6,14,","34.4",",6,30,","3.9","6","2.2",",6","87.6",",,,6","0",",,,6","22.83",",6","28.85",",,,6","16.82",",,,6","","","","","","","","","","","",""
"USW00014835","1945-09","40.41222","-86.93694","182.6","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","422.6","6","55.4",",6","11","1,6","9","1,6","1","1,6","","","0",",6","0",",6","0",",6","0",",6","23",",6","2",",6","","","","","","","7.2",",6,30,+","","","0",",,6,30,+","31.8","1,,6,28,","32.2",",6,07,+","40.3","6","36.4",",6","134.4","1,,,6","0",",,,6","18.97",",6","23.92",",,,6","14.01",",,,6","","","","","","","","","","","",""
