"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00192530","1891-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","29.2","2,6","0","1,6","0","1,6","0","1,6","14","1,6","2","1,6","","","","","7.8","1,6,05,","32.8","1,6,16,","","","62.9","1,6","16.99","2,6","20.78","1,,,6","13.19","1,,,6"
"USC00192530","1891-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","25.9",",6","0",",6","0",",6","0",",6","21",",6","0",",6","","","","","12.2",",6,28,+","27.8",",6,14,+","23.1","","23.1",",6","18.42",",6","21.91",",,,6","14.94",",,,6"
"USC00192530","1891-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","45.9",",6","0",",6","0",",6","0",",6","20",",6","0",",6","","","","","12.2",",6,01,","30.0",",6,12,","36.7","","13.6",",6","19.37",",6","22.33",",,,6","16.42",",,,6"
"USC00192530","1891-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","14.3",",6","0",",6","0",",6","0",",6","14",",6","0",",6","","","","","9.4",",6,09,","27.8",",6,18,","70.7","","34.0",",6","17.67",",6","20.72",",,,6","14.63",",,,6"
"USC00192530","1891-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","3",",6","0",",6","1",",6","0",",6","","","","","-4.4",",6,29,","21.7",",6,04,","328.6","","257.9",",6","10.01",",6","13.10",",,,6","6.93",",,,6"
"USC00192530","1892-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","1.1",",6","0",",6","0",",6","0",",6","7",",6","0",",6","1","","","","8.3",",6,29,","23.9",",6,19,","","","84.6",",6","15.55",",6","19.08",",,,6","12.02",",,,6"
"USC00192530","1892-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","0",",6","0",",6","1",",6","0",",6","","","","","2.2",",6,31,+","22.8",",6,14,","","","249.1",",6","10.30",",6","13.85",",,,6","6.75",",,,6"
"USC00192530","1892-11","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","14",",6","1",",6","0",",6","0",",6","1","","","","-6.7",",6,24,","16.7",",6,08,","","","416.6",",6","4.45",",6","7.62",",,,6","1.27",",,,6"
"USC00192530","1892-12","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","1",",6","27",",6","10",",6","0",",6","0",",6","1","","","","-17.8",",6,24,","7.2",",6,09,+","","","620.8",",6","-1.69",",6","1.50",",,,6","-4.88",",,,6"
"USC00192530","1893-01","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","30",",6","21",",6","0",",6","0",",6","","","","","-16.7",",6,12,","8.9",",6,02,","","","780.9",",6","-6.86",",6","-3.06",",,,6","-10.66",",,,6"
"USC00192530","1893-02","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0","1,6","1","1,6","26","1,6","14",",6","0",",6","0",",6","","","","","-18.9","1,6,05,","8.3",",6,15,","","","600.6",",6","-3.90","1,6","0.24",",,,6","-8.04","1,,,6"
"USC00192530","1893-03","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","27",",6","8",",6","0",",6","0",",6","1","","","","-11.1",",6,16,+","10.6",",6,24,","","","586.4",",6","-0.58",",6","2.76",",,,6","-3.92",",,,6"
"USC00192530","1893-04","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","6",",6","0",",6","0",",6","0",",6","1","","1","","-3.3",",6,26,+","16.7",",6,14,","","","396.7",",6","5.11",",6","8.67",",,,6","1.55",",,,6"
"USC00192530","1893-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","12.5",",6","0",",6","0",",6","0",",6","8",",6","0",",6","1","","","","6.1",",6,12,","30.6",",6,20,","","","93.0",",6","15.65",",6","18.89",",,,6","12.41",",,,6"
"USC00192530","1893-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","55.2",",6","0",",6","0",",6","0",",6","27",",6","0",",6","1","","1","","12.8",",6,25,+","30.6",",6,22,","7.9","6","7.9",",6","19.86",",6","23.93",",,,6","15.79",",,,6"
"USC00192530","1893-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","36.3",",6","0",",6","0",",6","0",",6","21",",6","0",",6","3","","1","","11.7",",6,14,+","29.4",",6,25,","25.4","6","17.5",",6","18.94",",6","22.13",",,,6","15.75",",,,6"
"USC00192530","1893-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0","2,6","0","1,6","0","1,6","0","1,6","4","1,6","0","1,6","","","","","6.1","1,6,30,","22.8","1,6,05,","147.7","6","122.3","1,6","14.04","2,6","17.61","1,,,6","10.47","1,,,6"
"USC00192530","1893-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","1",",6","0",",6","1",",6","0",",6","","","","","-0.6",",6,31,","22.8",",6,09,","367.2","6","219.5",",6","11.25",",6","14.10",",,,6","8.40",",,,6"
"USC00192530","1893-11","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","12",",6","1",",6","0",",6","0",",6","","","","","-6.7",",6,27,+","16.7",",6,03,","770.7","6","403.5",",6","4.88",",6","8.23",",,,6","1.54",",,,6"
"USC00192530","1893-12","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","0.0",",6","0",",6","27",",6","6",",6","0",",6","0",",6","","","","","-17.2",",6,13,","11.1",",6,26,","1386.4","6","615.7",",6","-1.53",",6","3.00",",,,6","-6.05",",,,6"
"USC00192530","1894-01","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","1",",6","28",",6","10",",6","0",",6","0",",6","1","","","","-17.8",",6,13,","10.0",",6,24,","2019.8","6","633.4",",6","-2.10",",6","1.86",",,,6","-6.05",",,,6"
"USC00192530","1894-02","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0","3,6","3","1,6","26","1,6","11","2,6","0","2,6","0","2,6","","","","","-22.2","1,6,24,","7.8","2,6,18,","2585.0","6","565.2","2,6","-4.24","3,6","0.17","2,,,6","-8.65","1,,,6"
"USC00192530","1894-03","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","15",",6","1",",6","0",",6","0",",6","","","","","-7.2",",6,27,","17.2",",6,19,","3041.6","6","456.6",",6","3.60",",6","7.11",",,,6","0.10",",,,6"
"USC00192530","1894-04","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0","1,6","0",",6","11",",6","0","1,6","1","1,6","0","1,6","2","","","","-5.6",",6,03,","21.7","1,6,28,","3398.7","6","357.1","1,6","5.97","1,6","9.36","1,,,6","2.57",",,,6"
"USC00192530","1894-05","42.43332","-70.89864","21.3","EGG ROCK, MA US","3.0","6","3.0",",6","0",",6","0",",6","0",",6","5",",6","0",",6","2","","","","3.3",",6,22,","28.3",",6,02,","3594.0","6","195.3",",6","12.13",",6","15.71",",,,6","8.55",",,,6"
