"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153404","1933-06","37.08333","-86.5",,"GREENCASTLE, KY US","","","194.4","2,6","4",",6","1",",6","0",",6","0","2,6","0","2,6","0","2,6","28","2,6","20","2,6","","","6.1","2,6,15,+","11.2",",,6,13,","37.8","2,6,30,+","","","10.0","2,6","14.6",",,,6","24.92","2,6","33.40","2,,,6","16.44","2,,,6"
"USC00153404","1933-07","37.08333","-86.5",,"GREENCASTLE, KY US","","","199.5","1,6","10",",6","8",",6","5",",6","0","1,6","0","1,6","0",",6","31",",6","17",",6","","","11.1","1,6,18,","41.7",",,6,26,","38.9",",6,02,+","0.0","6","0.0",",6","219.4",",,,6","24.96","1,6","32.11",",,,6","17.80","1,,,6"
"USC00153404","1933-08","37.08333","-86.5",,"GREENCASTLE, KY US","","","159.6",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","10.6",",6,15,","","","35.0",",6,02,","0.0","6","0.0",",6","","","23.48",",6","30.25",",,,6","16.71",",,,6"
"USC00153404","1933-09","37.08333","-86.5",,"GREENCASTLE, KY US","","","136.2","1,6","14",",6","11",",6","3",",6","0","1,6","0","1,6","0",",6","29",",6","7",",6","","","6.1","1,6,21,","71.1",",,6,29,","33.9",",6,25,+","4.8","6","4.8",",6","200.4",",,,6","22.93","1,6","29.78",",,,6","16.07","1,,,6"
"USC00153404","1933-10","37.08333","-86.5",,"GREENCASTLE, KY US","","","7.0","3,6","13",",6","6",",6","1",",6","0","2,6","0","2,6","0","1,6","15","1,6","0","1,6","","","1.1","2,6,26,","29.2",",,6,23,","30.0","1,6,01,","137.3","6","132.5","1,6","70.6",",,,6","13.67","3,6","20.99","1,,,6","6.36","2,,,6"
"USC00153404","1933-11","37.08333","-86.5",,"GREENCASTLE, KY US","","","6.1","1,6","4",",6","2",",6","1",",6","0","1,6","20","1,6","0","1,6","4","1,6","0","1,6","","","-8.9","1,6,16,","57.2",",,6,05,","28.3","1,6,02,","476.0","6","338.7","1,6","61.0",",,,6","6.86","1,6","13.87","1,,,6","-0.14","1,,,6"
"USC00153404","1933-12","37.08333","-86.5",,"GREENCASTLE, KY US","","","","","10",",6","8",",6","2",",6","0","2,6","12","2,6","","","","","","","","","-12.8","2,6,27,","41.9",",,6,16,","","","","","","","142.6",",,,6","","","","","1.21","2,,,6"
"USC00153404","1934-01","37.08333","-86.5",,"GREENCASTLE, KY US","0.0","6","0.0","3,6","10","1,6","4","1,6","1","1,6","0","2,6","15","2,6","2","2,6","0","2,6","0","2,6","","","-16.1","2,6,30,","35.6","1,,6,07,","19.4","2,6,28,","","","401.4","2,6","85.5","1,,,6","4.26","3,6","10.03","2,,,6","-1.51","2,,,6"
"USC00153404","1934-02","37.08333","-86.5",,"GREENCASTLE, KY US","0.0","6","0.0","1,6","7",",6","5",",6","1",",6","1",",6","28",",6","4","1,6","0","1,6","0","1,6","","","-18.3",",6,27,","43.7",",,6,25,","14.4","1,6,16,","","","508.9","1,6","78.5",",,,6","-0.55","1,6","6.01","1,,,6","-7.10",",,,6"
"USC00153404","1934-03","37.08333","-86.5",,"GREENCASTLE, KY US","","","","","16",",6","9",",6","2",",6","0","2,6","16","2,6","","","","","","","","","-9.4","2,6,11,","29.0",",,6,08,","","","","","","","116.2",",,,6","","","","","-0.22","2,,,6"
"USC00153404","1934-04","37.08333","-86.5",,"GREENCASTLE, KY US","","","11.7","3,6","7",",6","5",",6","1",",6","0","3,6","3","3,6","0",",6","16",",6","0",",6","","","-1.1","3,6,14,","28.2",",,6,27,","31.1",",6,06,","","","138.7",",6","59.1",",,,6","13.83","3,6","21.74",",,,6","5.93","3,,,6"
"USC00153404","1934-05","37.08333","-86.5",,"GREENCASTLE, KY US","","","63.8",",6","","","","","","","0",",6","0",",6","0",",6","28",",6","6",",6","","","4.4",",6,01,","","","33.3",",6,21,+","","","28.9",",6","","","19.46",",6","27.67",",,,6","11.25",",,,6"
"USC00153404","1934-06","37.08333","-86.5",,"GREENCASTLE, KY US","","","225.3",",6","","","","","","","0",",6","0",",6","0",",6","30",",6","23",",6","","","11.7",",6,13,","","","38.3",",6,28,","","","0.0",",6","","","25.84",",6","33.38",",,,6","18.30",",,,6"
"USC00153404","1934-07","37.08333","-86.5",,"GREENCASTLE, KY US","","","287.1",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","24",",6","","","16.1",",6,09,","","","40.0",",6,26,","0.0","6","0.0",",6","","","27.60",",6","34.63",",,,6","20.56",",,,6"
"USC00153404","1934-08","37.08333","-86.5",,"GREENCASTLE, KY US","","","219.3",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","16",",6","1","","10.0",",6,30,","","","36.1",",6,11,+","0.0","6","0.0",",6","","","25.41",",6","31.58",",,,6","19.24",",,,6"
"USC00153404","1934-09","37.08333","-86.5",,"GREENCASTLE, KY US","","","77.3","2,6","","","","","","","0","2,6","0","2,6","0",",6","29",",6","3",",6","1","","7.8","2,6,28,+","","","32.8",",6,26,+","16.4","6","16.4",",6","","","20.60","2,6","27.74",",,,6","13.46","2,,,6"
"USC00153404","1934-10","37.08333","-86.5",,"GREENCASTLE, KY US","","","3.3",",6","","","","","","","0",",6","4",",6","0",",6","26",",6","0",",6","1","","-2.8",",6,29,","","","29.4",",6,25,+","132.4","6","116.0",",6","","","14.70",",6","23.75",",,,6","5.65",",,,6"
"USC00153404","1934-11","37.08333","-86.5",,"GREENCASTLE, KY US","","","1.1","1,6","","","","","","","0","1,6","13","1,6","0",",6","6",",6","0",",6","","","-6.1","1,6,16,+","","","27.2",",6,01,","385.6","6","253.2",",6","","","9.68","1,6","17.34",",,,6","2.01","1,,,6"
"USC00153404","1934-12","37.08333","-86.5",,"GREENCASTLE, KY US","","","0.0",",6","","","","","","","0",",6","24",",6","4",",6","0",",6","0",",6","","","-11.7",",6,12,","","","18.3",",6,01,","881.9","6","496.3",",6","","","2.32",",6","8.10",",,,6","-3.45",",,,6"
"USC00153404","1935-01","37.08333","-86.5",,"GREENCASTLE, KY US","0.0","6","0.0","2,6","","","","","","","0","1,6","19","1,6","4","1,6","0","1,6","0","1,6","","","-13.3","1,6,25,+","","","18.3","1,6,22,+","1328.2","6","446.3","1,6","","","2.79","2,6","8.47","1,,,6","-2.89","1,,,6"
"USC00153404","1935-02","37.08333","-86.5",,"GREENCASTLE, KY US","0.0","6","0.0","2,6","","","","","","","0","2,6","21","2,6","2",",6","1",",6","0",",6","","","-10.6","2,6,28,","","","21.1",",6,22,","1706.6","6","378.4",",6","","","4.09","2,6","9.72",",,,6","-1.54","2,,,6"
"USC00153404","1935-03","37.08333","-86.5",,"GREENCASTLE, KY US","2.8","6","2.8",",6","","","","","","","0",",6","10",",6","0",",6","12",",6","0",",6","","","-8.9",",6,01,","","","28.3",",6,24,","1932.7","6","226.1",",6","","","11.13",",6","17.95",",,,6","4.30",",,,6"
"USC00153404","1935-04","37.08333","-86.5",,"GREENCASTLE, KY US","9.7","6","6.9",",6","","","","","","","0",",6","2",",6","0",",6","12",",6","0",",6","1","","0.0",",6,17,+","","","31.7",",6,27,","2104.2","6","171.5",",6","","","12.85",",6","18.82",",,,6","6.88",",,,6"
"USC00153404","1935-05","37.08333","-86.5",,"GREENCASTLE, KY US","48.2","6","38.5","1,6","","","","","","","0",",6","0",",6","0","1,6","21","1,6","0","1,6","","","4.4",",6,25,+","","","31.7","1,6,14,","2163.5","6","59.3","1,6","","","17.55","1,6","24.28","1,,,6","10.83",",,,6"
"USC00153404","1935-06","37.08333","-86.5",,"GREENCASTLE, KY US","147.0","6","98.8","1,6","","","","","","","0","1,6","0","1,6","0",",6","29",",6","5",",6","","","8.3","1,6,10,","","","37.2",",6,18,","2170.5","6","7.0",",6","","","21.52","1,6","27.75",",,,6","15.28","1,,,6"
"USC00153404","1935-08","37.08333","-86.5",,"GREENCASTLE, KY US","","","225.2","1,6","","","","","","","0","1,6","0","1,6","0",",6","31",",6","19",",6","1","","7.2","1,6,31,","","","37.8",",6,13,+","","","2.0",",6","","","25.83","1,6","33.04",",,,6","18.62","1,,,6"
"USC00153404","1935-10","37.08333","-86.5",,"GREENCASTLE, KY US","","","12.8","2,6","","","","","","","0","2,6","7","2,6","0",",6","23",",6","2",",6","3","","-3.9","2,6,07,","","","32.8",",6,14,+","","","122.3",",6","","","14.67","2,6","23.87",",,,6","5.48","2,,,6"
"USC00153404","1935-11","37.08333","-86.5",,"GREENCASTLE, KY US","","","2.3","2,6","","","","","","","0","1,6","9","1,6","0","1,6","5","1,6","0","1,6","1","","-9.4","1,6,24,","","","30.6","1,6,01,","","","287.5","1,6","","","8.13","2,6","14.05","1,,,6","2.22","1,,,6"
"USC00153404","1935-12","37.08333","-86.5",,"GREENCASTLE, KY US","","","0.0","2,6","","","","","","","0","1,6","25","1,6","8","1,6","0","1,6","0","1,6","","","-16.1","1,6,28,","","","16.7","1,6,10,","","","567.8","1,6","","","-1.16","2,6","4.58","1,,,6","-6.89","1,,,6"
"USC00153404","1936-01","37.08333","-86.5",,"GREENCASTLE, KY US","0.0","","0.0","3,6","","","","","","","0","3,6","23","3,6","9",",6","0",",6","0",",6","","","-16.7","3,6,25,+","","","18.3",",6,13,","","","520.0",",6","","","-0.61","3,6","4.61",",,,6","-5.84","3,,,6"
"USC00153404","1936-02","37.08333","-86.5",,"GREENCASTLE, KY US","","","","","","","","","","","","","","","11","2,6","2","2,6","0","2,6","","","","","","","23.3","2,6,26,","","","","","","","","","6.07","2,,,6","",""
"USC00153404","1936-03","37.08333","-86.5",,"GREENCASTLE, KY US","","","0.0",",6","","","","","","","0",",6","14",",6","0",",6","12",",6","0",",6","","","-4.4",",6,06,","","","26.1",",6,31,","","","265.4",",6","","","9.77",",6","18.07",",,,6","1.47",",,,6"
"USC00153404","1936-04","37.08333","-86.5",,"GREENCASTLE, KY US","","","11.1",",6","","","","","","","0",",6","8",",6","0",",6","12",",6","0",",6","","","-5.6",",6,08,","","","30.6",",6,16,","","","229.2",",6","","","11.06",",6","18.27",",,,6","3.85",",,,6"
"USC00153404","1936-05","37.08333","-86.5",,"GREENCASTLE, KY US","","","89.6",",6","4",",6","3",",6","0",",6","0",",6","0",",6","0",",6","30",",6","13",",6","","","3.3",",6,15,","13.0",",,6,12,","35.0",",6,11,","","","22.0",",6","26.9",",,,6","20.51",",6","29.94",",,,6","11.09",",,,6"
"USC00153404","1936-06","37.08333","-86.5",,"GREENCASTLE, KY US","","","186.0","1,6","","","","","","","0",",6","0",",6","0","1,6","29","1,6","22","1,6","","","7.8",",6,01,","","","41.1","1,6,30,","","","0.0","1,6","","","24.70","1,6","34.90","1,,,6","14.50",",,,6"
"USC00153404","1936-07","37.08333","-86.5",,"GREENCASTLE, KY US","","","302.0",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","1","","10.0",",6,31,","","","41.7",",6,11,","0.0","","0.0",",6","","","28.08",",6","35.95",",,,6","20.20",",,,6"
"USC00153404","1936-08","37.08333","-86.5",,"GREENCASTLE, KY US","","","288.8",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","26",",6","1","","7.8",",6,31,","","","41.7",",6,28,+","0.0","","0.0",",6","","","27.65",",6","36.19",",,,6","19.11",",,,6"
