"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00387666","1957-07","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","206.9","5,0","7",",0","5",",0","0",",0","0",",0","0",",0","0","5,0","0","5,0","0","4,0","27","4,0","18","4,0","","","","","16.1","5,0,26,+","0",",,0,31,+","0",",,0,31,+","18.8",",,0,13,","37.2","4,0,09,","","","0.0","0","","","0.0","4,0","","","","","","","","","","","58.9",",,,0","0",",,,0","26.30","5,0","32.57","4,,,0","20.04","5,,,0","",""
"USC00387666","1957-08","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","225.7","1,0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","15","1,0","","","","","15.0",",0,25,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,18,","37.8","1,0,01,","","","0.0","0","","","0.0","1,0","","","","","","","","","","","59.5",",,,0","0",",,,0","25.81","1,0","32.20","1,,,0","19.42",",,,0","",""
"USC00387666","1957-09","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","182.2","1,0","11",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","7","1,0","","","","","10.0","1,0,28,","0",",,0,30,+","0",",,0,30,+","24.4",",,0,09,","37.2","1,0,03,","","","11.6","0","","","11.6","1,0","","","","","","","","","","","98.0",",,,0","0",",,,0","24.21","1,0","29.12","1,,,0","19.30","1,,,0","",""
"USC00387666","1957-10","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","4.5",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","","","","","-0.6",",0,28,","0",",,0,31,+","0",",,0,31,+","17.0",",,0,04,","25.0",",0,10,+","","","119.5","0","","","107.9",",0","","","","","","","","","","","46.5",",,,0","0",",,,0","15.00",",0","20.18",",,,0","9.81",",,,0","",""
"USC00387666","1957-11","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","9.4",",0","10",",0","9",",0","3",",0","0",",0","0",",0","0",",0","4",",0","0",",0","10",",0","0",",0","","","","","-3.3",",0,11,","0",",,0,30,+","0",",,0,30,+","44.7",",,0,23,","26.1",",0,18,+","","","279.4","0","","","159.9",",0","","","","","","","","","","","176.0",",,,0","0",",,,0","13.32",",0","18.85",",,,0","7.78",",,,0","",""
"USC00387666","1957-12","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","","","0.0","1,0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0","1,0","3","1,0","0","1,0","","","","","-11.7",",0,12,","0",",,0,31,+","0",",T,0,11,","16.3",",,0,20,","21.7","1,0,07,","","","551.2","0","","","271.8","1,0","","","","","","","","","","","53.7",",,,0","0",",T,,0","9.14","1,0","14.89","1,,,0","3.39",",,,0","",""
"USC00387666","1958-01","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","0.0","0","0.0",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","21",",0","0",",0","0",",0","0",",0","","","","","-9.4",",0,09,","0",",,0,31,+","0",",T,0,27,","47.2",",,0,24,","17.2",",0,21,","","","992.4","0","","","441.2",",0","","","","","","","","","","","96.0",",,,0","0",",T,,0","4.10",",0","9.39",",,,0","-1.18",",,,0","",""
"USC00387666","1958-02","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","0.0","0","0.0","1,0","8",",0","8",",0","1",",0","0",",0","0","2,0","0",",0","18",",0","2","1,0","4","1,0","0","1,0","","","","","-12.8",",0,18,+","0",",,0,28,+","0","2,,0,28,+","30.7",",,0,26,","23.3","1,0,25,","","","1350.4","0","","","358.0","1,0","","","","","","","","","","","104.4",",,,0","0","2,,,0","5.10","1,0","11.76","1,,,0","-1.56",",,,0","",""
"USC00387666","1958-03","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","0.0","0","0.0","3,0","13",",0","9",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0","2,0","1","2,0","0","2,0","","","","","-2.2","1,0,22,","0",",,0,31,+","0",",,0,31,+","18.8",",,0,31,","21.1","2,0,01,","","","1591.0","0","","","240.6","2,0","","","","","","","","","","","103.9",",,,0","0",",,,0","9.81","3,0","15.32","2,,,0","4.30","1,,,0","",""
"USC00387666","1958-04","34.13112","-80.86852","134.1","SANDHILL RESEARCH ELGIN, SC US","33.9","0","33.9","1,0","11",",0","9",",0","5",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","0","1,0","","","","","3.3","1,0,08,","0",",,0,30,+","0",",,0,30,+","51.3",",,0,16,","31.1","1,0,24,","","","1651.3","0","","","60.3","1,0","","","","","","","","","","","219.2",",,,0","0",",,,0","17.42","1,0","23.78","1,,,0","11.06","1,,,0","",""
