"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00139428","1993-01","60.65","14.43","296.0","FLATEN, SW","","","14",",E","0",",E","0",",E","","","","","","","","","","","","","2.3",",,E,10,","","","","","","","17.8",",,,E","","","","","",""
"SWE00139428","1993-08","60.65","14.43","296.0","FLATEN, SW","","","20",",E","12",",E","0",",E","","","","","","","","","","","","","18.9",",,E,29,","","","","","","","132.9",",,,E","","","","","",""
"SWE00139428","1993-09","60.65","14.43","296.0","FLATEN, SW","","","11",",E","1",",E","0",",E","","","","","","","","","","","","","6.4",",,E,21,","","","","","","","15.0",",,,E","","","","","",""
"SWE00139428","1993-10","60.65","14.43","296.0","FLATEN, SW","","","16",",E","8",",E","0",",E","","","","","","","","","","","","","18.7",",,E,06,","","","","","","","83.9",",,,E","","","","","",""
"SWE00139428","1993-11","60.65","14.43","296.0","FLATEN, SW","","","15",",E","5",",E","0",",E","","","","","","","","","","","","","4.0",",,E,14,","","","","","","","28.1",",,,E","","","","","",""
"SWE00139428","1993-12","60.65","14.43","296.0","FLATEN, SW","","","18",",E","8",",E","0",",E","","","","","","","","","","","","","11.1",",,E,04,","","","","","","","53.6",",,,E","","","","","",""
"SWE00139428","1994-01","60.65","14.43","296.0","FLATEN, SW","","","10",",E","5",",E","0",",E","","","","","","","","","","","","","8.5",",,E,07,","","","","","","","39.7",",,,E","","","","","",""
"SWE00139428","1994-02","60.65","14.43","296.0","FLATEN, SW","0.0","3,E","","","","","","","19","2,E","26","2,E","26","2,E","0","2,E","0","2,E","-27.5","2,E,16,","","","-3.0","2,E,26,","","","800.8","2,E","","","-13.45","3,E","-7.83","2,,,E","-19.06","2,,,E"
"SWE00139428","1994-03","60.65","14.43","296.0","FLATEN, SW","0.0",",E","","","","","","","2",",E","29",",E","9",",E","0",",E","0",",E","-28.5",",E,02,","","","7.8",",E,31,","","","653.2",",E","","","-2.74",",E","1.06",",,,E","-6.54",",,,E"
"SWE00139428","1994-04","60.65","14.43","296.0","FLATEN, SW","0.0",",E","","","","","","","0",",E","16",",E","0",",E","0",",E","0",",E","-5.4",",E,10,","","","15.8",",E,25,","","","440.4",",E","","","3.65",",E","7.64",",,,E","-0.33",",,,E"
