"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00128848","1989-06","39.40694","-86.16028","256.0","TRAFALGAR, IN US","89.9",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","7.8",",0,12,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,05,","32.8",",0,28,+","146.0","5,,,0","","","  23.9",",,,0,1,2","  25.6",",,,0,3,2","14.7",",0","  27.8",",,,0,1,2","  33.3",",,,0,3,2","  12.8",",,,0,1,2","  15.6",",,,0,3,2","  18.3",",,,0,1,2","  20.0",",,,0,3,2","  18.9",",,,0,1,2","  20.9",",,,0,3,2","16.60",",,,0","  23.5",",,,0,1,2","  27.7",",,,0,3,2","30.14",",,,0","51.0",",,,0","0",",,,0","20.84",",0","27.63",",,,0","14.04",",,,0","3264",",,,0"
"USC00128848","1989-07","39.40694","-86.16028","256.0","TRAFALGAR, IN US","130.3","1,0","10",",0","7",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","5",",0","11.7","1,0,17,","0",",,0,31,+","0",",,0,31,+","45.7",",,0,03,","33.3",",0,12,+","165.6","3,,,0","0.0","","  23.9","1,,,0,1,2","  26.1",",,,0,3,2","0.0",",0","  27.2","1,,,0,1,2","  30.6",",,,0,3,2","  18.3","1,,,0,1,2","  19.4",",,,0,3,2","  21.1","1,,,0,1,2","  23.9",",,,0,3,2","  21.6","1,,,0,1,2","  22.7",",,,0,3,2","","","  25.3","1,,,0,1,2","  26.7",",,,0,3,2","","","112.4",",,,0","0",",,,0","22.68","1,0","28.80",",,,0","16.55","1,,,0","2552",",,,0"
"USC00128848","1989-08","39.40694","-86.16028","256.0","TRAFALGAR, IN US","90.4",",0","10",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","6.7",",0,08,","0",",,0,31,+","0",",,0,31,+","45.2",",,0,24,","31.1",",0,06,+","131.3","3,,,0","7.8","","  23.9",",,,0,1,2","  24.4",",,,0,3,2","7.8",",0","  25.6",",,,0,1,2","  27.8",",,,0,3,2","  18.3",",,,0,1,2","  18.9",",,,0,3,2","  21.1",",,,0,1,2","  21.1",",,,0,3,2","  21.4",",,,0,1,2","  21.8",",,,0,3,2","17.80",",,,0","  23.7",",,,0,1,2","  24.2",",,,0,3,2","30.38",",,,0","145.2",",,,0","0",",,,0","21.00",",0","27.66",",,,0","14.34",",,,0","2448",",,,0"
"USC00128848","1989-09","39.40694","-86.16028","256.0","TRAFALGAR, IN US","32.8","1,0","6",",0","5",",0","3",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","23",",0","0",",0","0.6","1,0,24,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,09,","29.4",",0,10,","103.8","3,,,0","84.8","","  22.8","1,,,0,1,2","  22.2",",,,0,3,2","77.0",",0","  23.9","1,,,0,1,2","  27.8",",,,0,3,2","   8.9","1,,,0,1,2","  10.0",",,,0,3,2","  15.0","1,,,0,1,2","  17.2",",,,0,3,2","  17.0","1,,,0,1,2","  16.9",",,,0,3,2","","","  20.2","1,,,0,1,2","  22.0",",,,0,3,2","25.97","1,,,0","120.2",",,,0","0",",,,0","16.84","1,0","23.48",",,,0","10.21","1,,,0","",""
"USC00128848","1989-10","39.40694","-86.16028","256.0","TRAFALGAR, IN US","8.3",",0","2",",0","2",",0","0",",0","","","0","1,0","0",",0","7",",0","0",",0","17",",0","0",",0","-3.3",",0,09,","","","0","1,,0,31,+","7.1",",,0,19,","29.4",",0,14,","","","260.0","","  16.1","1,,,0,1,2","  18.3",",,,0,3,2","175.2",",0","  23.9",",,,0,1,2","  22.8",",,,0,3,2","   6.1","1,,,0,1,2","   3.3",",,,0,3,2","   7.2",",,,0,1,2","   5.0",",,,0,3,2","  11.3","1,,,0,1,2","  10.5",",,,0,3,2","7.55","3,,,0","  14.7",",,,0,1,2","  16.9",",,,0,3,2","20.34","2,,,0","12.2",",,,0","0","1,,,0","12.95",",0","20.15",",,,0","5.75",",,,0","",""
"USC00128848","1989-11","39.40694","-86.16028","256.0","TRAFALGAR, IN US","0.0",",0","6",",0","6",",0","2",",0","","","","","0",",0","20",",0","0",",0","5",",0","0",",0","-11.7",",0,24,","","","","","37.1",",,0,16,","22.2",",0,14,+","","","658.0","","","","","","398.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","106.6",",,,0","","","5.07",",0","12.33",",,,0","-2.20",",,,0","",""
"USC00128848","1989-12","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","6",",0","5",",0","0",",0","14",",0","2",",0","","","","","","","","","","","","","102",",,0,23,+","102",",,0,15,","13.0",",,0,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4",",,,0","127",",,,0","","","","","","","",""
"USC00128848","1990-01","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","21.8",",,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-02","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","12",",0","11",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","40.1",",,0,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132.5",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-03","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","7",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","19.1",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3",",,,0","0",",,,0","","","","","","","",""
