"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NOE00134382","1972-07","58.8283","6.0553","44.0","OLTEDAL, NO","13",",E","9",",E","1",",E","0",",","0",",,E,31,+","34.3",",,E,30,","96.3",",,,E"
"NOE00134382","1972-08","58.8283","6.0553","44.0","OLTEDAL, NO","15",",E","13",",E","2",",E","0",",","0",",,E,31,+","44.0",",,E,06,","163.6",",,,E"
"NOE00134382","1972-09","58.8283","6.0553","44.0","OLTEDAL, NO","11",",E","7",",E","1",",E","0",",","0",",,E,30,+","26.5",",,E,07,","88.2",",,,E"
"NOE00134382","1972-10","58.8283","6.0553","44.0","OLTEDAL, NO","15",",E","10",",E","2",",E","0",",","0",",,E,31,+","27.3",",,E,22,","129.7",",,,E"
"NOE00134382","1972-11","58.8283","6.0553","44.0","OLTEDAL, NO","22",",E","22",",E","4",",E","12",",","120",",,E,15,","35.0",",,E,27,","366.7",",,,E"
"NOE00134382","1972-12","58.8283","6.0553","44.0","OLTEDAL, NO","17",",E","15",",E","3",",E","0",",","0",",,E,31,+","31.0",",,E,11,","215.1",",,,E"
"NOE00134382","1973-01","58.8283","6.0553","44.0","OLTEDAL, NO","15",",E","8",",E","1",",E","0",",","0",",,E,31,+","28.4",",,E,02,","111.5",",,,E"
"NOE00134382","1973-02","58.8283","6.0553","44.0","OLTEDAL, NO","20",",E","18",",E","2",",E","12",",","100",",,E,18,+","37.0",",,E,20,","224.5",",,,E"
"NOE00134382","1973-03","58.8283","6.0553","44.0","OLTEDAL, NO","19",",E","11",",E","1",",E","0",",","0",",,E,31,+","54.2",",,E,16,","173.4",",,,E"
"NOE00134382","1973-04","58.8283","6.0553","44.0","OLTEDAL, NO","15",",E","14",",E","1",",E","1",",","50",",,E,06,","48.0",",,E,04,","154.6",",,,E"
"NOE00134382","1973-05","58.8283","6.0553","44.0","OLTEDAL, NO","17",",E","13",",E","1",",E","0",",","0",",,E,31,+","27.0",",,E,12,","156.5",",,,E"
"NOE00134382","1973-06","58.8283","6.0553","44.0","OLTEDAL, NO","13",",E","9",",E","0",",E","0",",","0",",,E,30,+","20.5",",,E,11,","98.5",",,,E"
"NOE00134382","1973-07","58.8283","6.0553","44.0","OLTEDAL, NO","11",",E","5",",E","2",",E","0",",","0",",,E,31,+","44.3",",,E,07,","92.4",",,,E"
"NOE00134382","1973-08","58.8283","6.0553","44.0","OLTEDAL, NO","17",",E","14",",E","0",",E","0",",","0",",,E,31,+","18.9",",,E,06,","126.5",",,,E"
"NOE00134382","1973-09","58.8283","6.0553","44.0","OLTEDAL, NO","18",",E","13",",E","0",",E","0",",","0",",,E,30,+","17.2",",,E,28,","147.5",",,,E"
"NOE00134382","1973-10","58.8283","6.0553","44.0","OLTEDAL, NO","17",",E","12",",E","2",",E","0",",","0",",,E,31,+","34.0",",,E,29,","146.7",",,,E"
"NOE00134382","1973-11","58.8283","6.0553","44.0","OLTEDAL, NO","24",",E","23",",E","5",",E","10",",","210",",,E,28,+","61.8",",,E,18,","384.8",",,,E"
"NOE00134382","1973-12","58.8283","6.0553","44.0","OLTEDAL, NO","27",",E","21",",E","6",",E","7",",","100",",,E,01,","37.9",",,E,10,","327.2",",,,E"
"NOE00134382","1974-01","58.8283","6.0553","44.0","OLTEDAL, NO","20",",E","17",",E","4",",E","0",",","0",",,E,31,+","39.1",",,E,30,","262.5",",,,E"
"NOE00134382","1974-02","58.8283","6.0553","44.0","OLTEDAL, NO","17",",E","13",",E","2",",E","2",",","50",",,E,09,+","37.3",",,E,11,","194.3",",,,E"
"NOE00134382","1974-03","58.8283","6.0553","44.0","OLTEDAL, NO","7",",E","5",",E","0",",E","0",",","0",",,E,31,+","16.0",",,E,17,","45.3",",,,E"
"NOE00134382","1974-04","58.8283","6.0553","44.0","OLTEDAL, NO","1",",E","1",",E","0",",E","0",",","0",",,E,30,+","4.0",",,E,14,","4.0",",,,E"
