"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00428376","1956-05","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","4,0","8","2,0","2","2,0","0","2,0","0","4,0","0","4,0","0","4,0","18","4,0","0","3,0","5","3,0","0","3,0","-8.3","4,0,13,","0","4,,0,31,+","0","4,,0,31,+","10.7","2,,0,28,","25.0","3,0,31,","","","","","282.4","3,0","","","","","20.7","2,,,0","0","4,,,0","7.88","4,0","16.75","3,,,0","-0.99","4,,,0","",""
"USC00428376","1956-06","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","23",",0","0",",0","-1.7",",0,07,","0",",,0,30,+","0",",,0,30,+","5.3",",,0,15,","29.4",",0,01,","193.4","1,,,0","","","192.7",",0","","","","","7.4",",,,0","0",",,,0","11.91",",0","22.88",",,,0","0.93",",,,0","2492",",,,0"
"USC00428376","1956-07","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.6",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","30",",0","0",",0","-1.1",",0,06,+","0",",,0,31,+","0",",,0,31,+","19.6",",,0,22,","29.4",",0,09,","222.8","1,,,0","112.6","","112.6",",0","","","","","39.6",",,,0","0",",,,0","14.72",",0","25.30",",,,0","4.14",",,,0","2183",",,,0"
"USC00428376","1956-08","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","25",",0","0",",0","-1.7",",0,29,","0",",,0,31,+","0",",,0,31,+","1.0",",,0,19,+","27.8",",0,23,","193.0",",,,0","286.7","","174.1",",0","","","","","4.1",",,,0","0",",,,0","12.72",",0","23.43",",,,0","2.01",",,,0","2595",",,,0"
"USC00428376","1956-09","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","23",",0","0",",0","-7.8",",0,23,+","0",",,0,30,+","0",",,0,30,+","6.4",",,0,09,","27.8",",0,19,","149.3","2,,,0","511.1","","224.4",",0","","","","","11.3",",,,0","0",",,,0","10.85",",0","22.46",",,,0","-0.76",",,,0","2496","1,,,0"
"USC00428376","1956-10","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","6","2,0","1","2,0","0","2,0","","","0","5,0","0","1,0","28","1,0","0","1,0","3","1,0","0","1,0","-13.9","1,0,31,","","","0","5,,0,31,+","14.5","2,,0,23,","22.2","1,0,07,","","","917.0","","405.9","1,0","","","","","32.1",",a,,0","0","5,,,0","4.80","1,0","14.49","1,,,0","-4.89","1,,,0","4034","2,,,0"
"USC00428376","1957-06","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","14",",0","0",",0","-3.9",",0,14,","0",",,0,30,+","0",",,0,30,+","14.7",",,0,13,","26.7",",0,28,","187.7",",,,0","","","240.4",",0","","","","","65.5",",,,0","0",",,,0","10.32",",0","19.67",",,,0","0.96",",,,0","2813","2,,,0"
"USC00428376","1957-07","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","30",",0","0",",0","-1.7",",0,05,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,17,","27.8",",0,31,+","195.2",",,,0","121.2","","121.2",",0","","","","","15.7",",,,0","0",",,,0","14.42",",0","24.37",",,,0","4.47",",,,0","1877",",,,0"
"USC00428376","1957-08","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","18",",0","8",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","24","1,0","0","1,0","1.1","1,0,31,","0",",,0,31,+","0",",,0,31,+","21.1",",,0,25,","30.6","1,0,08,","146.9","3,,,0","245.8","","124.6","1,0","","","","","88.1",",,,0","0",",,,0","14.18","1,0","23.83","1,,,0","4.52","1,,,0","1643","2,,,0"
"USC00428376","1957-09","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","1",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","28","1,0","0",",0","17",",0","0",",0","-8.3","1,0,21,","0",",,0,30,+","0","1,,0,30,+","2.5",",,0,19,","25.0",",0,29,","135.8",",,,0","524.1","","278.3",",0","","","","","2.5",",,,0","0","1,,,0","8.67","1,0","20.17",",,,0","-2.83","1,,,0","1910","3,,,0"
"USC00428376","1957-10","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","","","13","1,0","6","1,0","0","1,0","0","4,0","0","1,0","","","","","","","","","","","","","0","4,,0,31,+","0","1,,0,31,+","10.7","1,,0,28,","","","","","","","","","","","","","36.6","1,,,0","0","1,,,0","","","","","","","",""
"USC00428376","1958-06","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","21",",0","0",",0","-3.3",",0,13,","0",",,0,30,+","0",",,0,30,+","9.4",",,0,24,","28.3",",0,27,","224.8",",,,0","","","208.0",",0","","","","","13.8",",,,0","0",",,,0","11.40",",0","22.24",",,,0","0.56",",,,0","3009","1,,,0"
"USC00428376","1958-07","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","1.4","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","10","1,0","0","1,0","29","1,0","1","1,0","-2.8","1,0,01,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","32.2","1,0,08,","226.5","3,,,0","154.8","","154.8","1,0","","","","","0.0",",,,0","0",",,,0","13.22","1,0","25.01","1,,,0","1.43","1,,,0","2768","3,,,0"
"USC00428376","1958-08","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","4.5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","31",",0","0",",0","-1.1",",0,31,","0",",,0,31,+","0",",,0,31,+","4.1",",,0,22,","31.7",",0,12,","227.9",",,,0","238.3","","83.5",",0","","","","","10.6",",,,0","0",",,,0","15.78",",0","27.13",",,,0","4.43",",,,0","2654",",,,0"
"USC00428376","1958-09","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","16",",0","0",",0","-10.6",",0,25,","0",",,0,30,+","0",",,0,30,+","14.5",",,0,12,","27.8",",0,01,","149.7","1,,,0","484.6","","246.3",",0","","","","","18.4",",,,0","0",",,,0","10.12",",0","20.98",",,,0","-0.74",",,,0","2912",",,,0"
"USC00428376","1958-10","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","","","3",",0","0",",0","0",",0","","","0","3,0","","","","","","","","","","","","","","","0","3,,0,31,+","2.0",",,0,27,","","","","","","","","","","","","","4.8",",,,0","0","3,,,0","","","","","","","",""
"USC00428376","1959-05","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","11",",0","4",",0","0",",0","","","","","0",",0","29",",0","0",",0","3",",0","0",",0","-10.6",",0,20,","","","","","6.6",",,0,04,","22.8",",0,12,","133.9","4,,,0","","","403.3",",0","","","","","25.6",",,,0","","","5.32",",0","13.88",",,,0","-3.23",",,,0","3995","1,,,0"
"USC00428376","1959-06","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","21",",0","0",",0","-6.1",",0,01,","0",",,0,30,+","0",",,0,30,+","16.0",",,0,15,","27.8",",0,23,","195.5",",,,0","","","183.8",",0","","","","","46.4",",,,0","0",",,,0","12.21",",0","22.80",",,,0","1.61",",,,0","2641",",,,0"
"USC00428376","1959-07","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","4",",0","1",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","28",",0","0",",0","-2.2",",0,09,","0",",,0,31,+","0",",,0,31,+","30.7",",,0,03,","30.6",",0,23,","207.2",",,,0","116.2","","116.2",",0","","","","","32.6",",,,0","0",",,,0","14.58",",0","25.60",",,,0","3.57",",,,0","1881","1,,,0"
"USC00428376","1959-08","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","10",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","27","1,0","0","1,0","-3.9","1,0,23,","0",",,0,31,+","0",",,0,31,+","9.4",",,0,19,","28.3","1,0,11,+","168.0","3,,,0","258.1","","141.9","1,0","","","","","32.7",",,,0","0",",,,0","13.60","1,0","24.13","1,,,0","3.08","1,,,0","2183","4,,,0"
"USC00428376","1959-09","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","14",",0","8",",0","0",",0","","","","","0",",0","16",",0","0","1,0","13","1,0","0","1,0","-7.8",",0,30,","","","","","14.0",",,0,27,","27.8","1,0,10,","116.7",",,,0","531.0","","272.9","1,0","","","","","63.6",",,,0","","","8.92","1,0","17.51","1,,,0","0.33",",,,0","2975",",,,0"
"USC00428376","1959-10","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","2,0","6",",0","2",",0","0",",0","","","","","0","2,0","27","2,0","0","2,0","0","2,0","0","2,0","-11.1","2,0,08,","","","","","19.1",",,0,28,","20.0","2,0,24,","60.6","5,,,0","937.8","","406.8","2,0","","","","","31.6",",,,0","","","4.31","2,0","13.41","2,,,0","-4.80","2,,,0","2433","5,,,0"
"USC00428376","1960-05","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","1,0","15",",0","3",",0","0",",0","","","","","0","1,0","26","1,0","0","1,0","4","1,0","0","1,0","-11.1","1,0,02,","","","","","17.8",",,0,03,","25.0","1,0,11,","","","","","361.0","1,0","","","","","46.1",",,,0","","","6.30","1,0","16.22","1,,,0","-3.63","1,,,0","3216","3,,,0"
"USC00428376","1960-06","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0","2,0","5",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","15","2,0","0","2,0","19","2,0","0","2,0","-7.8","2,0,21,","0",",,0,30,+","0",",,0,30,+","7.4",",,0,07,","26.7","2,0,28,","183.7","4,,,0","","","199.4","2,0","","","","","9.3",",,,0","0",",,,0","11.21","2,0","22.48","2,,,0","-0.06","2,,,0","",""
"USC00428376","1960-07","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.3","4,0","8",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","9","3,0","0","3,0","28","3,0","0","3,0","-1.1","3,0,07,+","0",",,0,31,+","0",",,0,31,+","10.4",",,0,30,","31.7","3,0,26,","","","102.9","","102.9","3,0","","","","","24.2",",,,0","0",",,,0","14.44","4,0","27.03","3,,,0","1.85","3,,,0","",""
"USC00428376","1960-08","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","25",",0","0",",0","-6.7",",0,23,","0",",,0,31,+","0",",,0,31,+","4.3",",,0,22,","29.4",",0,20,+","220.0",",,,0","277.4","","174.5",",0","","","","","10.8",",,,0","0",",,,0","12.70",",0","25.24",",,,0","0.16",",,,0","3235","2,,,0"
"USC00428376","1960-09","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","0.0",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","21",",0","0",",0","-6.1",",0,28,","0",",,0,30,+","0",",,0,30,+","8.1",",,0,22,","25.6",",0,12,","117.5","2,,,0","533.3","","255.9",",0","","","","","25.0",",,,0","0",",,,0","9.80",",0","21.56",",,,0","-1.96",",,,0","2123",",,,0"
"USC00428376","1960-10","40.16667","-111.18333","2321.1","STRWBERY RES E PRTAL, UT US","","","5","2,0","2","2,0","0","2,0","0",",0","0",",0","0","5,0","25","5,0","0","5,0","1","5,0","0","5,0","-12.2","5,0,30,","0",",,0,31,+","0",",,0,31,+","19.1","2,,0,09,","21.7","5,0,07,","","","","","","","","","","","45.8",",a,,0","0",",,,0","3.35","6,0","13.97","5,,,0","-7.27","5,,,0","",""
