"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00366067","1921-05","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","32.8",",,6,04,","","","116.0",",,,6","","","","","","","",""
"USC00366067","1921-07","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","7",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","34.3",",,6,19,","","","82.9",",,,6","","","","","","","",""
"USC00366067","1921-09","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","13",",6","12",",6","2",",6","","","0","3,6","0","3,6","0","5,6","25","5,6","3","5,6","12.2","3,6,26,","","","30.5",",,6,21,","32.2","5,6,04,+","132.8",",,,6","","","23.08","8,6","26.48","5,,,6","19.68","3,,,6"
"USC00366067","1921-10","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19.3",",,6,03,","","","35.1",",,,6","","","","","","","",""
"USC00366067","1921-11","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","14",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","29.7",",,6,29,","","","144.0",",,,6","","","","","","","",""
"USC00366067","1921-12","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","7",",6","6",",6","0",",6","1",",6","","","","","","","","","","","","","114",",,6,04,","17.8",",,6,23,","","","64.8",",,,6","127",",,,6","","","","","",""
"USC00366067","1922-03","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","11",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","22.9",",,6,04,","","","83.9",",,,6","","","","","","","",""
"USC00366067","1922-04","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","8",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","25.7",",,6,15,","","","62.5",",,,6","","","","","","","",""
"USC00366067","1922-05","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","9",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","18.8",",,6,04,","","","64.1",",,,6","","","","","","","",""
"USC00366067","1922-06","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","9",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","66.0",",,6,28,","","","152.6",",,,6","","","","","","","",""
"USC00366067","1922-07","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","37.6",",,6,01,","","","72.9",",,,6","","","","","","","",""
"USC00366067","1922-08","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","34.0",",,6,15,","","","83.0",",,,6","","","","","","","",""
"USC00366067","1922-09","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","25.1",",,6,11,","","","25.9",",,,6","","","","","","","",""
"USC00366067","1922-10","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","5",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","52.8",",,6,09,","","","118.4",",,,6","","","","","","","",""
"USC00366067","1922-11","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","4",",6","2",",6","0",",6","0",",6","","","","","","","","","","","","","13",",,6,27,","8.4",",,6,06,","","","13.1",",,,6","13",",,,6","","","","","",""
"USC00366067","1922-12","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","6",",6","5",",6","0",",6","2",",6","","","","","","","","","","","","","127",",,6,17,","21.6",",,6,05,","","","65.2",",,,6","173",",,,6","","","","","",""
"USC00366067","1923-01","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","8",",6","6",",6","0",",6","3",",6","","","","","","","","","","","","","152",",,6,24,","24.4",",,6,01,","","","83.6",",,,6","305",",,,6","","","","","",""
"USC00366067","1923-02","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","9",",6","6",",6","0",",6","6",",6","","","","","","","","","","","","","76",",,6,15,+","19.8",",,6,12,","","","54.1",",,,6","304",",,,6","","","","","",""
"USC00366067","1923-03","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","8",",6","4",",6","0",",6","1",",6","","","","","","","","","","","","","102",",,6,06,","18.3",",,6,06,","","","46.4",",,,6","102",",,,6","","","","","",""
"USC00366067","1923-04","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","8","1,6","6","1,6","1","1,6","2",",6","","","","","","","","","","","","","64",",,6,14,","26.4","1,,6,13,","","","86.0","1,,,6","102",",,,6","","","","","",""
"USC00366067","1923-05","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","7",",6","6",",6","1",",6","0",",6","","","","","","","","","","","","","0",",T,6,10,+","39.1",",,6,21,","","","89.6",",,,6","0",",T,,6","","","","","",""
"USC00366067","1923-06","40.4","-77.88333","249.9","MOUNT UNION I N, PA US","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","29.5",",,6,07,","","","79.7",",,,6","","","","","","","",""
