"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CD000064753","1976-04","18.0","19.167","234.0","FAYA, CD","","","","","0","5,I","25","5,I","25","5,I","","","45.0","5,I,29,","39.84","5,,,I","",""
"CD000064753","2015-08","18.0","19.167","234.0","FAYA, CD","0","5,","0","5,S","","","","","","","20.2","5,S,26,","","","","","26.45","5,,,S"
"CD000064753","2015-09","18.0","19.167","234.0","FAYA, CD","0","4,","0","4,S","","","","","","","22.5","4,S,23,","","","","","27.52","4,,,S"
"CD000064753","2015-11","18.0","19.167","234.0","FAYA, CD","0","5,","0","5,S","","","","","","","11.2","5,S,20,+","","","","","16.12","5,,,S"
"CD000064753","2018-08","18.0","19.167","234.0","FAYA, CD","0","2,","0","2,S","","","","","","","23.0","2,S,01,","","","","","26.70","2,,,S"
"CD000064753","2018-10","18.0","19.167","234.0","FAYA, CD","0","5,","0","5,S","","","","","","","18.8","5,S,19,","","","","","24.55","5,,,S"
"CD000064753","2018-11","18.0","19.167","234.0","FAYA, CD","0","1,","0","1,S","","","","","","","14.5","1,S,27,","","","","","19.41","1,,,S"
"CD000064753","2018-12","18.0","19.167","234.0","FAYA, CD","0","2,","0","2,S","","","","","","","11.5","2,S,16,","","","","","14.34","2,,,S"
"CD000064753","2019-07","18.0","19.167","234.0","FAYA, CD","0","4,","0","4,S","","","","","","","26.0","4,S,31,+","","","","","28.49","4,,,S"
"CD000064753","2019-08","18.0","19.167","234.0","FAYA, CD","0","2,","0","2,S","","","","","","","23.0","2,S,20,","","","","","26.92","2,,,S"
"CD000064753","2019-10","18.0","19.167","234.0","FAYA, CD","0","3,","0","3,S","","","","","","","20.0","3,S,31,","","","","","25.11","3,,,S"
"CD000064753","2020-02","18.0","19.167","234.0","FAYA, CD","0",",","0",",S","","","","","","","11.5",",S,06,","","","","","14.63",",,,S"
