"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KEM00063741","1985-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","4,S","21","4,S","0","4,S","","","","","24.4","4,S,08,","","","","","","","21.97","4,,,S","",""
"KEM00063741","1987-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","5,S","0","5,S","","","","","","","11.8","5,S,26,","","","","","","","","","","","","","14.13","5,,,S"
"KEM00063741","1987-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","3,S","0","3,S","","","","","","","9.2","3,S,12,","","","","","","","","","","","","","12.38","3,,,S"
"KEM00063741","1988-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","5,S","24","5,S","0","5,S","","","","","24.3","5,S,05,","","","","","","","22.65","5,,,S","",""
"KEM00063741","1988-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","8.1","5,S","","","","","","","0","4,S","0","4,S","0","2,S","24","2,S","0","2,S","8.5","4,S,30,","","","28.3","2,S,10,","21.4","2,S","","","17.83","5,S","23.48","2,,,S","12.18","4,,,S"
"KEM00063741","1988-11","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","11","4,S","4","4,S","0","4,S","0","5,S","0","5,S","0","3,S","25","3,S","0","3,S","12.0","5,S,14,","10.9","4,,S,07,","25.0","3,S,02,","","","36.6","4,,,S","18.51","7,S","23.16","3,,,S","13.86","5,,,S"
"KEM00063741","1988-12","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","14","5,S","11","5,S","1","5,S","","","","","0","5,S","23","5,S","0","5,S","","","39.9","5,,S,21,","24.7","5,S,06,","","","146.0","5,,,S","","","22.75","5,,,S","",""
"KEM00063741","1989-03","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","2,S","29","2,S","0","2,S","","","","","28.2","2,S,03,+","","","","","","","25.93","2,,,S","",""
"KEM00063741","1991-10","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","4,S","27","4,S","0","4,S","","","","","29.0","4,S,05,","","","","","","","26.05","4,,,S","",""
"KEM00063741","1992-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","5,S","26","5,S","0","5,S","","","","","25.7","5,S,04,","","","","","","","23.36","5,,,S","",""
"KEM00063741","1992-08","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","5,S","13","5,S","0","5,S","","","","","24.5","5,S,26,","","","","","","","20.75","5,,,S","",""
"KEM00063741","1992-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","2,S","24","2,S","0","2,S","","","","","28.0","2,S,26,","","","","","","","23.60","2,,,S","",""
"KEM00063741","1993-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","14","4,S","9","4,S","1","4,S","0","3,S","0","3,S","0","5,S","26","5,S","0","5,S","10.0","3,S,29,","32.0","4,,S,02,","26.5","5,S,07,+","","","146.6","4,,,S","19.21","7,S","24.20","5,,,S","14.22","3,,,S"
"KEM00063741","1993-06","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","4,S","0","4,S","0","2,S","20","2,S","0","2,S","11.4","4,S,29,+","","","24.6","2,S,03,","","","","","17.54","6,S","21.92","2,,,S","13.17","4,,,S"
"KEM00063741","1993-07","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","5,S","0","5,S","0","4,S","13","4,S","0","4,S","1.1","5,S,04,","","","25.4","4,S,10,","","","","","15.68","8,S","21.28","4,,,S","10.09","5,,,S"
"KEM00063741","1993-08","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","0.0","5,S","2","5,S","1","5,S","0","5,S","0","3,S","0","3,S","0","2,S","23","2,S","1","2,S","7.5","3,S,04,","10.9","5,,S,14,","32.5","2,S,30,","44.9","2,S","11.4","5,,,S","16.83","5,S","22.68","2,,,S","10.98","3,,,S"
"KEM00063741","1993-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","3,S","25","3,S","0","3,S","","","","","28.2","3,S,27,","","","","","","","24.66","3,,,S","",""
"KEM00063741","1993-10","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","27.5","5,S,13,","","","","","","","25.53","5,,,S","",""
"KEM00063741","1993-11","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","21.9","4,S","15","3,S","12","3,S","1","3,S","0","3,S","0","3,S","0","1,S","28","1,S","0","1,S","11.6","3,S,04,","39.9","3,,S,03,","26.2","1,S,06,","3.3","1,S","153.0","3,,,S","19.02","4,S","23.69","1,,,S","14.34","3,,,S"
"KEM00063741","1993-12","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","9","4,S","5","4,S","2","4,S","0","3,S","0","3,S","0","4,S","27","4,S","0","4,S","10.8","3,S,31,","49.0","4,,S,07,","25.1","4,S,24,","","","107.5","4,,,S","18.62","7,S","23.41","4,,,S","13.84","3,,,S"
"KEM00063741","1994-01","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","2,S","0","2,S","0","4,S","27","4,S","0","4,S","9.3","2,S,31,","","","28.0","4,S,24,","","","","","19.42","6,S","25.97","4,,,S","12.88","2,,,S"
"KEM00063741","1994-02","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","6","3,S","3","3,S","2","3,S","0","2,S","0","2,S","","","","","","","2.2","2,S,18,","51.1","3,,S,16,","","","","","88.9","3,,,S","","","","","11.12","2,,,S"
"KEM00063741","1994-03","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","5,S","0","5,S","0","4,S","27","4,S","0","4,S","11.2","5,S,20,","","","28.2","4,S,13,","","","","","20.52","8,S","26.57","4,,,S","14.47","5,,,S"
"KEM00063741","1994-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","13.1","4,S","18","3,S","12","3,S","1","3,S","0","2,S","0","2,S","0","2,S","24","2,S","0","2,S","10.0","2,S,23,","29.0","3,,S,16,","25.0","2,S,26,","11.0","2,S","125.4","3,,,S","18.44","4,S","22.98","2,,,S","13.90","2,,,S"
"KEM00063741","1994-06","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","4","3,S","1","3,S","0","3,S","","","","","0","2,S","25","2,S","0","2,S","","","9.9","3,,S,10,","26.4","2,S,29,","","","12.9","3,,,S","","","22.66","2,,,S","",""
"KEM00063741","1994-07","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","0.6","S","0.6","5,S","6","4,S","3","4,S","0","4,S","0","4,S","0","4,S","0","1,S","15","1,S","0","1,S","8.7","4,S,30,","13.0","4,,S,13,","24.7","1,S,11,","47.8","1,S","27.6","4,,,S","16.41","5,S","21.23","1,,,S","11.60","4,,,S"
"KEM00063741","1994-08","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","5","3,S","3","3,S","1","3,S","","","","","0","4,S","16","4,S","0","4,S","","","25.9","3,,S,16,","25.9","4,S,10,","","","54.5","3,,,S","","","21.78","4,,,S","",""
"KEM00063741","1994-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","3,S","25","3,S","0","3,S","","","","","26.8","3,S,30,","","","","","","","24.14","3,,,S","",""
"KEM00063741","1994-10","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","9","5,S","4","5,S","1","5,S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","9.0","5,S,16,","41.9","5,,S,14,","28.2","2,S,04,","","","89.4","5,,,S","19.52","7,S","24.96","2,,,S","14.09","5,,,S"
"KEM00063741","1994-11","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","12.8","5,S","20","3,S","15","3,S","3","3,S","0","3,S","0","3,S","0","2,S","27","2,S","0","2,S","13.0","3,S,16,","39.1","3,,S,11,","24.5","2,S,25,+","2.1","2,S","232.8","3,,,S","18.76","5,S","23.03","2,,,S","14.49","3,,,S"
"KEM00063741","1994-12","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","10","2,S","6","2,S","1","2,S","0","4,S","0","4,S","0","2,S","25","2,S","0","2,S","10.4","4,S,28,","26.9","2,,S,06,","26.5","2,S,31,","","","81.8","2,,,S","18.39","6,S","23.11","2,,,S","13.68","4,,,S"
"KEM00063741","1995-01","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","4,S","0","4,S","0","2,S","29","2,S","0","2,S","9.2","4,S,20,","","","27.5","2,S,01,","","","","","18.83","6,S","25.24","2,,,S","12.42","4,,,S"
"KEM00063741","1995-02","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","7","5,S","6","5,S","3","5,S","0","4,S","0","4,S","0","3,S","25","3,S","0","3,S","10.4","4,S,20,","36.1","5,,S,16,","28.8","3,S,07,","","","117.1","5,,,S","19.39","7,S","26.22","3,,,S","12.57","4,,,S"
"KEM00063741","1995-03","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","2,S","28","2,S","0","2,S","","","","","27.4","2,S,01,","","","","","","","24.44","2,,,S","",""
"KEM00063741","1995-04","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","4,S","0","4,S","","","","","","","13.5","4,S,02,+","","","","","","","","","","","","","15.08","4,,,S"
"KEM00063741","1995-06","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","5,S","0","5,S","0","5,S","22","5,S","0","5,S","8.7","5,S,14,","","","26.1","5,S,15,","","","","","17.87","9,S","23.44","5,,,S","12.30","5,,,S"
"KEM00063741","1995-07","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","3,S","16","3,S","0","3,S","","","","","24.5","3,S,02,","","","","","","","21.07","3,,,S","",""
"KEM00063741","1995-08","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","6","5,S","4","5,S","0","5,S","","","","","","","","","","","","","6.1","5,,S,21,","","","","","16.6","5,,,S","","","","","",""
"KEM00063741","1995-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","7","4,S","3","4,S","0","4,S","","","","","0","3,S","24","3,S","0","3,S","","","9.9","4,,S,27,+","27.8","3,S,26,","","","27.7","4,,,S","","","24.37","3,,,S","",""
"KEM00063741","1995-10","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","7","5,S","4","5,S","2","5,S","","","","","0","3,S","27","3,S","0","3,S","","","89.9","5,,S,04,","27.3","3,S,19,","","","151.1","5,,,S","","","24.45","3,,,S","",""
"KEM00063741","1995-11","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","12","3,S","9","3,S","0","3,S","","","","","0","5,S","24","5,S","0","5,S","","","14.0","3,,S,16,","25.7","5,S,10,","","","84.6","3,,,S","","","23.57","5,,,S","",""
"KEM00063741","1995-12","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","9","4,S","4","4,S","0","4,S","","","","","","","","","","","","","15.0","4,,S,13,","","","","","31.8","4,,,S","","","","","",""
"KEM00063741","1996-01","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","4","5,S","3","5,S","0","5,S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","10.2","5,S,15,","7.9","5,,S,22,","27.1","2,S,16,","","","18.0","5,,,S","19.41","7,S","25.71","2,,,S","13.10","5,,,S"
"KEM00063741","1996-02","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","5,S","24","5,S","0","5,S","","","","","29.9","5,S,16,","","","","","","","27.11","5,,,S","",""
"KEM00063741","1996-03","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","9","3,S","8","3,S","1","3,S","0","4,S","0","4,S","","","","","","","11.5","4,S,25,","46.0","3,,S,27,","","","","","119.7","3,,,S","","","","","15.07","4,,,S"
"KEM00063741","1996-04","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","7","4,S","5","4,S","1","4,S","","","","","","","","","","","","","49.0","4,,S,09,","","","","","92.9","4,,,S","","","","","",""
"KEM00063741","1996-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","15","4,S","8","4,S","1","4,S","","","","","0","4,S","24","4,S","0","4,S","","","31.0","4,,S,19,","26.1","4,S,13,","","","96.7","4,,,S","","","23.03","4,,,S","",""
"KEM00063741","1996-06","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","12","3,S","8","3,S","0","3,S","0","5,S","0","5,S","0","3,S","17","3,S","0","3,S","12.0","5,S,01,","11.9","3,,S,14,","24.3","3,S,17,","","","57.1","3,,,S","17.32","7,S","21.31","3,,,S","13.33","5,,,S"
"KEM00063741","1996-07","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","9","5,S","4","5,S","0","5,S","","","","","0","3,S","15","3,S","0","3,S","","","23.1","5,,S,08,","25.4","3,S,07,","","","42.7","5,,,S","","","20.99","3,,,S","",""
"KEM00063741","1996-09","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","5,S","0","5,S","0","4,S","25","4,S","0","4,S","7.1","5,S,22,","","","30.0","4,S,15,","","","","","18.45","8,S","24.74","4,,,S","12.16","5,,,S"
"KEM00063741","1996-10","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","1","4,S","0","4,S","0","4,S","","","","","0","2,S","29","2,S","0","2,S","","","2.0","4,,S,27,","28.3","2,S,31,","","","2.0","4,,,S","","","26.04","2,,,S","",""
"KEM00063741","1996-11","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","18","1,S","14","1,S","2","1,S","","","","","0","5,S","20","5,S","0","5,S","","","30.0","1,,S,20,","27.7","5,S,01,","","","180.7","1,,,S","","","22.83","5,,,S","",""
"KEM00063741","1997-02","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","","","","","0","2,S","26","2,S","0","2,S","","","","","29.4","2,S,26,","","","","","","","28.17","2,,,S","",""
"KEM00063741","1997-03","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","","","","","","","0","4,S","0","4,S","0","3,S","28","3,S","0","3,S","9.5","4,S,04,","","","29.2","3,S,05,","","","","","21.03","6,S","27.19","3,,,S","14.86","4,,,S"
"KEM00063741","1997-04","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","19","2,S","19","2,S","5","2,S","0","5,S","0","5,S","","","","","","","13.1","5,S,01,","80.0","2,,S,24,","","","","","383.5","2,,,S","","","","","14.65","5,,,S"
"KEM00063741","1997-05","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","14","4,S","11","4,S","1","4,S","","","","","","","","","","","","","63.0","4,,S,02,","","","","","169.4","4,,,S","","","","","",""
"KEM00063741","1997-06","-1.3","36.75","1798.0","NAIROBI DAGORETTI, KE","","","","","8","4,S","1","4,S","1","4,S","0","5,S","0","5,S","0","4,S","22","4,S","0","4,S","9.7","5,S,13,","99.1","4,,S,03,","23.6","4,S,12,","","","105.1","4,,,S","17.58","9,S","21.97","4,,,S","13.18","5,,,S"
