"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00271100","2016-07","43.85985","-71.59703","539.8","CAMPTON 2, NH US","","","1",""
"USC00271100","2016-11","43.85985","-71.59703","539.8","CAMPTON 2, NH US","1","","",""
