"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00129113","1982-05","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","5",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","32.5",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5",",,,0","0",",,,0","","","","","",""
"USC00129113","1982-07","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","5","1,0","5","1,0","1","1,0","","","0","1,0","","","","","","","","","","","","","","","","","","","0","1,,0,31,+","33.0","1,,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.4","1,,,0","0","1,,,0","","","","","",""
"USC00129113","1982-08","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","117.0","4,0","8",",0","5",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0",",0","30",",0","5",",0","","","","","11.1","4,0,12,","0",",,0,31,+","0",",,0,31,+","16.5",",,0,31,","34.4",",0,05,","","","","","","","2.3",",0","","","","","","","","","","","","","","","","","","","","","71.9",",,,0","0",",,,0","22.54","4,0","28.20",",,,0","16.88","4,,,0"
"USC00129113","1982-09","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","5",",0","4",",0","1",",0","0",",0","0",",0","","","","","0",",0","25",",0","0",",0","","","","","","","0",",,0,30,+","0",",,0,30,+","58.9",",,0,02,","30.6",",0,15,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.8",",,,0","0",",,,0","","","24.97",",,,0","",""
"USC00129113","1982-10","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","3","2,0","3","2,0","0","2,0","0",",0","0",",0","","","","","0","2,0","16","2,0","0","2,0","","","","","","","0",",,0,31,+","0",",,0,31,+","11.4","2,,0,07,","30.0","2,0,08,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8","2,,,0","0",",,,0","","","21.05","2,,,0","",""
"USC00129113","1982-11","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","3.3","5,0","8",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","14","3,0","2","2,0","3","2,0","0","2,0","","","","","-7.2","3,0,26,+","0",",,0,30,+","0",",,0,30,+","19.8",",,0,12,","25.0","2,0,02,","","","","","","","288.7","2,0","","","","","","","","","","","","","","","","","","","","","55.9",",,,0","0",",,,0","7.14","5,0","12.05","2,,,0","2.22","3,,,0"
"USC00129113","1982-12","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","1.4","3,0","6",",0","6",",0","2",",0","0",",0","0",",0","0","2,0","17","2,0","2","1,0","2","1,0","0","1,0","","","","","-11.1","2,0,12,","0",",,0,31,+","0",",,0,31,+","84.6",",,0,26,","23.9","1,0,06,+","","","","","","","361.5","1,0","","","","","","","","","","","","","","","","","","","","","168.4",",,,0","0",",,,0","5.28","3,0","10.00","1,,,0","0.57","2,,,0"
"USC00129113","1983-01","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","0.0","0","0.0","5,0","1","4,0","1","4,0","0","4,0","","","0","5,0","0","5,0","26","5,0","8",",0","0",",0","0",",0","","","","","-12.2","5,0,19,","","","0","5,,0,31,+","8.1","4,,0,31,","11.1",",0,07,","","","","","","","510.2",",0","","","","","","","","","","","","","","","","","","","","","37.1",",a,,0","0","5,,,0","-1.02","5,0","2.54",",,,0","-4.58","5,,,0"
"USC00129113","1983-02","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","1",",0","1",",0","0",",0","","","","","","","","","4",",0","0",",0","0",",0","","","","","","","","","","","23.6",",,0,02,","20.0",",0,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6",",,,0","","","","","6.81",",,,0","",""
"USC00129113","1983-03","38.7386","-87.4877","137.8","VINCENNES 5 NE, IN US","","","","","7",",0","5",",0","2",",0","0",",0","0",",0","","","","","1","1,0","6","1,0","0","1,0","","","","","","","0",",,0,31,+","0",",,0,31,+","40.1",",,0,06,","26.7","1,0,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.6",",,,0","0",",,,0","","","11.13","1,,,0","",""
