"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006119399","1936-05","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","","","","","","","","","0",",C","","","","","","","","","","","","","0",",,C,31,+","","","","","","","","","","","0",",,,C","","","","","",""
"CA006119399","1936-06","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","13.3",",C","10",",C","7",",C","1",",C","0",",C","0",",C","0",",C","0",",C","19",",C","0",",C","5.0",",C,02,","0",",,C,30,+","25.9",",,C,02,","29.4",",C,10,","","","79.1",",C","96.5",",,,C","0",",,,C","16.14",",C","22.16",",,,C","10.12",",,,C"
"CA006119399","1936-07","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","80.0",",C","5",",C","2",",C","0",",C","0",",C","0",",C","0",",C","0",",C","31",",C","6",",C","7.2",",C,02,","0",",,C,31,+","6.9",",,C,22,","35.0",",C,13,","20.0","","20.0",",C","13.8",",,,C","0",",,,C","20.27",",C","26.95",",,,C","13.58",",,,C"
"CA006119399","1936-08","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","","","7","5,C","3","5,C","0","5,C","0",",C","","","","","","","","","","","","","0",",,C,31,+","17.8","5,,C,21,","","","","","","","54.4",",a,,C","0",",,,C","","","","","",""
"CA006119399","1936-11","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","0.0",",C","6",",C","4",",C","0",",C","3",",C","2",",C","23",",C","6",",C","0",",C","0",",C","-21.1",",C,27,","102",",,C,25,","16.8",",,C,14,","16.7",",C,01,","","","581.8",",C","41.5",",,,C","229",",,,C","-1.06",",C","4.56",",,,C","-6.68",",,,C"
"CA006119399","1936-12","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","","","","","8",",C","8",",C","0",",C","3",",C","","","","","","","","","","","","","127",",,C,20,","12.7",",,C,20,","","","","","","","57.2",",,,C","228",",,,C","","","","","",""
"CA006119399","1937-01","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","0.0","C","0.0","1,C","5",",C","4",",C","0",",C","2",",C","1",",C","28",",C","8","1,C","0","1,C","0","1,C","-18.3",",C,26,","51",",,C,26,","12.2",",,C,08,","16.7","1,C,15,","","","648.0","1,C","30.8",",,,C","76",",,,C","-3.39","1,C","2.05","1,,,C","-8.83",",,,C"
"CA006119399","1937-02","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","0.0","C","0.0",",C","10",",C","8",",C","0",",C","5",",C","3",",C","27",",C","17",",C","0",",C","0",",C","-19.4",",C,03,","89",",,C,10,","16.3",",,C,21,","10.6",",C,08,","","","661.0",",C","60.3",",,,C","318",",,,C","-5.28",",C","-0.31",",,,C","-10.24",",,,C"
"CA006119399","1937-03","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","0.0","C","0.0",",C","9",",C","6",",C","0",",C","6",",C","3",",C","31",",C","15",",C","0",",C","0",",C","-20.0",",C,10,","102",",,C,12,","10.2",",,C,12,","3.3",",C,21,","","","733.9",",C","37.1",",,,C","371",",,,C","-5.34",",C","-0.71",",,,C","-9.97",",,,C"
"CA006119399","1937-04","44.7667","-79.7","181.0","WAUBAUSHENE, ON CA","0.0","C","0.0",",C","10",",C","7",",C","0",",C","0",",C","0",",C","15",",C","0",",C","1",",C","0",",C","-7.8",",C,08,","0",",,C,30,+","19.3",",,C,22,","21.1",",C,30,","","","418.5",",C","56.4",",,,C","0",",,,C","4.38",",C","9.16",",,,C","-0.39",",,,C"
