"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017503","1958-06","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017503","1958-07","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0",",X","14",",X","1",",X","0",",X","","","0",",X","31",",X","30",",X","0",",X","0",",X","15","","-16.7",",X,23,","","","3.3",",,X,30,","0.6",",X,14,","785.9","","785.9",",X","19.7",",,,X","","","-7.02",",X","-3.41",",,,X","-10.63",",,,X","180",",X","15.9",",X"
"GLW00017503","1958-08","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0","3,X","4","3,X","1","3,X","0","3,X","","","22","3,X","28","3,X","27","3,X","0","3,X","0","3,X","8","","-23.9","3,X,26,+","","","4.1","3,,X,22,","0.6","3,X,02,","1694.2","","908.3","3,X","7.2","3,,,X","","","-14.11","3,X","-8.88","3,,,X","-19.34","3,,,X","","","",""
"GLW00017503","1959-05","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017503","1959-06","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0",",X","11","1,X","7","1,X","0","1,X","","","7",",X","30",",X","26",",X","0",",X","0",",X","6","","-22.8",",X,21,","","","13.0","1,,X,17,","1.7",",X,26,","","","854.3",",X","40.7","1,,,X","","","-10.15",",X","-5.46",",,,X","-14.83",",,,X","225",",X","14.4",",X"
"GLW00017503","1959-07","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0",",X","5",",X","1",",X","0",",X","0","5,X","0",",X","31",",X","23",",X","0",",X","0",",X","16","","-15.6",",X,09,+","0","5,T,X,30,+","3.0",",,X,13,","1.1",",X,30,+","763.9","","763.9",",X","4.7",",,,X","0","5,T,,X","-6.31",",X","-1.78",",,,X","-10.83",",,,X","180",",X","11.3",",X"
"GLW00017503","1959-08","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","","","6","4,X","1","4,X","0","4,X","","","","","","","","","","","","","14","","","","","","5.6","4,,X,26,","","","","","","","10.3","4,,,X","","","","","","","","","","","",""
"GLW00017503","1960-05","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017503","1960-06","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0",",X","9",",X","5",",X","0",",X","","","11",",X","30",",X","28",",X","0",",X","0",",X","14","","-22.2",",X,19,+","","","6.6",",,X,14,+","0.6",",X,30,+","","","864.8",",X","33.3",",,,X","","","-10.50",",X","-5.57",",,,X","-15.42",",,,X","113",",X","12.9",",X"
"GLW00017503","1960-07","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","0.0",",X","12",",X","1",",X","0",",X","","","0",",X","31",",X","30",",X","0",",X","0",",X","17","","-16.1",",X,29,","","","7.9",",,X,21,","1.1",",X,01,","777.7","","777.7",",X","18.0",",,,X","","","-6.75",",X","-3.23",",,,X","-10.28",",,,X","180",",X","14.9",",X"
"GLW00017503","1960-08","76.98333","-56.06667","124.1","CAMP TUTO SITE 2, GL","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","",""
