"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00251260","1894-11","40.15","-96.333333","419.7","BURCHARD, NE US","0",",6","0",",6","0",",6","","","","","","","","","","","","","0.0",",,6,30,+","","","0.0",",,,6","","","",""
"USC00251260","1894-12","40.15","-96.333333","419.7","BURCHARD, NE US","1",",6","1",",6","0",",6","1",",6","","","","","","","","","51",",,6,11,","5.1",",,6,11,","","","5.1",",,,6","51",",,,6","",""
"USC00251260","1895-01","40.15","-96.333333","419.7","BURCHARD, NE US","1",",6","1",",6","0",",6","1",",6","","","","","","","","","102",",,6,25,","10.2",",,6,25,","","","10.2",",,,6","102",",,,6","",""
"USC00251260","1895-02","40.15","-96.333333","419.7","BURCHARD, NE US","","","","","","","0",",6","","","","","","","","","13",",,6,03,","","","","","","","13",",,,6","",""
"USC00251260","1895-03","40.15","-96.333333","419.7","BURCHARD, NE US","1","2,6","1","2,6","0","2,6","0",",6","","","","","","","","","0",",T,6,10,+","12.7","2,,6,30,","","","12.7","2,,,6","0",",T,,6","",""
"USC00251260","1895-04","40.15","-96.333333","419.7","BURCHARD, NE US","4","1,6","4","1,6","0","1,6","0",",6","","","","","","","","","0",",T,6,02,","17.8","1,,6,06,","","","45.7","1,,,6","0",",T,,6","",""
"USC00251260","1895-05","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","4",",6","1",",6","","","","","","","","","","","","","25.4",",,6,06,","","","49.8",",,,6","","","",""
"USC00251260","1895-07","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","5",",6","0",",6","","","","","","","","","","","","","16.3",",,6,29,","","","40.9",",,,6","","","",""
"USC00251260","1895-08","40.15","-96.333333","419.7","BURCHARD, NE US","7",",6","7",",6","3",",6","","","","","","","","","","","","","42.2",",,6,28,","","","184.9",",,,6","","","",""
"USC00251260","1895-09","40.15","-96.333333","419.7","BURCHARD, NE US","3",",6","3",",6","0",",6","","","","","","","","","","","","","17.8",",,6,22,","","","35.5",",,,6","","","",""
"USC00251260","1895-10","40.15","-96.333333","419.7","BURCHARD, NE US","1",",6","1",",6","0",",6","","","","","","","","","","","","","5.1",",,6,03,","","","5.1",",,,6","","","",""
"USC00251260","1895-11","40.15","-96.333333","419.7","BURCHARD, NE US","3","1,6","2","1,6","0","1,6","0",",6","","","","","","","","","0",",T,6,24,","17.8","1,,6,05,","","","27.7","1,,,6","0",",T,,6","",""
"USC00251260","1895-12","40.15","-96.333333","419.7","BURCHARD, NE US","2","2,6","2","2,6","0","2,6","1",",6","","","","","","","","","25",",,6,24,","4.6","2,,6,17,","","","7.1","2,,,6","25",",,,6","",""
"USC00251260","1896-01","40.15","-96.333333","419.7","BURCHARD, NE US","2","2,6","0","2,6","0","2,6","1",",6","","","","","","","","","25",",,6,15,","1.5","2,,6,15,","","","2.3","2,,,6","25",",,,6","",""
"USC00251260","1896-02","40.15","-96.333333","419.7","BURCHARD, NE US","0",",6","0",",6","0",",6","0",",6","","","","","","","","","0",",T,6,29,+","0.0",",T,6,29,+","","","0.0",",T,,6","0",",T,,6","",""
"USC00251260","1896-04","40.15","-96.333333","419.7","BURCHARD, NE US","6",",6","6",",6","0",",6","","","","","","","","","","","","","24.1",",,6,11,","","","67.3",",,,6","","","",""
"USC00251260","1896-05","40.15","-96.333333","419.7","BURCHARD, NE US","11",",6","11",",6","4",",6","","","","","","","","","","","","","76.2",",,6,04,","","","280.6",",,,6","","","",""
"USC00251260","1896-07","40.15","-96.333333","419.7","BURCHARD, NE US","6",",6","6",",6","3",",6","","","","","","","","","","","","","50.8",",,6,29,+","","","190.5",",,,6","","","",""
"USC00251260","1896-08","40.15","-96.333333","419.7","BURCHARD, NE US","7",",6","6",",6","1",",6","","","","","","","","","","","","","26.7",",,6,18,","","","91.5",",,,6","","","",""
"USC00251260","1896-09","40.15","-96.333333","419.7","BURCHARD, NE US","6",",6","6",",6","0",",6","","","","","","","","","","","","","23.9",",,6,18,","","","64.3",",,,6","","","",""
"USC00251260","1896-10","40.15","-96.333333","419.7","BURCHARD, NE US","3",",6","3",",6","1",",6","","","","","","","","","1","","","","29.2",",,6,29,","","","48.2",",,,6","","","",""
"USC00251260","1896-11","40.15","-96.333333","419.7","BURCHARD, NE US","1",",6","1",",6","1",",6","","","","","","","","","","","","","47.0",",,6,26,","","","47.0",",,,6","","","",""
"USC00251260","1896-12","40.15","-96.333333","419.7","BURCHARD, NE US","0",",6","0",",6","0",",6","","","","","","","","","","","","","0.0",",,6,31,+","","","0.0",",,,6","","","",""
"USC00251260","1897-01","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","3",",6","0",",6","2",",6","","","","","","","","","25",",,6,26,+","11.4",",,6,01,","","","19.0",",,,6","76",",,,6","",""
"USC00251260","1897-02","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","5",",6","0",",6","5",",6","","","","","","","","","127",",,6,11,","12.7",",,6,11,","","","25.3",",,,6","253",",,,6","",""
"USC00251260","1897-03","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","5",",6","1",",6","2",",6","","","","","","","","","254",",,6,23,","25.4",",,6,23,","","","72.4",",,,6","279",",,,6","",""
"USC00251260","1897-04","40.15","-96.333333","419.7","BURCHARD, NE US","5",",6","5",",6","2",",6","","","","","","","","","","","","","113.0",",,6,24,","","","181.5",",,,6","","","",""
"USC00251260","1897-05","40.15","-96.333333","419.7","BURCHARD, NE US","8",",6","7",",6","1",",6","","","","","","","","","","","","","40.6",",,6,27,","","","63.4",",,,6","","","",""
