"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00411148","2012-08","27.4392","-98.8358","235.0","BRUNI, TX US","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
"USC00411148","2012-09","27.4392","-98.8358","235.0","BRUNI, TX US","","","","","4","3,7","3","3,7","2","3,7","","","","","","","","","","","1","","","","","","43.7","3,,7,29,","","","","","","","105.5",",a,,7","","","","","",""
"USC00411148","2012-10","27.4392","-98.8358","235.0","BRUNI, TX US","","","206.8",",7","3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","18",",7","","","","","6.7",",7,30,+","1.3",",,7,11,","37.2",",7,05,","","","15.0",",7","2.6",",,,7","24.52",",7","31.22",",,,7","17.83",",,,7"
"USC00411148","2012-11","27.4392","-98.8358","235.0","BRUNI, TX US","","","72.9",",7","3",",7","2",",7","0",",7","0",",7","0",",7","0",",7","22",",7","3",",7","","","","","5.6",",7,29,+","6.4",",,7,24,","32.8",",7,11,","","","41.3",",7","11.0",",,,7","19.39",",7","25.24",",,,7","13.53",",,,7"
"USC00411148","2012-12","27.4392","-98.8358","235.0","BRUNI, TX US","","","38.0",",7","1",",7","0",",7","0",",7","0",",7","4",",7","0",",7","21",",7","0",",7","","","","","-1.1",",7,12,","1.3",",,7,14,","30.6",",7,20,","","","103.1",",7","1.3",",,,7","16.23",",7","22.81",",,,7","9.65",",,,7"
"USC00411148","2013-01","27.4392","-98.8358","235.0","BRUNI, TX US","27.6","7","27.6",",7","5",",7","3",",7","0",",7","0",",7","2",",7","0",",7","14",",7","0",",7","","","","","-1.1",",7,16,","6.6",",,7,09,","31.1",",7,30,","","","169.7",",7","17.8",",,,7","13.75",",7","19.45",",,,7","8.05",",,,7"
"USC00411148","2013-02","27.4392","-98.8358","235.0","BRUNI, TX US","49.5","7","21.9",",7","3",",7","1",",7","0",",7","0",",7","0",",7","0",",7","22",",7","0",",7","","","","","3.3",",7,14,","21.6",",,7,06,","30.6",",7,05,","","","52.6",",7","24.2",",,,7","17.24",",7","23.31",",,,7","11.16",",,,7"
"USC00411148","2013-03","27.4392","-98.8358","235.0","BRUNI, TX US","149.7","7","100.2",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","9",",7","","","","","4.4",",7,01,","0.5",",,7,20,","35.0",",7,18,+","","","35.8",",7","0.5",",,,7","20.41",",7","28.22",",,,7","12.60",",,,7"
"USC00411148","2013-04","27.4392","-98.8358","235.0","BRUNI, TX US","288.4","7","138.7","1,7","3",",7","3",",7","1",",7","0","1,7","0","1,7","0","1,7","27","1,7","8","1,7","","","","","6.1","1,7,20,","40.6",",,7,28,","40.0","1,7,10,","","","13.1","1,7","59.4",",,,7","22.66","1,7","29.45","1,,,7","15.88","1,,,7"
"USC00411148","2013-05","27.4392","-98.8358","235.0","BRUNI, TX US","520.9","7","232.5",",7","3",",7","3",",7","2",",7","0",",7","0",",7","0",",7","31",",7","16",",7","","","","","10.0",",7,04,","58.4",",,7,11,","36.7",",7,31,+","","","2.2",",7","118.3",",,,7","25.76",",7","31.56",",,,7","19.96",",,,7"
