"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00203123","1948-05","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","0.0",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","8",",0","0",",0","","","-1.7",",0,10,+","0",",,0,31,+","0",",,0,31,+","10.9",",,0,06,","26.7",",0,31,","127.8","1,,,0","","","252.5",",0","29.3",",,,0","0",",,,0","10.19",",0","17.60",",,,0","2.77",",,,0","4968",",,,0"
"USC00203123","1948-06","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","14.4","1,0","12",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","25","1,0","2","1,0","","","2.2",",0,06,","0",",,0,30,+","0",",,0,30,+","17.8",",,0,29,","33.9","1,0,03,","128.5",",,,0","","","72.1","1,0","79.3",",,,0","0",",,,0","16.37","1,0","24.11","1,,,0","8.63",",,,0","2265",",,,0"
"USC00203123","1948-07","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","51.5",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","","","5.0",",0,18,","0",",,0,31,+","0",",,0,31,+","30.7",",,0,30,","33.3",",0,10,","155.9",",,,0","23.6","0","23.6",",0","53.1",",,,0","0",",,,0","19.23",",0","26.83",",,,0","11.64",",,,0","2283",",,,0"
"USC00203123","1948-08","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","48.8",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","","","5.0",",0,05,","0",",,0,31,+","0",",,0,31,+","31.0",",,0,10,","36.1",",0,27,","123.4","1,,,0","64.5","0","40.9",",0","66.7",",,,0","0",",,,0","18.59",",0","25.34",",,,0","11.84",",,,0","2276",",,,0"
"USC00203123","1948-09","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","17.6",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","","","0.6",",0,26,+","0",",,0,30,+","0",",,0,30,+","15.7",",,0,07,","30.0",",0,04,","86.8",",,,0","164.2","0","99.7",",0","28.6",",,,0","0",",,,0","15.60",",0","23.22",",,,0","7.97",",,,0","1619",",,,0"
"USC00203123","1948-10","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","0.0",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","0",",0","0",",0","","","-7.2",",0,18,","0",",T,0,18,+","18",",,0,18,","18.3",",,0,09,","20.0",",0,27,","","","503.7","0","339.5",",0","38.7",",,,0","31",",,,0","7.38",",0","13.17",",,,0","1.60",",,,0","",""
"USC00203123","1948-11","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","0.0",",0","13",",0","9",",0","3",",0","7",",0","1",",0","0",",0","21",",0","1",",0","0",",0","0",",0","","","-6.7",",0,29,","178",",,0,20,","178",",,0,20,","32.3",",,0,06,","15.0",",0,05,","","","973.9","0","470.2",",0","169.5",",,,0","191",",,,0","2.66",",0","5.70",",,,0","-0.38",",,,0","",""
"USC00203123","1948-12","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","","","0.0",",0","14",",0","8",",0","0",",0","24",",0","8",",0","6",",0","30",",0","19",",0","0",",0","0",",0","","","-20.6",",0,30,+","330",",,0,25,+","124",",,0,23,","15.0",",,0,06,","8.9",",0,06,","","","1704.1","0","730.2",",0","45.7",",,,0","504",",,,0","-5.22",",0","-0.35",",,,0","-10.09",",,,0","",""
"USC00203123","1949-01","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","0.0","0","0.0","1,0","14","1,0","7","1,0","0","1,0","30","1,0","7","1,0","5","1,0","30","1,0","23","1,0","0","1,0","0","1,0","","","-22.8","1,0,30,","508","1,,0,28,","208","1,,0,28,","14.7","1,,0,28,+","5.0","1,0,07,","","","2456.4","0","752.3","1,0","78.2","1,,,0","676","1,,,0","-6.75","1,0","-2.02","1,,,0","-11.47","1,,,0","",""
"USC00203123","1949-02","46.28333","-85.95","217.0","SENEY WILDLIFE REF, MI US","0.0","0","0.0",",0","14",",0","7",",0","0",",0","28",",0","10",",0","5",",0","28",",0","19",",0","0",",0","0",",0","","","-22.8",",0,02,","559",",,0,07,","102",",,0,07,","12.2",",,0,24,","5.6",",0,18,","","","3168.4","0","712.0",",0","50.6",",,,0","612",",,,0","-7.09",",0","-2.03",",,,0","-12.16",",,,0","",""
