"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00403447","2000-11","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","","","3.6","3,0","14",",0","11",",0","2",",0","0","5,0","0","3,0","0",",0","12",",0","0","3,0","3","3,0","0","3,0","4","","2","","-4.4",",0,22,+","0","5,,0,30,+","0","3,,0,30,+","56.9",",,0,09,","30.0","3,0,01,","","","","","247.3","3,0","","","","","","","","","","","210.8",",,,0","0","3,,,0","9.46","3,0","14.86","3,,,0","4.06",",,,0","","","",""
"USC00403447","2000-12","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","","","0.0","3,0","9",",0","5",",0","1",",0","0","5,0","0","5,0","0",",0","27",",0","4","3,0","0","3,0","0","3,0","","","","","-11.7",",0,20,","0","5,T,0,17,","13","5,,0,17,","36.3",",,0,16,","18.9","3,0,11,","","","","","491.9","3,0","","","","","","","","","","","89.9",",,,0","13","5,,,0","0.53","3,0","5.81","3,,,0","-4.75",",,,0","","","",""
"USC00403447","2001-01","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","0.0","0","0.0",",0","12",",0","7",",0","1",",0","1","5,0","1",",0","0",",0","22",",0","3",",0","0",",0","0",",0","","","1","","-13.9",",0,03,","25","5,,0,01,","25",",,0,01,","35.8",",,0,19,","17.2",",0,30,+","","","","","487.7",",0","","","","","","","","","","","111.4",",,,0","25",",,,0","2.60",",0","7.90",",,,0","-2.70",",,,0","","","",""
"USC00403447","2001-02","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","0.0","0","0.0","4,0","10",",0","7",",0","3",",0","","","0","2,0","0",",0","12",",0","0","4,0","4","4,0","0","4,0","2","","2","","-7.2",",0,03,","","","0","2,,0,28,+","47.0",",,0,16,","24.4","4,0,08,","","","","","210.0","4,0","","","","","","","","","","","195.1",",,,0","0","2,,,0","9.42","4,0","15.76","4,,,0","3.07",",,,0","","","",""
"USC00403447","2001-03","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","0.0","0","0.0","5,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","4,0","10","4,0","0","1,0","5","1,0","0","1,0","1","","3","","-5.0","4,0,27,","0",",,0,31,+","0",",,0,31,+","22.4",",,0,04,","24.4","1,0,23,","","","","","238.6","1,0","","","","","","","","","","","95.3",",,,0","0",",,,0","9.21","5,0","15.53","1,,,0","2.89","4,,,0","","","",""
"USC00403447","2001-04","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","89.1","0","89.1",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","2",",0","1","","4","","1.7",",0,18,+","0",",,0,30,+","0",",,0,30,+","38.6",",,0,13,","32.8",",0,29,","","","","","49.2",",0","","","","","","","","","","","114.0",",,,0","0",",,,0","19.66",",0","26.54",",,,0","12.78",",,,0","","","",""
"USC00403447","2001-05","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","210.8","0","121.7",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","","","5","","9.4",",0,25,","0",",,0,31,+","0",",,0,31,+","27.7",",,0,21,","33.3",",0,15,","","","","","3.1",",0","","","","","","","","","","","87.7",",,,0","0",",,,0","22.16",",0","28.82",",,,0","15.50",",,,0","","","",""
"USC00403447","2001-06","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","418.7","0","207.9",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","5","","15.0",",0,23,","0",",,0,30,+","0",",,0,30,+","22.9",",,0,29,","35.6",",0,18,+","","","","","0.0",",0","","","","","","","","","","","62.1",",,,0","0",",,,0","25.26",",0","31.43",",,,0","19.10",",,,0","","","",""
"USC00403447","2001-07","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","720.4","0","301.7","1,0","10",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","26",",0","","","6","","15.6","1,0,15,","0",",,0,31,+","0",",,0,31,+","25.4",",,0,10,","36.7",",0,31,+","0.0","0","","","0.0",",0","","","","","","","","","","","92.4",",,,0","0",",,,0","28.39","1,0","34.15",",,,0","22.63","1,,,0","","","",""
"USC00403447","2001-08","35.0761","-89.743","97.5","GERMANTOWN 4 SE, TN US","","","997.6","0","277.2","1,0","11","1,0","5","1,0","0","1,0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","24","1,0","1","","2","","16.1","1,0,20,","0",",,0,31,+","0",",,0,31,+","10.7","1,,0,08,","36.7","1,0,22,","0.0","0","","","0.0","1,0","","","","","","","","","","","36.5","1,,,0","0",",,,0","27.57","1,0","33.29","1,,,0","21.86","1,,,0","","","",""
