"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00202423","1890-04","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","0.0","1,6","8",",6","5",",6","0",",6","","","","","0","1,6","18","1,6","0",",6","3",",6","0",",6","","","","","-6.1","1,6,01,","","","","","6.4",",,6,08,","22.8",",6,14,+","","","375.4",",6","27.6",",,,6","","","5.35","1,6","10.39",",,,6","0.31","1,,,6","71",",,,6"
"USC00202423","1890-05","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","1.1",",6","11","1,6","9","1,6","1","1,6","","","","","0",",6","5",",6","0",",6","3",",6","0",",6","","","","","-1.1",",6,05,","","","","","25.4","1,,6,25,","23.9",",6,30,","","","275.3",",6","73.3","1,,,6","","","9.49",",6","14.10",",,,6","4.87",",,,6","",""
"USC00202423","1890-06","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","60.4",",6","","","","","","","","","","","0",",6","0",",6","0",",6","27",",6","2",",6","","","","","4.4",",6,08,","","","","","","","35.0",",6,29,+","","","23.6",",6","","","","","19.56",",6","24.90",",,,6","14.22",",,,6","55",",,,6"
"USC00202423","1891-10","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","","","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.5",",,6,04,","","","","","","","5.1",",,,6","","","","","","","","","",""
"USC00202423","1893-01","44.2838","-83.5036","178.6","EAST TAWAS, MI US","0.0","","0.0",",6","6","3,6","2","3,6","0","3,6","","","","","10",",6","31",",6","29",",6","0",",6","0",",6","","","","","-28.9",",6,04,","","","","","7.6","3,,6,05,","3.3",",6,29,","","","897.0",",6","11.3","3,,,6","","","-10.60",",6","-5.56",",,,6","-15.65",",,,6","",""
"USC00202423","1893-02","44.2838","-83.5036","178.6","EAST TAWAS, MI US","0.0","","0.0","1,6","6",",6","5",",6","0",",6","","","5",",6","8","1,6","27","1,6","20",",6","0",",6","0",",6","","","","","-25.0","1,6,04,","","","152",",,6,02,","15.2",",,6,02,","5.0",",6,15,","","","735.9",",6","39.4",",,,6","394",",,,6","-8.97","1,6","-3.17",",,,6","-14.77","1,,,6","",""
"USC00202423","1897-01","44.2838","-83.5036","178.6","EAST TAWAS, MI US","0.0","6","0.0","4,6","5",",6","4",",6","1",",6","","","1",",6","2","2,6","27","2,6","20","2,6","0","2,6","0","2,6","","","","","-20.6","2,6,24,","","","25",",,6,20,","53.3",",,6,04,","6.7","2,6,17,","","","641.3","2,6","80.4",",,,6","41",",,,6","-5.68","4,6","-1.88","2,,,6","-9.48","2,,,6","",""
"USC00202423","1897-03","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","0.0","2,6","","","","","","","","","","","0","1,6","27","1,6","11","1,6","0","1,6","0","1,6","","","","","-16.7","1,6,16,","","","","","","","11.1","1,6,30,","","","595.4","1,6","","","","","-2.23","2,6","2.02","1,,,6","-6.47","1,,,6","",""
"USC00202423","1897-04","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","","","6",",6","6",",6","1",",6","","","0",",6","0","3,6","17","3,6","0","3,6","0","3,6","0","3,6","","","","","-9.4","3,6,19,","","","0",",T,6,16,","31.8",",,6,30,","20.0","3,6,22,","","","","","103.2",",,,6","0",",T,,6","4.74","6,6","9.72","3,,,6","-0.23","3,,,6","",""
"USC00202423","1897-05","44.2838","-83.5036","178.6","EAST TAWAS, MI US","","","0.0",",6","5",",6","5",",6","1",",6","","","","","0",",6","1",",6","0",",6","2",",6","0",",6","","","","","0.0",",6,26,","","","","","25.4",",,6,02,","24.4",",6,17,","","","248.3",",6","83.6",",,,6","","","10.32",",6","15.43",",,,6","5.21",",,,6","",""
