"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094815","1998-02","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","","","","","0.0",",M","","","","","","","","","0",",M","20",",M","3",",M","0",",M","0",",M","","","","","","","-8.3",",M,08,","","","","","13.3",",M,27,","","","465.2",",M","","","1.72",",M","5.81",",,,M","-2.37",",,,M","","","","","","","","","",""
"USW00094815","1998-03","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","","","","","4.8",",M","","","","","","","","","0",",M","22",",M","5",",M","4",",M","0",",M","","","","","","","-15.0",",M,11,","","","","","25.6",",M,30,","","","488.6",",M","","","2.73",",M","6.92",",,,M","-1.47",",,,M","","","","","","","","","",""
"USW00094815","1998-04","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","3.5",",W","","","0.0",",W","13",",W","10",",W","0",",W","","","0",",W","8",",W","0",",W","2",",W","0",",W","","","","","","","-2.2",",W,27,+","","","22.9",",,W,09,","21.1",",W,24,+","","","281.0",",W","93.3",",,,W","8.97",",W","14.93",",,,W","3.00",",,,W","","","250",",W","260",",W","16.1",",W","19.7",",W"
"USW00094815","1998-05","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","3.0",",W","","","33.4",",W","10",",W","2",",W","0",",W","","","0",",W","0",",W","0",",W","24",",W","0",",W","","","","","","","5.6",",W,26,","","","11.9",",,W,24,","31.7",",W,18,","","","49.1",",W","21.4",",,,W","17.83",",W","24.51",",,,W","11.14",",,,W","","","320",",W","330",",W","16.1",",W","19.7",",W"
"USW00094815","1998-06","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","3.3",",W","","","95.5",",W","15",",W","6",",W","1",",W","","","0",",W","0",",W","0",",W","24",",W","3",",W","","","","","","","2.8",",W,08,+","","","41.9",",,W,26,","36.1",",W,25,","","","52.2",",W","85.3",",,,W","19.78",",W","26.41",",,,W","13.14",",,,W","","","310",",W","250",",W","13.9",",W","17.9",",W"
"USW00094815","1998-07","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2.8",",W","","","119.1",",W","10",",W","4",",W","1",",W","","","0",",W","0",",W","0",",W","31",",W","5",",W","","","","","","","10.6",",W,26,+","","","60.2",",,W,21,","35.0",",W,21,","0.0","W","0.0",",W","98.1",",,,W","22.18",",W","28.89",",,,W","15.46",",,,W","","","280",",W","290",",W","19.2",",W","25.0",",W"
"USW00094815","1998-08","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2.4",",W","","","117.0",",W","13",",W","4",",W","0",",W","","","0",",W","0",",W","0",",W","31",",W","2",",W","","","","","","","8.9",",W,19,","","","20.1",",,W,25,","32.8",",W,23,","1.4","W","1.4",",W","61.7",",,,W","22.06",",W","27.70",",,,W","16.42",",,,W","","","230",",W","220",",W","10.3",",W","13.0",",W"
"USW00094815","1998-09","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2.8",",W","","","49.2",",W","13",",W","3",",W","1",",W","","","0",",W","0",",W","0",",W","26",",W","2",",W","","","","","","","3.9",",W,23,","","","30.0",",,W,07,","32.2",",W,26,+","37.7","W","36.3",",W","61.9",",,,W","18.76",",W","25.56",",,,W","11.97",",,,W","","","270",",W","270",",W","14.8",",W","20.1",",W"
"USW00094815","1998-10","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","3.0",",W","","","3.3",",W","14",",W","8",",W","1",",W","","","0",",W","2",",W","0",",W","6",",W","0",",W","","","","","","","-1.7",",W,22,","","","25.4",",,W,06,","26.1",",W,06,","256.3","W","218.6",",W","71.4",",,,W","11.39",",W","16.81",",,,W","5.97",",,,W","","","180",",W","210",",W","12.5",",W","15.2",",W"
"USW00094815","1998-11","42.23472","-85.55194","264.6","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","4.2",",W","","","0.0",",W","8",",W","2",",W","1",",W","","","0",",W","12",",W","0",",W","0",",W","0",",W","","","","","","","-4.4",",W,27,","","","29.0",",,W,10,","18.9",",W,28,","635.2","W","378.9",",W","41.3",",,,W","5.70",",W","10.04",",,,W","1.36",",,,W","","","240",",W","240",",W","19.7",",W","28.2",",W"
