"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093732","1958-10","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","","","0.9",",X","8",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","14","","","","6.1",",X,27,","0",",,X,31,+","0",",,X,31,+","13.2",",,X,25,","23.9",",X,24,","","","132.3",",X","44.7",",,,X","0",",,,X","14.09",",X","17.64",",,,X","10.55",",,,X"
"USW00093732","1958-11","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","","","0.0",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","14","","1","","-1.7",",X,30,","0",",,X,30,+","0",",T,X,30,","2.3",",,X,10,","18.9",",X,06,","","","205.0",",X","9.7",",,,X","0",",T,,X","11.50",",X","14.61",",,,X","8.39",",,,X"
"USW00093732","1958-12","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","","","0.0",",X","10",",X","5",",X","0",",X","0",",X","3",",X","0",",X","21",",X","4",",X","0",",X","0",",X","8","","","","-7.2",",X,11,","0",",,X,31,+","97",",,X,12,","9.7",",,X,12,","16.7",",X,04,","","","488.7",",X","36.7",",,,X","204",",,,X","2.57",",X","5.84",",,,X","-0.70",",,,X"
"USW00093732","1959-01","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","X","0.0","4,X","9",",X","4",",X","0",",X","0",",X","1",",X","0","2,X","18","2,X","2","2,X","0","2,X","0","2,X","13","","","","-7.2","2,X,06,","0",",,X,31,+","76",",,X,26,","7.6",",,X,26,","15.6","2,X,21,","","","409.8","2,X","27.2",",,,X","76",",,,X","3.24","4,X","7.03","2,,,X","-0.56","2,,,X"
"USW00093732","1959-02","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","X","0.0",",X","8",",X","6",",X","0",",X","0",",X","0",",X","0",",X","13",",X","4",",X","0",",X","0",",X","12","","","","-9.4",",X,20,","0",",,X,28,+","0",",T,X,20,+","9.4",",,X,14,","12.8",",X,04,","","","428.2",",X","41.8",",,,X","0",",T,,X","3.04",",X","6.23",",,,X","-0.15",",,,X"
"USW00093732","1959-03","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","X","0.0","4,X","15",",X","8",",X","1",",X","0",",X","0",",X","0","2,X","8","2,X","0","2,X","0","2,X","0","2,X","16","","1","","-1.7","2,X,23,+","0",",,X,31,+","0",",T,X,28,+","28.7",",,X,12,","13.9","2,X,15,","","","341.7","2,X","115.2",",,,X","0",",T,,X","5.68","4,X","8.69","2,,,X","2.66","2,,,X"
"USW00093732","1959-04","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","X","0.0",",X","14",",X","8",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","19","","1","","2.2",",X,13,","0",",,X,30,+","0",",T,X,12,","14.2",",,X,29,","18.3",",X,17,","","","289.8",",X","79.4",",,,X","0",",T,,X","8.67",",X","10.82",",,,X","6.53",",,,X"
"USW00093732","1959-05","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.9","X","0.9",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","16","","1","","7.2",",X,01,","0",",,X,31,+","0",",,X,31,+","5.3",",,X,01,","20.6",",X,30,+","","","122.7",",X","10.8",",,,X","0",",,,X","14.40",",X","16.62",",,,X","12.19",",,,X"
"USW00093732","1959-06","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","38.8","X","37.9",",X","8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","15",",X","0",",X","18","","4","","11.1",",X,15,+","0",",,X,30,+","0",",,X,30,+","10.9",",,X,03,","31.1",",X,30,","","","28.7",",X","27.5",",,,X","0",",,,X","18.64",",X","21.13",",,,X","16.15",",,,X"
"USW00093732","1959-07","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","174.1","X","135.3",",X","13",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19","","2","","18.3",",X,03,","0",",,X,31,+","0",",,X,31,+","45.5",",,X,14,","28.3",",X,28,","0.0","X","0.0",",X","99.2",",,,X","0",",,,X","22.70",",X","24.44",",,,X","20.96",",,,X"
"USW00093732","1959-08","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","318.4","X","144.3",",X","6",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","20","","2","","15.0",",X,02,","0",",,X,31,+","0",",,X,31,+","11.9",",,X,05,","31.1",",X,28,","0.0","X","0.0",",X","33.8",",,,X","0",",,,X","22.99",",X","24.90",",,,X","21.08",",,,X"
"USW00093732","1959-09","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","433.1","X","114.7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","0",",X","6","","","","13.3",",X,19,+","0",",,X,30,+","0",",,X,30,+","1.5",",,X,17,","31.1",",X,07,","11.2","X","11.2",",X","2.1",",,,X","0",",,,X","21.79",",X","23.50",",,,X","20.07",",,,X"
"USW00093732","1959-10","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","458.2","X","25.1",",X","12",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","10",",X","0",",X","11","","1","","2.2",",X,27,","0",",,X,31,+","0",",,X,31,+","17.3",",,X,14,","23.3",",X,05,","114.7","X","103.5",",X","49.6",",,,X","0",",,,X","15.80",",X","17.59",",,,X","14.01",",,,X"
"USW00093732","1959-11","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","458.2","X","0.0",",X","11",",X","8",",X","4",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","12","","","","-2.2",",X,18,","0",",,X,30,+","3",",,X,29,","39.1",",,X,24,","18.3",",X,05,","367.3","X","252.6",",X","183.1",",,,X","3",",,,X","9.91",",X","12.51",",,,X","7.32",",,,X"
"USW00093732","1959-12","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","458.2","X","0.0",",X","12",",X","8",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","0",",X","0",",X","11","","","","-3.3",",X,23,","0",",,X,31,+","0",",T,X,31,+","17.8",",,X,12,","13.9",",X,13,+","716.0","X","348.7",",X","63.6",",,,X","0",",T,,X","7.08",",X","9.29",",,,X","4.88",",,,X"
"USW00093732","1960-01","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","","0.0",",X","11",",X","8",",X","1",",X","0",",X","3",",X","0",",X","6",",X","0",",X","0",",X","0",",X","11","","","","-2.8",",X,09,","0",",,X,31,+","56",",,X,13,","28.2",",,X,13,","12.8",",X,03,","1154.2","","438.2",",X","76.0",",,,X","187",",,,X","4.20",",X","6.51",",,,X","1.88",",,,X"
"USW00093732","1960-02","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","","0.0",",X","13",",X","10",",X","1",",X","0",",X","3",",X","0",",X","9",",X","0",",X","0",",X","0",",X","9","","","","-3.3",",X,03,","0",",,X,29,+","94",",,X,13,","27.7",",,X,14,","11.7",",X,26,+","1557.0","","402.8",",X","106.7",",,,X","150",",,,X","4.44",",X","6.79",",,,X","2.10",",,,X"
"USW00093732","1960-03","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","","0.0",",X","11",",X","7",",X","3",",X","0",",X","5",",X","0",",X","17",",X","0",",X","0",",X","0",",X","9","","","","-5.0",",X,11,","0",",T,X,05,","330",",,X,03,","35.3",",,X,03,","14.4",",X,28,","2048.2","","491.2",",X","148.0",",,,X","897",",,,X","2.49",",X","4.56",",,,X","0.41",",,,X"
"USW00093732","1960-04","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","","0.0",",X","10",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","12","","2","","3.3",",X,11,+","0",",,X,30,+","0",",,X,30,+","8.9",",,X,04,","21.1",",X,25,","2316.6","","268.4",",X","21.3",",,,X","0",",,,X","9.39",",X","11.97",",,,X","6.81",",,,X"
"USW00093732","1960-05","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","0.0","","0.0",",X","9",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","19","","4","","7.8",",X,02,","0",",,X,31,+","0",",,X,31,+","6.9",",,X,23,","21.1",",X,17,","2469.2","","152.6",",X","17.5",",,,X","0",",,,X","13.41",",X","15.34",",,,X","11.48",",,,X"
"USW00093732","1960-06","39.8","-72.66667","25.9","NEW YORK SHOALS AFS OFF SHORE, NY US","35.7","","35.7",",X","8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","14","","3","","13.9",",X,13,+","0",",,X,30,+","0",",,X,30,+","15.0",",,X,05,","24.4",",X,30,+","2490.9","","21.7",",X","34.9",",,,X","0",",,,X","18.80",",X","20.36",",,,X","17.24",",,,X"
