"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087903","1979-11","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","4","2,S","3","2,S","0","2,S","","","0","4,","4","4,S","-1.0","4,S,07,+","","","10.9","2,,S,11,","22.0","2,,,S","4.62","4,,,S"
"ARM00087903","1981-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","2","5,S","0","5,S","0","5,S","","","","","","","","","","","1.0","5,,S,13,+","2.0","5,,,S","",""
"ARM00087903","1981-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","3","3,S","0","3,S","0","3,S","","","0","4,S","0","4,S","3.0","4,S,18,+","","","1.0","3,,S,29,+","2.5","3,,,S","7.15","4,,,S"
"ARM00087903","1989-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","11","5,S","-2.7","5,S,27,","","","","","","","0.62","5,,,S"
"ARM00087903","1989-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,","24","5,S","-5.5","5,S,17,+","","","","","","","-2.40","5,,,S"
"ARM00087903","1990-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","4.5","5,S,03,","","","","","","","8.37","5,,,S"
"ARM00087903","1990-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","0","3,S","1.0","3,S,30,","","","","","","","5.89","3,,,S"
"ARM00087903","1993-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","3","5,S","0","5,S","","","","","","","","","","","6.1","5,,S,25,+","18.3","5,,,S","",""
"ARM00087903","1993-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","16","5,S","-12.8","5,S,30,","","","","","","","-1.29","5,,,S"
"ARM00087903","1994-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","3","5,S","0","5,S","","","0","5,S","0","5,S","0.8","5,S,01,","","","15.0","5,,S,27,","27.7","5,,,S","6.01","5,,,S"
"ARM00087903","1994-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","7","5,S","-3.7","5,S,02,","","","","","","","2.07","5,,,S"
"ARM00087903","1994-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","4,S","4","4,S","0","4,S","","","0","1,S","0","1,S","3.0","1,S,18,","","","7.9","4,,S,28,","21.2","4,,,S","7.24","1,,,S"
"ARM00087903","1995-01","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","2.3","5,S,14,","","","","","","","7.50","5,,,S"
"ARM00087903","1995-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","0","3,S","0.3","3,S,17,","","","","","","","6.82","3,,,S"
"ARM00087903","1995-04","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","0.8","5,S,17,+","","","","","","","4.56","5,,,S"
"ARM00087903","1995-06","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","4,S","4","4,S","0","4,S","","","0","1,S","27","1,S","-8.7","1,S,12,","","","11.9","4,,S,26,","33.7","4,,,S","-4.42","1,,,S"
"ARM00087903","1995-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","10","5,S","6","5,S","0","5,S","","","","","","","","","","","13.0","5,,S,21,","51.9","5,,,S","",""
"ARM00087903","1995-09","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","11","3,S","-4.2","3,S,08,","","","","","","","0.36","3,,,S"
"ARM00087903","1995-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","6","3,S","3","3,S","0","3,S","","","","","","","","","","","11.9","3,,S,05,","29.9","3,,,S","",""
"ARM00087903","1996-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","2.3","5,S,23,","","","","","","","6.51","5,,,S"
"ARM00087903","1996-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","1","5,S","0","5,S","","","","","","","","","","","3.0","5,,S,08,","7.0","5,,,S","",""
"ARM00087903","1996-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","1,S","5","1,S","-2.0","1,S,18,","","","","","","","1.77","1,,,S"
"ARM00087903","1996-06","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","4,S","15","4,S","-6.7","4,S,18,","","","","","","","-1.03","4,,,S"
"ARM00087903","1996-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","23","3,S","-7.7","3,S,05,","","","","","","","-2.55","3,,,S"
"ARM00087903","1996-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","4","5,S","2","5,S","0","5,S","","","0","3,S","10","3,S","-4.0","3,S,20,","","","4.1","5,,S,08,","8.6","5,,,S","1.74","3,,,S"
"ARM00087903","1996-11","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","4,S","4","4,S","-1.8","4,S,13,+","","","","","","","3.69","4,,,S"
"ARM00087903","1996-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","4","5,S","3","5,S","1","5,S","","","","","","","","","","","32.0","5,,S,22,","43.1","5,,,S","",""
"ARM00087903","1997-01","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","8","3,S","1","3,S","0","3,S","","","0","4,S","0","4,S","2.0","4,S,16,","","","23.9","3,,S,18,","28.7","3,,,S","6.27","4,,,S"
"ARM00087903","1997-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","0.8","5,S,23,","","","","","","","5.79","5,,,S"
"ARM00087903","1997-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","13","5,S","-8.3","5,S,24,","","","","","","","-0.65","5,,,S"
"ARM00087903","1997-06","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","22","3,S","-6.2","3,S,12,","","","","","","","-2.09","3,,,S"
"ARM00087903","1997-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","24","3,S","-12.2","3,S,05,","","","","","","","-4.70","3,,,S"
"ARM00087903","1997-08","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","6","2,S","2","2,S","0","2,S","","","0",",S","28",",S","-7.2",",S,05,","","","7.1","2,,S,28,","16.7","2,,,S","-2.48",",,,S"
"ARM00087903","1997-09","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","2,S","18","2,S","-5.7","2,S,06,","","","","","","","-0.92","2,,,S"
"ARM00087903","1997-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","2","5,S","-1.7","5,S,25,","","","","","","","2.53","5,,,S"
"ARM00087903","1997-11","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0",",S","1",",S","-1.7",",S,02,","","","","","","","5.02",",,,S"
"ARM00087903","1997-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","0","3,S","1.8","3,S,27,","","","","","","","6.46","3,,,S"
