"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00225771","1939-01","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","10",",6","8",",6","2",",6","0",",6","","","","","","","","","0",",,6,31,+","41.7",",,6,13,","","","122.7",",,,6","0",",,,6","",""
"USC00225771","1939-02","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","14",",6","10",",6","4",",6","0",",6","","","","","","","","","0",",,6,28,+","55.9",",,6,28,","","","252.6",",,,6","0",",,,6","",""
"USC00225771","1939-03","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","9",",6","6",",6","4",",6","0",",6","","","","","","","","","0",",,6,31,+","36.6",",,6,30,","","","160.3",",,,6","0",",,,6","",""
"USC00225771","1939-04","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","8",",6","4",",6","0",",6","0",",6","","","","","","","","","0",",,6,30,+","21.3",",,6,06,","","","60.1",",,,6","0",",,,6","",""
"USC00225771","1939-05","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","14",",6","10",",6","1",",6","0",",6","","","","","","","","","0",",,6,31,+","32.8",",,6,20,","","","130.4",",,,6","0",",,,6","",""
"USC00225771","1939-12","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","9",",6","7",",6","1",",6","0",",6","","","","","","","","","0",",T,6,29,","47.8",",,6,24,","","","132.8",",,,6","0",",T,,6","",""
"USC00225771","1940-01","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","8","1,6","5","1,6","1","1,6","1",",6","","","","","","","","","127",",,6,22,","39.4","1,,6,12,","","","91.7","1,,,6","150",",,,6","",""
"USC00225771","1940-02","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","12",",6","8",",6","4",",6","0",",6","","","","","","","","","0",",,6,29,+","50.0",",,6,06,","","","187.6",",,,6","0",",,,6","",""
"USC00225771","1940-03","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","9",",6","6",",6","2",",6","0",",6","","","","","","","","","0",",,6,31,+","75.2",",,6,30,","","","141.6",",,,6","0",",,,6","",""
"USC00225771","1940-04","32.37","-88.67889","93.0","MERIDIAN SOWASHEE CR, MS US","12",",6","5",",6","3",",6","0",",6","","","","","","","","","0",",,6,30,+","36.3",",,6,19,","","","128.4",",,,6","0",",,,6","",""
