"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGM00060690","1993-06","19.567","5.767","401.0","IN GUEZZAM, AG","0","5,S","0","5,S","23.5","5,S,02,","27.88","5,,,S"
"AGM00060690","2019-02","19.567","5.767","401.0","IN GUEZZAM, AG","0","4,","0","4,S","5.0","4,S,06,","11.10","4,,,S"
"AGM00060690","2019-04","19.567","5.767","401.0","IN GUEZZAM, AG","0","2,","0","2,S","17.1","2,S,14,","22.90","2,,,S"
"AGM00060690","2019-05","19.567","5.767","401.0","IN GUEZZAM, AG","0","3,","0","3,S","21.0","3,S,18,+","26.74","3,,,S"
"AGM00060690","2019-07","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","22.8","1,S,26,","29.72","1,,,S"
"AGM00060690","2019-08","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,","0","1,S","21.7","1,S,25,","27.11","1,,,S"
"AGM00060690","2019-09","19.567","5.767","401.0","IN GUEZZAM, AG","0","3,","0","3,S","23.4","3,S,26,","27.74","3,,,S"
"AGM00060690","2019-10","19.567","5.767","401.0","IN GUEZZAM, AG","0","4,","0","4,S","18.8","4,S,29,","24.79","4,,,S"
"AGM00060690","2019-11","19.567","5.767","401.0","IN GUEZZAM, AG","0","3,S","0","3,S","13.0","3,S,12,","18.00","3,,,S"
"AGM00060690","2019-12","19.567","5.767","401.0","IN GUEZZAM, AG","0",",S","0",",S","9.3",",S,31,+","12.96",",,,S"
"AGM00060690","2020-03","19.567","5.767","401.0","IN GUEZZAM, AG","0","3,","0","3,S","13.3","3,S,04,","18.45","3,,,S"
"AGM00060690","2020-04","19.567","5.767","401.0","IN GUEZZAM, AG","0","5,","0","5,S","19.3","5,S,03,","25.16","5,,,S"
"AGM00060690","2020-05","19.567","5.767","401.0","IN GUEZZAM, AG","0","2,","0","2,S","23.8","2,S,09,","27.57","2,,,S"
"AGM00060690","2020-06","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,","0","1,S","24.7","1,S,22,","30.53","1,,,S"
"AGM00060690","2020-07","19.567","5.767","401.0","IN GUEZZAM, AG","0","4,","0","4,S","21.5","4,S,25,","28.79","4,,,S"
"AGM00060690","2020-09","19.567","5.767","401.0","IN GUEZZAM, AG","0","2,","0","2,S","24.4","2,S,26,","27.60","2,,,S"
"AGM00060690","2020-10","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","16.0","1,S,27,","23.97","1,,,S"
"AGM00060690","2020-11","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","12.3","1,S,24,","17.10","1,,,S"
"AGM00060690","2020-12","19.567","5.767","401.0","IN GUEZZAM, AG","0","2,","0","2,S","9.3","2,S,29,","14.13","2,,,S"
"AGM00060690","2021-01","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","9.0","1,S,23,","13.62","1,,,S"
"AGM00060690","2021-03","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","16.0","1,S,28,","19.30","1,,,S"
"AGM00060690","2021-05","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,S","0","1,S","21.7","1,S,05,","26.65","1,,,S"
"AGM00060690","2021-06","19.567","5.767","401.0","IN GUEZZAM, AG","0",",S","0",",S","24.0",",S,01,","29.24",",,,S"
"AGM00060690","2021-07","19.567","5.767","401.0","IN GUEZZAM, AG","0","1,","0","1,S","23.1","1,S,09,","29.70","1,,,S"
"AGM00060690","2021-08","19.567","5.767","401.0","IN GUEZZAM, AG","0","2,S","0","2,S","23.6","2,S,22,","28.37","2,,,S"
"AGM00060690","2021-09","19.567","5.767","401.0","IN GUEZZAM, AG","0",",","0",",S","25.0",",S,23,","27.85",",,,S"
"AGM00060690","2021-10","19.567","5.767","401.0","IN GUEZZAM, AG","0",",","0",",S","20.3",",S,10,","23.48",",,,S"
"AGM00060690","2021-11","19.567","5.767","401.0","IN GUEZZAM, AG","0",",","0",",S","17.0",",S,28,","19.06",",,,S"
