"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00456995","1906-04","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","2",",6","0",",6","0",",6","","","0","3,6","0","3,6","","","","","","","","","1.7","3,6,10,","","","1.3",",,6,09,+","","","","","2.6",",,,6","","","","","","","6.13","3,,,6"
"USC00456995","1906-05","48.183333","-120.533333","335.3","REX CREEK, WA US","","","0.0","3,6","10",",6","6",",6","0",",6","","","0",",6","0",",6","0","3,6","8","3,6","0","3,6","1","","5.0",",6,06,+","","","17.8",",,6,14,","26.7","3,6,08,","127.5","3,6","71.4",",,,6","","","13.88","3,6","19.19","3,,,6","8.58",",,,6"
"USC00456995","1906-06","48.183333","-120.533333","335.3","REX CREEK, WA US","","","10.1","1,6","6",",6","4",",6","0",",6","","","0",",6","0",",6","0","1,6","12","1,6","0","1,6","","","5.6",",6,14,","","","11.4",",,6,12,","30.0","1,6,24,","94.3","1,6","26.8",",,,6","","","15.42","1,6","21.11","1,,,6","9.74",",,,6"
"USC00456995","1906-07","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","1.5",",,6,06,","","","","","1.5",",,,6","","","","","","","",""
"USC00456995","1906-09","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","3.8",",,6,08,+","","","","","8.1",",,,6","","","","","","","",""
"USC00456995","1906-10","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","11",",6","6",",6","0",",6","","","","","","","0","1,6","7","1,6","0","1,6","","","","","","","14.7",",,6,15,","24.4","1,6,09,","","","46.0",",,,6","","","","","17.41","1,,,6","",""
"USC00456995","1906-11","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","9",",6","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","0",",T,6,25,+","91.4",",,6,15,","","","","","228.3",",,,6","0",",T,,6","","","","","",""
"USC00456995","1906-12","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","10",",6","10",",6","1",",6","6",",6","","","","","","","","","","","","","","","356",",,6,06,","33.0",",,6,06,","","","","","116.9",",,,6","814",",,,6","","","","","",""
"USC00456995","1907-01","48.183333","-120.533333","335.3","REX CREEK, WA US","0.0","6","0.0","1,6","8","3,6","5","3,6","1","3,6","7",",6","0",",6","29",",6","22","1,6","0","1,6","0","1,6","","","-15.0",",6,15,","381",",,6,03,","36.8","3,,6,03,","7.2","1,6,21,","695.2","1,6","74.7","3,,,6","812",",,,6","-4.84","1,6","-2.22","1,,,6","-7.45",",,,6"
"USC00456995","1907-02","48.183333","-120.533333","335.3","REX CREEK, WA US","0.0","6","0.0",",6","6",",6","4",",6","1",",6","4",",6","0",",6","17",",6","4",",6","0",",6","0",",6","","","-9.4",",6,04,","267",",,6,05,","31.2",",,6,05,","13.9",",6,27,","467.1",",6","59.9",",,,6","355",",,,6","1.65",",6","4.53",",,,6","-1.23",",,,6"
"USC00456995","1907-03","48.183333","-120.533333","335.3","REX CREEK, WA US","0.0","6","0.0","2,6","8",",6","3",",6","0",",6","0",",6","0","2,6","12","2,6","0","2,6","0","2,6","0","2,6","","","-2.2","2,6,17,+","0",",T,6,29,+","5.1",",,6,18,","15.0","2,6,27,","383.2","2,6","16.6",",,,6","0",",T,,6","5.12","2,6","9.66","2,,,6","0.58","2,,,6"
"USC00456995","1907-04","48.183333","-120.533333","335.3","REX CREEK, WA US","0.0","6","0.0","2,6","8",",6","4",",6","0",",6","","","0","2,6","1","2,6","0","2,6","2","2,6","0","2,6","","","0.0","2,6,28,","","","16.5",",,6,04,","21.7","2,6,22,","248.5","2,6","36.4",",,,6","","","9.46","2,6","15.44","2,,,6","3.48","2,,,6"
"USC00456995","1907-05","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","10.2",",,6,18,","","","","","25.0",",,,6","","","","","","","",""
"USC00456995","1907-06","48.183333","-120.533333","335.3","REX CREEK, WA US","","","11.9","4,6","4",",6","4",",6","0",",6","","","0","3,6","0","3,6","0","4,6","15","4,6","0","4,6","","","4.4","3,6,12,","","","9.4",",,6,11,","29.4","4,6,29,+","59.0","4,6","19.1",",,,6","","","16.49","4,6","22.34","4,,,6","10.64","3,,,6"
"USC00456995","1907-11","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","10",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","26.7",",,6,23,","","","","","111.8",",,,6","","","","","","","",""
"USC00456995","1907-12","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","14",",6","12",",6","1",",6","","","0","3,6","13","3,6","0","3,6","0","3,6","0","3,6","","","-6.1","3,6,20,","","","41.1",",,6,25,","8.9","3,6,11,","","","141.5",",,,6","","","2.45","4,6","4.48","3,,,6","0.42","3,,,6"
"USC00456995","1908-01","48.183333","-120.533333","335.3","REX CREEK, WA US","","","","","8",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","23.4",",,6,02,","","","","","71.3",",,,6","","","","","","","",""
