"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00143537","1937-06","38.85","-99.35","609.9","HAYS 2 S, KS US","169.4",",6","9",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","12",",6","8.3",",6,06,+","","","20.6",",,6,02,","42.8",",6,25,","2326.9","5,,,6","","","19.7",",6","56.9",",,,6","","","23.32",",6","30.35",",,,6","16.29",",,,6","",""
"USC00143537","1937-07","38.85","-99.35","609.9","HAYS 2 S, KS US","287.0",",6","8",",6","6",",6","2",",6","0",",6","0",",6","0",",6","0",",6","31",",6","24",",6","13.9",",6,26,","0",",,6,31,+","56.6",",,6,24,","42.8",",6,06,","3693.5","2,,,6","0.0","","0.0",",6","108.6",",,,6","0",",,,6","27.59",",6","35.47",",,,6","19.71",",,,6","72825","1,,,6"
"USC00143537","1937-08","38.85","-99.35","609.9","HAYS 2 S, KS US","329.3","1,6","3",",6","1",",6","1",",6","","","0","1,6","0","1,6","0",",6","31",",6","28",",6","14.4","1,6,23,","","","63.5",",,6,13,","43.9",",6,10,+","3583.6","4,,,6","0.0","","0.0",",6","65.5",",,,6","","","29.21","1,6","37.45",",,,6","20.98","1,,,6","63813","5,,,6"
"USC00143537","1937-09","38.85","-99.35","609.9","HAYS 2 S, KS US","110.8",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","29",",6","12",",6","2.2",",6,26,","","","18.3",",,6,05,","37.2",",6,04,","2926.8",",,,6","21.1","","21.1",",6","41.7",",,,6","","","21.32",",6","29.14",",,,6","13.50",",,,6","",""
"USC00143537","1937-10","38.85","-99.35","609.9","HAYS 2 S, KS US","17.3",",6","6",",6","3",",6","0",",6","","","0",",6","1",",6","0",",6","17",",6","2",",6","-1.7",",6,22,","","","11.7",",,6,13,","35.0",",6,05,","1827.6",",,,6","192.0","","170.9",",6","35.4",",,,6","","","13.38",",6","20.72",",,,6","6.03",",,,6","58287","5,,,6"
"USC00143537","1938-04","38.85","-99.35","609.9","HAYS 2 S, KS US","8.6","1,6","7",",6","4",",6","1",",6","","","0","1,6","9","1,6","1",",6","10",",6","0",",6","-6.7","1,6,02,","","","29.2",",,6,27,","28.9",",6,30,+","","","","","224.4",",6","62.0",",,,6","","","11.00","1,6","17.43",",,,6","4.58","1,,,6","18551","2,,,6"
"USC00143537","1938-05","38.85","-99.35","609.9","HAYS 2 S, KS US","25.6",",6","16",",6","10",",6","3",",6","","","0",",6","1",",6","0",",6","20",",6","0",",6","-2.2",",6,08,","","","58.7",",,6,17,","30.0",",6,30,","1755.0","2,,,6","","","95.9",",6","204.2",",,,6","","","16.06",",6","21.98",",,,6","10.15",",,,6","",""
"USC00143537","1938-06","38.85","-99.35","609.9","HAYS 2 S, KS US","127.5",",6","6",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","9",",6","9.4",",6,07,","","","17.5",",,6,11,","38.3",",6,24,","2793.6",",,,6","","","6.4",",6","69.4",",,,6","","","22.37",",6","29.21",",,,6","15.52",",,,6","60414","3,,,6"
"USC00143537","1938-07","38.85","-99.35","609.9","HAYS 2 S, KS US","299.8",",6","8",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","26",",6","13.9",",6,08,","0",",,6,31,+","13.7",",,6,20,","42.8",",6,11,+","3725.9","3,,,6","0.0","","0.0",",6","23.8",",,,6","0",",,,6","28.00",",6","36.62",",,,6","19.39",",,,6","66845","3,,,6"
"USC00143537","1938-08","38.85","-99.35","609.9","HAYS 2 S, KS US","319.4",",6","4",",6","2",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","26",",6","16.7",",6,21,","","","52.3",",,6,15,","42.8",",6,06,","","","0.0","","0.0",",6","64.8",",,,6","","","28.64",",6","36.82",",,,6","20.45",",,,6","",""
"USC00143537","1938-09","38.85","-99.35","609.9","HAYS 2 S, KS US","138.6",",6","5",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","16",",6","3.9",",6,19,","","","29.0",",,6,13,","38.3",",6,11,","2887.2",",,,6","15.8","","15.8",",6","43.8",",,,6","","","22.43",",6","30.78",",,,6","14.07",",,,6","7255",",,,6"
"USC00143537","1938-10","38.85","-99.35","609.9","HAYS 2 S, KS US","63.1",",6","1",",6","0",",6","0",",6","","","0",",6","4",",6","0",",6","26",",6","8",",6","-6.7",",6,23,","","","1.0",",,6,10,","35.6",",6,05,+","2890.7",",,,6","100.9","","85.1",",6","1.0",",,,6","","","17.63",",6","27.35",",,,6","7.90",",,,6","8903",",,,6"
"USC00143537","1939-04","38.85","-99.35","609.9","HAYS 2 S, KS US","12.8","1,6","8",",6","5",",6","0",",6","","","0","1,6","7","1,6","0","1,6","14","1,6","1","1,6","-4.4","1,6,06,","","","16.0",",,6,10,","35.0","1,6,24,","2050.2","1,,,6","","","214.3","1,6","40.4",",,,6","","","11.38","1,6","18.65","1,,,6","4.12","1,,,6","",""
"USC00143537","1939-05","38.85","-99.35","609.9","HAYS 2 S, KS US","94.2",",6","7",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","9",",6","3.9",",6,13,","","","13.5",",,6,26,","41.1",",6,24,","2979.7","3,,,6","","","29.0",",6","23.7",",,,6","","","20.44",",6","28.97",",,,6","11.90",",,,6","9223",",,,6"
"USC00143537","1939-06","38.85","-99.35","609.9","HAYS 2 S, KS US","171.8","1,6","12",",6","7",",6","2",",6","","","0","1,6","0","1,6","0",",6","30",",6","17",",6","7.8","1,6,11,","","","37.3",",,6,14,","41.7",",6,18,","3067.1","5,,,6","","","3.9",",6","112.5",",,,6","","","24.13","1,6","31.80",",,,6","16.46","1,,,6","9719",",,,6"
"USC00143537","1939-07","38.85","-99.35","609.9","HAYS 2 S, KS US","334.2",",6","","","","","","","","","0",",6","0",",6","0",",6","31",",6","30",",6","15.0",",6,19,","","","","","43.9",",6,13,+","","","0.0","","0.0",",6","","","","","29.11",",6","38.14",",,,6","20.08",",,,6","8605",",,,6"
"USC00143537","1939-08","38.85","-99.35","609.9","HAYS 2 S, KS US","225.9",",6","10",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","18",",6","11.7",",6,09,+","","","31.5",",,6,12,","41.7",",6,30,","3080.3","3,,,6","0.3","","0.3",",6","74.4",",,,6","","","25.61",",6","33.17",",,,6","18.05",",,,6","7383",",,,6"
"USC00143537","1939-09","38.85","-99.35","609.9","HAYS 2 S, KS US","182.1",",6","1",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","27",",6","17",",6","2.2",",6,26,","0",",,6,30,+","10.2",",,6,29,","42.8",",6,03,","","","29.7","","29.4",",6","10.2",",,,6","0",",,,6","23.42",",6","32.17",",,,6","14.67",",,,6","10540",",,,6"
"USC00143537","1939-10","38.85","-99.35","609.9","HAYS 2 S, KS US","15.6",",6","2",",6","1",",6","0",",6","0",",6","0",",6","2",",6","0",",6","22",",6","0",",6","-3.3",",6,28,","0",",,6,31,+","3.3",",,6,08,","31.7",",6,07,","2513.6",",,,6","154.1","","124.4",",6","4.3",",,,6","0",",,,6","14.82",",6","23.60",",,,6","6.04",",,,6","9426",",,,6"
"USC00143537","1940-04","38.85","-99.35","609.9","HAYS 2 S, KS US","10.9","2,6","7",",6","4",",6","0",",6","0",",6","0","1,6","7","1,6","0","1,6","14","1,6","2","1,6","-8.9","1,6,12,","13",",,6,07,","17.8",",,6,17,","35.0","1,6,02,","2146.8","2,,,6","","","174.4","1,6","36.7",",,,6","13",",,,6","12.13","2,6","19.85","1,,,6","4.41","1,,,6","10125",",,,6"
"USC00143537","1940-05","38.85","-99.35","609.9","HAYS 2 S, KS US","26.7",",6","9",",6","6",",6","0",",6","0",",6","0",",6","1",",6","0",",6","25",",6","2",",6","0.0",",6,15,","0",",,6,31,+","17.0",",,6,18,","34.4",",6,14,","2856.9",",,,6","","","71.0",",6","61.8",",,,6","0",",,,6","16.90",",6","24.89",",,,6","8.92",",,,6","8051",",,,6"
"USC00143537","1940-06","38.85","-99.35","609.9","HAYS 2 S, KS US","153.1",",6","9",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","29",",6","14",",6","6.1",",6,24,","","","15.5",",,6,07,","41.1",",6,28,","3312.6","1,,,6","","","8.9",",6","58.2",",,,6","","","23.14",",6","30.96",",,,6","15.31",",,,6","7830",",,,6"
"USC00143537","1940-07","38.85","-99.35","609.9","HAYS 2 S, KS US","296.2",",6","6",",6","3",",6","1",",6","0",",6","0",",6","0",",6","0",",6","30",",6","26",",6","12.8",",6,13,+","0",",,6,31,+","79.5",",,6,02,","45.0",",6,26,","3444.2","4,,,6","1.7","","1.7",",6","100.4",",,,6","0",",,,6","27.83",",6","35.83",",,,6","19.84",",,,6","7808",",,,6"
"USC00143537","1940-08","38.85","-99.35","609.9","HAYS 2 S, KS US","184.7",",6","12",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","14",",6","10.6",",6,19,","","","50.5",",,6,02,","41.7",",6,01,","2537.3","1,,,6","1.7","","0.0",",6","82.2",",,,6","","","24.29",",6","31.35",",,,6","17.24",",,,6","5409",",,,6"
"USC00143537","1940-09","38.85","-99.35","609.9","HAYS 2 S, KS US","127.4",",6","6",",6","4",",6","2",",6","0",",6","0",",6","0",",6","0",",6","24",",6","12",",6","2.8",",6,11,","0",",,6,30,+","29.2",",,6,24,","37.8",",6,18,+","2344.0",",,,6","35.6","","33.9",",6","64.9",",,,6","0",",,,6","21.45",",6","28.67",",,,6","14.22",",,,6","6280",",,,6"
"USC00143537","1940-10","38.85","-99.35","609.9","HAYS 2 S, KS US","21.6",",6","6",",6","3",",6","0",",6","","","0",",6","2",",6","0",",6","25",",6","1",",6","-1.1",",6,15,","","","9.9",",,6,01,","32.2",",6,23,","1891.5",",,,6","108.0","","72.4",",6","20.3",",,,6","","","16.70",",6","25.21",",,,6","8.18",",,,6","6953",",,,6"
"USC00143537","1941-04","38.85","-99.35","609.9","HAYS 2 S, KS US","3.9",",6","11",",6","11",",6","0",",6","2",",6","0",",6","7",",6","0",",6","9",",6","0",",6","-1.1",",6,21,+","38",",,6,03,","20.8",",,6,30,","25.6",",6,14,+","1550.4","1,,,6","","","214.5",",6","114.9",",,,6","74",",,,6","11.31",",6","17.13",",,,6","5.49",",,,6","8598",",,,6"
"USC00143537","1941-05","38.85","-99.35","609.9","HAYS 2 S, KS US","53.9",",6","10",",6","7",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","1",",6","3.9",",6,07,","0",",,6,31,+","16.0",",,6,29,","36.1",",6,15,","2289.2",",,,6","","","42.1",",6","72.5",",,,6","0",",,,6","18.72",",6","25.00",",,,6","12.44",",,,6","7352",",,,6"
"USC00143537","1941-06","38.85","-99.35","609.9","HAYS 2 S, KS US","120.3",",6","8",",6","6",",6","2",",6","0",",6","0",",6","0",",6","0",",6","30",",6","10",",6","8.3",",6,14,","0",",,6,30,+","65.3",",,6,09,","36.7",",6,30,","2301.9","3,,,6","","","10.6",",6","151.8",",,,6","0",",,,6","21.99",",6","28.56",",,,6","15.42",",,,6","7154",",,,6"
"USC00143537","1941-07","38.85","-99.35","609.9","HAYS 2 S, KS US","249.4",",6","5",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","22",",6","11.7",",6,03,","0",",,6,31,+","5.6",",,6,27,","40.6",",6,09,","3343.5",",,,6","0.0","","0.0",",6","18.1",",,,6","0",",,,6","26.38",",6","34.35",",,,6","18.41",",,,6","5911",",,,6"
"USC00143537","1941-08","38.85","-99.35","609.9","HAYS 2 S, KS US","232.8",",6","8",",6","7",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","21",",6","15.0",",6,29,","","","59.9",",,6,12,","40.0",",6,04,","3007.9","1,,,6","0.0","","0.0",",6","136.9",",,,6","","","25.84",",6","33.65",",,,6","18.03",",,,6","5827",",,,6"
"USC00143537","1941-09","38.85","-99.35","609.9","HAYS 2 S, KS US","140.8",",6","7",",6","6",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","10",",6","3.9",",6,28,","0",",,6,30,+","25.1",",,6,30,","37.8",",6,07,","2798.8",",,,6","38.8","","38.8",",6","70.3",",,,6","0",",,,6","21.73",",6","28.91",",,,6","14.55",",,,6","8626",",,,6"
"USC00143537","1941-10","38.85","-99.35","609.9","HAYS 2 S, KS US","7.0",",6","11",",6","7",",6","0",",6","0",",6","0",",6","3",",6","0",",6","14",",6","0",",6","-2.2",",6,28,","0",",,6,31,+","9.9",",,6,04,","30.6",",6,14,","1129.4",",,,6","187.4","","148.6",",6","50.2",",,,6","0",",,,6","13.76",",6","19.93",",,,6","7.60",",,,6","6403",",,,6"
"USC00143537","1942-04","38.85","-99.35","609.9","HAYS 2 S, KS US","8.9",",6","8",",6","6",",6","1",",6","0",",6","0",",6","7",",6","0",",6","14",",6","0",",6","-7.8",",6,01,","0",",,6,30,+","40.4",",,6,19,","31.1",",6,05,","1640.9","1,,,6","","","194.3",",6","100.0",",,,6","0",",,,6","12.15",",6","19.47",",,,6","4.83",",,,6","8655",",,,6"
"USC00143537","1942-05","38.85","-99.35","609.9","HAYS 2 S, KS US","53.9",",6","6",",6","2",",6","1",",6","","","0",",6","2",",6","0",",6","20",",6","5",",6","-1.1",",6,07,","","","112.3",",,6,31,","38.3",",6,28,","2512.3","1,,,6","","","112.2",",6","123.2",",,,6","","","16.45",",6","24.29",",,,6","8.62",",,,6","8952",",,,6"
"USC00143537","1942-06","38.85","-99.35","609.9","HAYS 2 S, KS US","114.0",",6","16",",6","10",",6","2",",6","","","0",",6","0",",6","0",",6","27",",6","6",",6","7.2",",6,14,","","","52.6",",,6,17,","39.4",",6,27,","1984.8","4,,,6","","","15.3",",6","166.9",",,,6","","","21.62",",6","27.88",",,,6","15.36",",,,6","6540",",,,6"
"USC00143537","1942-07","38.85","-99.35","609.9","HAYS 2 S, KS US","265.4",",6","9",",6","6",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","20",",6","13.9",",6,26,+","0",",,6,31,+","15.0",",,6,19,","41.7",",6,17,+","3017.9","4,,,6","0.0","","0.0",",6","59.7",",,,6","0",",,,6","26.90",",6","35.22",",,,6","18.57",",,,6","6345",",,,6"
"USC00143537","1942-08","38.85","-99.35","609.9","HAYS 2 S, KS US","180.3","2,6","8",",6","4",",6","1",",6","0",",6","0","2,6","0","2,6","0",",6","31",",6","17",",6","11.7","2,6,23,+","0",",,6,31,+","44.2",",,6,22,","40.6",",6,02,","2760.9","2,,,6","0.6","","0.6",",6","70.4",",,,6","0",",,,6","24.73","2,6","31.92",",,,6","17.54","2,,,6","7481",",,,6"
"USC00143537","1942-09","38.85","-99.35","609.9","HAYS 2 S, KS US","78.3",",6","8",",6","4",",6","0",",6","","","0",",6","4",",6","0",",6","21",",6","7",",6","-1.1",",6,28,+","","","7.6",",,6,08,","37.2",",6,30,","1949.0",",,,6","88.1","","87.5",",6","23.7",",,,6","","","18.03",",6","25.18",",,,6","10.87",",,,6","6932",",,,6"
"USC00143537","1942-10","38.85","-99.35","609.9","HAYS 2 S, KS US","7.2",",6","9",",6","4",",6","0",",6","0",",6","0",",6","4",",6","0",",6","18",",6","1",",6","-6.7",",6,26,","0",",,6,31,+","13.2",",,6,18,","32.8",",6,01,","1472.9",",,,6","249.5","","161.4",",6","38.9",",,,6","0",",,,6","13.36",",6","21.44",",,,6","5.29",",,,6","5611",",,,6"
"USC00143537","1943-04","38.85","-99.35","609.9","HAYS 2 S, KS US","3.7",",6","4",",6","3",",6","0",",6","0",",6","0",",6","6",",6","0",",6","17",",6","0",",6","-5.0",",6,20,+","0",",,6,30,+","21.3",",,6,11,","30.6",",6,25,","2583.3",",,,6","","","164.8",",6","34.8",",,,6","0",",,,6","12.96",",6","21.74",",,,6","4.18",",,,6","7968",",,,6"
"USC00143537","1943-05","38.85","-99.35","609.9","HAYS 2 S, KS US","25.0","1,6","13",",6","7",",6","0",",6","","","0","1,6","0","1,6","0",",6","16",",6","2",",6","0.6","1,6,16,","","","14.5",",,6,08,","32.8",",6,30,","2052.6","1,,,6","","","152.7",",6","54.0",",,,6","","","13.98","1,6","20.70",",,,6","7.26","1,,,6","8280",",,,6"
"USC00143537","1943-06","38.85","-99.35","609.9","HAYS 2 S, KS US","193.1",",6","8",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","18",",6","9.4",",6,04,","0",",,6,30,+","15.5",",,6,16,","42.2",",6,25,","3468.9","2,,,6","","","9.2",",6","25.5",",,,6","0",",,,6","24.46",",6","32.58",",,,6","16.35",",,,6","8788",",,,6"
"USC00143537","1943-07","38.85","-99.35","609.9","HAYS 2 S, KS US","279.5",",6","11",",6","8",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","26",",6","11.7",",6,14,","0",",,6,31,+","14.0",",,6,16,","41.7",",6,29,+","3761.9","1,,,6","0.0","","0.0",",6","56.5",",,,6","0",",,,6","27.35",",6","35.50",",,,6","19.20",",,,6","7182",",,,6"
"USC00143537","1943-08","38.85","-99.35","609.9","HAYS 2 S, KS US","309.6",",6","7",",6","5",",6","1",",6","0",",6","0",",6","0",",6","0",",6","31",",6","25",",6","10.6",",6,18,","0",",,6,31,+","35.1",",,6,10,","43.3",",6,25,+","3204.1","4,,,6","0.0","","0.0",",6","75.6",",,,6","0",",,,6","28.32",",6","36.56",",,,6","20.08",",,,6","7045",",,,6"
"USC00143537","1943-09","38.85","-99.35","609.9","HAYS 2 S, KS US","59.2",",6","7",",6","3",",6","1",",6","0",",6","0",",6","0",",6","0",",6","26",",6","9",",6","1.1",",6,20,","0",",,6,30,+","40.6",",,6,04,","35.6",",6,22,+","2379.2","1,,,6","52.8","","52.8",",6","57.1",",,,6","0",",,,6","18.55",",6","26.87",",,,6","10.23",",,,6","6488",",,,6"
