"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00205107","1959-05","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","6","1,6","6","1,6","0","1,6","","","0","3,6","20","3,6","0","3,6","","","16.8","1,,6,23,","31.1","3,6,06,","45.0","1,,,6","23.30","3,,,6"
"USC00205107","1960-02","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","7","5,6","6","5,6","0","5,6","27","2,6","","","","","","","305","2,,6,28,+","16.3","5,,6,10,","","","63.6","5,,,6","",""
"USC00205107","1960-03","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","3","1,6","2","1,6","0","1,6","","","","","","","","","","","6.1","1,,6,17,","","","10.4","1,,,6","",""
"USC00205107","1960-04","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","4","1,6","4","1,6","0","1,6","","","","","","","","","","","6.9","1,,6,12,","","","18.6","1,,,6","",""
"USC00205107","1960-05","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","8",",6","6",",6","0",",6","","","","","","","","","","","19.6",",,6,07,","","","61.1",",,,6","",""
"USC00205107","1961-02","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","","","","","","","14","3,6","","","","","","","127","3,,6,05,+","","","","","","","",""
"USC00205107","1961-03","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","","","","","","","10",",","","","","","","","76",",,6,10,+","","","","","","","",""
"USC00205107","1961-04","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","","","","","","","3","1,","","","","","","","76","1,,6,16,","","","","","","","",""
"USC00205107","1961-05","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","","","","","","","0",",","","","","","","","0",",,6,31,+","","","","","","","",""
"USC00205107","1962-03","43.11667","-84.7","200.9","MAPLE RAPIDS, MI US","","","","","","","0",",","","","","","","","0",",T,6,29,+","","","","","","","",""
