"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097630","2015-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","28","2,S","1","2,S","","","32.2","2,S,29,","","","","","","","30.52","2,,,S","",""
"IDM00097630","2015-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","27","4,S","15","4,S","","","34.4","4,S,29,","","","","","","","32.33","4,,,S","",""
"IDM00097630","2016-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","19.2","5,S,19,","","","","","","","","","","","21.21","5,,,S"
"IDM00097630","2016-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19.8","4,S,29,","","","","","","","","","","","21.19","4,,,S"
"IDM00097630","2016-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","26","4,S","0","4,S","","","31.1","4,S,03,","","","","","","","29.37","4,,,S","",""
"IDM00097630","2016-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","30.8","5,S,12,","","","","","","","29.76","5,,,S","",""
"IDM00097630","2016-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","25","5,S","0","5,S","","","30.4","5,S,07,","","","","","","","28.85","5,,,S","",""
"IDM00097630","2016-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","0","5,S","26","5,S","0","5,S","22.4","5,S,07,","31.1","5,S,08,","","","","","26.47","0,S","29.51","5,,,S","23.42","5,,,S"
"IDM00097630","2017-01","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","29","2,S","3","2,S","","","32.6","2,S,24,+","","","","","","","30.85","2,,,S","",""
"IDM00097630","2017-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","23","5,S","1","5,S","","","32.8","5,S,02,","","","","","","","30.49","5,,,S","",""
"IDM00097630","2017-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","5","5,S","","","33.6","5,S,26,+","","","","","","","30.87","5,,,S","",""
"IDM00097630","2017-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","5,S","25","5,S","1","5,S","22.6","4,S,22,","32.4","5,S,08,","","","","","26.78","9,S","30.06","5,,,S","23.51","4,,,S"
"IDM00097630","2017-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","30.7","5,S,06,","","","","","","","29.70","5,,,S","",""
"IDM00097630","2017-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","25","5,S","0","5,S","","","29.7","5,S,03,+","","","","","","","28.89","5,,,S","",""
"IDM00097630","2017-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","28","3,S","0","3,S","","","31.2","3,S,25,+","","","","","","","29.82","3,,,S","",""
"IDM00097630","2018-01","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","6","5,S","","","34.0","5,S,28,+","","","","","","","31.26","5,,,S","",""
"IDM00097630","2018-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","28","3,S","0","3,S","","","29.1","3,S,26,","","","","","","","28.00","3,,,S","",""
"IDM00097630","2018-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","27","4,S","0","4,S","","","28.9","4,S,16,","","","","","","","27.99","4,,,S","",""
"IDM00097630","2018-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","25","5,S","0","5,S","","","30.0","5,S,29,","","","","","","","28.49","5,,,S","",""
"IDM00097630","2018-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","2,S","0","2,S","","","","","","","22.3","2,S,06,","","","","","","","","","","","23.09","2,,,S"
"IDM00097630","2018-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","1,S","0","1,S","0","5,S","26","5,S","4","5,S","22.1","1,S,20,+","34.1","5,S,12,","","","","","27.10","6,S","30.87","5,,,S","23.34","1,,,S"
"IDM00097630","2019-01","-2.883","132.25","130.0","FAK FAK TOREA, ID","230.3","5,S","0","3,S","0","3,S","0","2,S","29","2,S","10","2,S","22.4","3,S,11,","33.8","2,S,21,","0.0","S","0.0","2,S","27.16","5,S","31.10","2,,,S","23.21","3,,,S"
"IDM00097630","2019-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","3,S","0","3,S","","","","","","","22.0","3,S,27,","","","","","","","","","","","22.96","3,,,S"
