"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00001089","1980-11","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","","","0.0","3,m","1","3,m","1","3,m","0","3,m","0","3,m","0","3,m","0","3,m","16","3,m","0","3,m","1.1","3,m,28,","18.3","3,,m,21,","25.0","3,m,16,+","","","133.7","3,m","18.3","3,,,m","13.38","3,m","21.14","3,,,m","5.61","3,,,m"
"MXN00001089","1980-12","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","","","0.0",",m","6",",m","3",",m","0",",m","0",",m","2",",m","0",",m","13",",m","0",",m","0.0",",m,21,+","16.3",",,m,24,","23.9",",m,15,+","","","194.9",",m","33.4",",,,m","12.05",",m","19.02",",,,m","5.08",",,,m"
"MXN00001089","1981-01","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","0.0","m","0.0",",m","5",",m","5",",m","2",",m","0",",m","1",",m","0",",m","2",",m","0",",m","0.0",",m,02,","28.4",",,m,16,","21.7",",m,31,","","","248.7",",m","70.3",",,,m","10.31",",m","17.32",",,,m","3.30",",,,m"
"MXN00001089","1981-02","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","0.0","m","0.0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","16",",m","0",",m","1.7",",m,12,","0.0",",,m,28,+","25.0",",m,28,","","","125.5",",m","0.0",",,,m","13.85",",m","21.61",",,,m","6.09",",,,m"
"MXN00001089","1981-03","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","0.0","m","0.0",",m","6",",m","0",",m","0",",m","0",",m","0",",m","0",",m","27",",m","0",",m","6.1",",m,28,+","1.5",",,m,10,+","27.2",",m,31,","","","76.1",",m","5.4",",,,m","15.88",",m","23.54",",,,m","8.22",",,,m"
"MXN00001089","1981-04","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","27.3","m","27.3",",m","2",",m","0",",m","0",",m","0",",m","0",",m","0",",m","30",",m","0",",m","6.7",",m,24,","1.8",",,m,29,","29.4",",m,04,","","","7.1",",m","2.8",",,,m","19.01",",m","27.47",",,,m","10.54",",,,m"
"MXN00001089","1981-05","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","61.8","m","34.5",",m","6",",m","3",",m","0",",m","0",",m","0",",m","0",",m","28",",m","0",",m","6.7",",m,06,+","7.9",",,m,21,","28.9",",m,31,+","","","16.2",",m","18.6",",,,m","18.92",",m","25.94",",,,m","11.91",",,,m"
"MXN00001089","1981-06","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","112.8","m","51.0","1,m","10",",m","7",",m","1",",m","0",",m","0",",m","0","1,m","27","1,m","0","1,m","11.1",",m,22,","35.3",",,m,20,","31.1","1,m,10,","","","4.5","1,m","69.4",",,,m","19.93","1,m","25.95","1,,,m","13.92",",,,m"
"MXN00001089","1981-07","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","133.1","m","20.3",",m","9",",m","7",",m","0",",m","0",",m","0",",m","0",",m","26",",m","0",",m","11.7",",m,31,+","19.6",",,m,27,","26.7",",m,26,+","10.2","m","10.2",",m","55.0",",,,m","18.66",",m","24.00",",,,m","13.32",",,,m"
"MXN00001089","1981-08","22.1833","-102.45","2104.0","PRESA 50 ANIVERSARIO, MX","153.4","m","20.3",",m","10",",m","6",",m","0",",m","0",",m","0",",m","0",",m","26",",m","0",",m","10.0",",m,02,","19.6",",,m,28,","28.3",",m,16,","20.2","m","10.0",",m","82.9",",,,m","18.67",",m","24.35",",,,m","12.99",",,,m"
