"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013744","1948-01","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","0.0","0","0.0",",X","14",",X","7",",X","0",",X","0","1,X","0","1,X","0",",X","24",",X","0",",X","2",",X","0",",X","14","","","","1","","-11.1",",X,15,","0","1,,X,31,+","0","1,T,X,28,+","24.1",",,X,30,","25.0",",X,01,","","","447.1",",X","95.6",",,,X","0","1,T,,X","3.91",",X","9.92",",,,X","-2.09",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-02","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","3.6","0","3.6",",X","12",",X","9",",X","1",",X","0","1,X","0",",X","0",",X","10",",X","1",",X","8",",X","0",",X","20","","","","","","-6.7",",X,10,+","0","1,T,X,01,","0",",T,X,09,+","59.9",",,X,09,","27.8",",X,28,","","","291.7",",X","126.5",",,,X","0",",T,,X","8.40",",X","14.39",",,,X","2.41",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-03","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","23.4","0","19.8",",X","11",",X","8",",X","2",",X","0",",X","0",",X","0",",X","5",",X","0",",X","15",",X","0",",X","17","","","","5","","-1.7",",X,13,","0",",,X,31,+","0",",,X,31,+","37.3",",,X,16,","31.1",",X,20,","","","146.3",",X","157.2",",,,X","0",",,,X","14.25",",X","20.34",",,,X","8.16",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-04","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","70.8","0","47.4",",X","10",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","0",",X","13","","","","4","","5.0",",X,18,","0",",,X,30,+","0",",,X,30,+","22.6",",,X,01,","31.7",",X,26,+","","","42.0",",X","70.1",",,,X","0",",,,X","18.51",",X","25.29",",,,X","11.74",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-05","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","188.5","0","117.7",",X","10",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","4",",X","13","","","","10","","8.9",",X,08,","0",",,X,31,+","0",",,X,31,+","45.2",",,X,12,","32.8",",X,21,+","","","1.9",",X","135.6",",,,X","0",",,,X","22.07",",X","28.78",",,,X","15.35",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-06","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","416.6","0","228.1",",X","12",",X","7",",X","3",",X","0","1,X","0",",X","0",",X","0",",X","0",",X","30",",X","20",",X","9","","","","13","","13.3",",X,04,","0","1,,X,30,+","0",",,X,30,+","56.6",",,X,14,","37.2",",X,26,","","","0.0",",X","169.1",",,,X","0",",,,X","25.94",",X","32.63",",,,X","19.24",",,,X","","","","","","","","","","","","","",""
"USW00013744","1948-07","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","695.5","0","278.9",",0","13",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","6","","","","11","","16.7",",0,09,","0",",,0,31,+","0",",,0,31,+","6.9",",,0,14,","37.2",",0,22,","0.0","0","0.0",",0","34.2",",,,0","0",",,,0","27.33",",0","33.03",",,,0","21.64",",,,0","","","","","","","","","","","","","",""
"USW00013744","1948-08","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","931.3","0","235.8",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","20","","","","7","","15.0",",0,07,+","0",",,0,31,+","0",",,0,31,+","48.5",",,0,31,","38.3",",0,28,","0.0","0","0.0",",0","103.7",",,,0","0",",,,0","25.94",",0","32.11",",,,0","19.77",",,,0","","","","","","","","","","","","","",""
"USW00013744","1948-09","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","1060.3","0","129.0",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","17","","","","3","","10.0",",0,25,","0",",,0,30,+","0",",,0,30,+","29.5",",,0,28,","33.3",",0,21,+","2.8","0","2.8",",0","105.6",",,,0","0",",,,0","22.54",",0","28.10",",,,0","16.98",",,,0","","","","","","","","","","","","","",""
"USW00013744","1948-10","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","1072.0","0","11.7",",0","7",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","15","","","","","","1.1",",0,19,","0",",,0,31,+","0",",,0,31,+","48.0",",,0,04,","27.2",",0,14,","101.1","0","98.3",",0","94.1",",,,0","0",",,,0","15.54",",0","22.58",",,,0","8.50",",,,0","","","","","","","","","","","","","",""
"USW00013744","1948-11","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","1091.8","0","19.8",",0","14",",0","11",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","19","","","","6","","2.2",",0,12,","0",",,0,30,+","0",",,0,30,+","49.5",",,0,22,","28.9",",0,05,","207.6","0","106.5",",0","207.3",",,,0","0",",,,0","15.44",",0","21.21",",,,0","9.67",",,,0","","","","","","","","","","","","","",""
"USW00013744","1948-12","34.18772","-79.73085","44.5","FLORENCE REGIONAL AIRPORT, SC US","","","1093.8","0","2.0",",0","12",",0","11",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","9",",0","0",",0","15","","","","","","-7.2",",0,27,","0",",,0,31,+","0",",,0,31,+","17.5",",,0,07,","25.6",",0,16,","460.6","0","253.0",",0","108.8",",,,0","0",",,,0","10.24",",0","15.77",",,,0","4.70",",,,0","","","","","","","","","","","","","",""
