"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00053005","1893-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","","0.0","1,6","1","1,6","0","1,6","0","1,6","","","0",",6","2","1,6","27","1,6","1",",6","0",",6","0",",6","","","","","-18.9","1,6,16,","","","0",",T,6,11,","0.5","1,,6,28,","19.4",",6,04,","","","","","536.1",",6","","","","","0.5","1,,,6","0",",T,,6","0.48","1,6","9.71",",,,6","-8.74","1,,,6","","","","","",""
"USC00053005","1893-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","","0.0","1,6","5",",6","3",",6","0",",6","","","2",",6","4",",6","28",",6","4","1,6","0","1,6","0","1,6","","","","","-23.3",",6,28,","","","76",",,6,27,","4.6",",,6,06,","19.4","1,6,05,","","","","","551.2","1,6","","","","","13.8",",,,6","137",",,,6","-2.24","1,6","6.03","1,,,6","-10.50",",,,6","","","","","",""
"USC00053005","1893-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","","0.0",",6","1",",6","1",",6","0",",6","","","","","1",",6","27",",6","3",",6","2",",6","0",",6","","","","","-18.9",",6,01,","","","","","3.6",",,6,22,","25.6",",6,30,","","","","","522.6",",6","","","","","3.6",",,,6","","","1.48",",6","9.93",",,,6","-6.98",",,,6","","","","","",""
"USC00053005","1893-04","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","","0.0","3,6","","","","","","","","","","","0","1,6","20","1,6","0","2,6","8","2,6","0","2,6","","","","","-13.9","1,6,14,","","","","","","","25.6","2,6,06,","","","","","318.9","2,6","","","","","","","","","6.42","3,6","14.81","2,,,6","-1.97","1,,,6","","","","","",""
"USC00053005","1893-08","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","44.0",",6","10",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","2",",6","","","","","3.3",",6,16,","","","","","7.9",",,6,01,","33.3",",6,13,","","","","","12.0",",6","","","","","23.6",",,,6","","","19.37",",6","28.43",",,,6","10.31",",,,6","","","","","",""
"USC00053005","1894-06","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","13.1",",6","6",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","28",",6","1",",6","","","","","3.3",",6,10,","","","","","4.6",",,6,02,","32.8",",6,30,","","","","","46.0",",6","","","","","10.7",",,,6","","","17.24",",6","26.26",",,,6","8.21",",,,6","","","","","",""
"USC00053005","1894-09","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","5.6",",6","","","","","","","","","","","0",",6","1",",6","0",",6","21",",6","0",",6","","","","","-0.6",",6,24,","","","","","","","31.7",",6,05,","","","","","102.5",",6","","","","","","","","","15.10",",6","24.67",",,,6","5.53",",,,6","","","","","",""
"USC00053005","1894-10","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","0.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","12",",6","0",",6","17",",6","0",",6","","","","","-7.2",",6,29,","","","","","0.0",",T,6,20,+","27.2",",6,24,","","","","","235.9",",6","","","","","0.0",",T,,6","","","10.72",",6","20.20",",,,6","1.25",",,,6","","","","","",""
"USC00053005","1894-11","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","0.0",",6","2",",6","1",",6","0",",6","","","1",",6","2",",6","26",",6","1",",6","3",",6","0",",6","","","","","-18.3",",6,16,","","","38",",,6,16,","3.3",",,6,16,","25.6",",6,14,","","","","","408.5",",6","","","","","3.6",",,,6","38",",,,6","4.72",",6","14.47",",,,6","-5.04",",,,6","","","","","",""
"USC00053005","1894-12","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","","","0.0","1,6","5",",6","3",",6","0",",6","","","3",",6","7","1,6","30","1,6","7",",6","0",",6","0",",6","","","","","-31.1","1,6,28,","","","102",",,6,02,","8.6",",,6,02,","18.3",",6,20,","","","","","646.9",",6","","","","","19.2",",,,6","237",",,,6","-3.41","1,6","4.68",",,,6","-11.50","1,,,6","","","","","",""
"USC00053005","1895-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","2,6","4",",6","1",",6","0",",6","","","","","8","1,6","30","1,6","12","1,6","0","1,6","0","1,6","","","","","-23.3","1,6,28,","","","","","4.3",",,6,15,","13.9","1,6,11,","","","","","665.7","1,6","","","","","6.1",",,,6","","","-4.58","2,6","2.89","1,,,6","-12.05","1,,,6","","","","","",""
"USC00053005","1895-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","","","","","","","","","2",",6","10",",6","28",",6","10",",6","0",",6","0",",6","","","","","-33.3",",6,12,","","","114",",,6,11,","","","16.7",",6,23,","","","","","682.8",",6","","","","","","","152",",,,6","-6.05",",6","1.81",",,,6","-13.91",",,,6","","","","","",""
"USC00053005","1895-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","2,6","","","","","","","","","","","3","1,6","27","1,6","3","1,6","4","1,6","0","1,6","","","","","-27.8","1,6,15,","","","","","","","26.7","1,6,27,","","","","","480.7","1,6","","","","","","","","","1.61","2,6","9.92","1,,,6","-6.70","1,,,6","","","","","",""
"USC00053005","1895-04","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","4",",6","2",",6","0",",6","","","0",",6","0",",6","17",",6","0",",6","14",",6","0",",6","","","","","-8.3",",6,02,","","","0",",T,6,21,+","24.9",",,6,21,","26.1",",6,14,","","","","","264.7",",6","","","","","34.6",",,,6","0",",T,,6","9.51",",6","18.98",",,,6","0.04",",,,6","","","","","",""
"USC00053005","1895-05","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","7.2","6","7.2",",6","11",",6","5",",6","1",",6","","","","","0",",6","3",",6","0",",6","15",",6","1",",6","","","","","-2.8",",6,12,","","","","","55.4",",,6,30,","32.2",",6,08,","","","","","209.1",",6","","","","","92.1",",,,6","","","11.82",",6","19.81",",,,6","3.84",",,,6","","","","","",""
"USC00053005","1895-06","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","11.1","6","3.9",",6","12",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","19",",6","0",",6","","","","","2.8",",6,20,","","","","","47.8",",,6,02,","31.7",",6,23,","","","","","95.0",",6","","","","","92.9",",,,6","","","15.30",",6","23.04",",,,6","7.55",",,,6","","","","","",""
"USC00053005","1895-07","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","54.6","6","43.5",",6","","","","","","","","","","","0",",6","0",",6","0",",6","25",",6","5",",6","","","","","7.2",",6,10,+","","","","","","","33.9",",6,28,+","","","37.7","6","37.7",",6","","","","","","","","","18.52",",6","26.26",",,,6","10.77",",,,6","","","","","",""
"USC00053005","1895-08","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","103.5","6","48.9",",6","","","","","","","","","","","0",",6","0",",6","0",",6","29",",6","8",",6","","","","","1.7",",6,25,","","","","","","","34.4",",6,17,","","","45.0","6","7.3",",6","","","","","","","","","19.67",",6","28.82",",,,6","10.53",",,,6","","","","","",""
"USC00053005","1895-09","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","139.0","6","35.5",",6","2",",6","1",",6","0",",6","","","1",",6","0",",6","4",",6","0",",6","24",",6","8",",6","","","","","-5.0",",6,29,","","","102",",,6,22,","11.4",",,6,22,","35.0",",6,16,+","","","146.3","6","101.3",",6","","","","","11.9",",,,6","102",",,,6","16.14",",6","26.76",",,,6","5.52",",,,6","","","","","",""
"USC00053005","1895-10","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","139.0","6","0.0","1,6","4",",6","2",",6","0",",6","","","","","0","1,6","19","1,6","0",",6","9",",6","0",",6","","","","","-9.4","1,6,29,+","","","","","20.3",",,6,04,","26.7",",6,12,","","","443.3","6","297.0",",6","","","","","26.9",",,,6","","","8.44","1,6","17.75",",,,6","-0.87","1,,,6","","","","","",""
"USC00053005","1895-11","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","139.0","6","0.0","2,6","7",",6","1",",6","0",",6","","","2",",6","1","1,6","26","1,6","3","1,6","2","1,6","0","1,6","","","","","-19.4","1,6,26,","","","51",",,6,24,","3.6",",,6,24,","23.3","1,6,17,","","","922.0","6","478.7","1,6","","","","","10.2",",,,6","115",",,,6","1.23","2,6","9.77","1,,,6","-7.31","1,,,6","","","","","",""
"USC00053005","1895-12","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","139.0","6","0.0",",6","1",",6","0",",6","0",",6","","","0",",6","2",",6","31",",6","6",",6","0",",6","0",",6","","","","","-20.6",",6,29,","","","0",",T,6,28,+","0.3",",,6,02,","19.4",",6,10,","","","1548.7","6","626.7",",6","","","","","0.3",",,,6","0",",T,,6","-1.88",",6","6.29",",,,6","-10.05",",,,6","","","","","",""
"USC00053005","1896-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","1",",6","1",",6","31",",6","3",",6","0",",6","0",",6","","","","","-22.2",",6,03,","","","97",",,6,30,","9.4",",,6,30,","20.0",",6,05,","","","2108.6","6","559.9",",6","","","","","10.9",",,,6","97",",,,6","0.27",",6","9.43",",,,6","-8.89",",,,6","","","","","",""
"USC00053005","1896-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","2",",6","0",",6","0",",6","","","","","0",",6","28",",6","3",",6","0",",6","0",",6","","","","","-15.6",",6,01,","","","","","0.5",",,6,03,","20.0",",6,25,","","","2616.4","6","507.8",",6","","","","","0.8",",,,6","","","0.82",",6","9.54",",,,6","-7.89",",,,6","","","","","",""
"USC00053005","1896-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","10",",6","6",",6","0",",6","","","","","1",",6","24",",6","7",",6","3",",6","0",",6","","","","","-21.1",",6,15,","","","","","10.7",",,6,31,","23.9",",6,24,","","","3150.5","6","534.1",",6","","","","","43.9",",,,6","","","1.10",",6","7.91",",,,6","-5.71",",,,6","","","","","",""
"USC00053005","1896-04","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","1,6","5",",6","4",",6","0",",6","","","","","0","1,6","13","1,6","0",",6","9",",6","0",",6","","","","","-13.9","1,6,02,+","","","","","17.0",",,6,17,","26.7",",6,27,+","","","3438.5","6","288.0",",6","","","","","32.0",",,,6","","","8.24","1,6","17.13",",,,6","-0.65","1,,,6","","","","","",""
"USC00053005","1896-05","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","6.6","6","6.6",",6","5",",6","4",",6","0",",6","","","","","0",",6","2",",6","0",",6","20",",6","0",",6","","","","","-0.6",",6,14,","","","","","24.4",",,6,30,","31.1",",6,05,","","","3581.2","6","142.7",",6","","","","","42.6",",,,6","","","13.94",",6","22.72",",,,6","5.17",",,,6","","","","","",""
"USC00053005","1896-06","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","39.9","6","33.3",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","27",",6","4",",6","","","","","3.9",",6,02,","","","","","41.4",",,6,05,","32.8",",6,14,","","","3609.0","6","27.8",",6","","","","","77.6",",,,6","","","18.52",",6","27.23",",,,6","9.81",",,,6","","","","","",""
"USC00053005","1896-07","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","129.5","6","89.6",",6","12",",6","9",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","7",",6","","","","","9.4",",6,29,+","","","","","20.6",",,6,24,","35.6",",6,13,","","","0.0","6","0.0",",6","","","","","77.5",",,,6","","","21.22",",6","29.30",",,,6","13.15",",,,6","","","","","",""
"USC00053005","1896-08","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","204.6","6","75.1","1,6","","","","","","","","","","","0",",6","0",",6","0","1,6","29","1,6","10","1,6","","","","","4.4",",6,23,","","","","","","","33.9","1,6,10,+","","","12.0","6","12.0","1,6","","","","","","","","","20.53","1,6","29.38","1,,,6","11.68",",,,6","","","","","",""
"USC00053005","1896-09","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","214.6","6","10.0",",6","11",",6","6",",6","0",",6","","","","","0",",6","1",",6","0",",6","22",",6","2",",6","","","","","0.0",",6,28,","","","","","10.2",",,6,23,","32.2",",6,06,+","","","124.9","6","112.9",",6","","","","","39.4",",,,6","","","14.90",",6","22.68",",,,6","7.13",",,,6","","","","","",""
"USC00053005","1896-10","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","214.6","6","0.0",",6","5",",6","2",",6","0",",6","","","","","0",",6","22",",6","0",",6","9",",6","0",",6","","","","","-6.1",",6,31,","","","","","5.6",",,6,23,","28.9",",6,03,","","","418.0","6","293.1",",6","","","","","12.5",",,,6","","","8.88",",6","18.07",",,,6","-0.31",",,,6","","","","","",""
"USC00053005","1896-11","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","214.6","6","0.0","2,6","2",",6","0",",6","0",",6","","","0",",6","4","1,6","26","1,6","4","1,6","4","1,6","0","1,6","","","","","-23.9","1,6,27,","","","8",",,6,26,","1.0",",,6,26,","23.9","1,6,15,","","","934.5","6","516.5","1,6","","","","","1.3",",,,6","8",",,,6","-0.43","2,6","8.05","1,,,6","-8.91","1,,,6","","","","","",""
"USC00053005","1896-12","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","214.6","6","0.0",",6","2",",6","1",",6","0",",6","","","","","0",",6","30",",6","1",",6","0",",6","0",",6","","","","","-17.2",",6,07,","","","","","5.6",",,6,07,","18.9",",6,21,","","","1466.6","6","532.1",",6","","","","","6.1",",,,6","","","1.17",",6","9.53",",,,6","-7.19",",,,6","","","","","",""
"USC00053005","1897-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","2,6","2",",6","1",",6","0",",6","","","1",",6","6","1,6","30","1,6","5","1,6","0","1,6","0","1,6","","","","","-32.2","1,6,27,","","","46",",,6,25,","3.6",",,6,25,","17.8","1,6,08,","","","2109.9","6","643.3","1,6","","","","","4.6",",,,6","59",",,,6","-3.81","2,6","5.15","1,,,6","-12.78","1,,,6","","","","","",""
"USC00053005","1897-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","4,6","6",",6","1",",6","0",",6","","","","","1","3,6","25","3,6","5","1,6","0","1,6","0","1,6","","","","","-20.6","3,6,23,","","","","","7.6",",,6,17,","15.6","1,6,27,","","","2599.7","6","489.8","1,6","","","","","13.7",",,,6","","","-2.04","4,6","5.58","1,,,6","-9.66","3,,,6","","","","","",""
"USC00053005","1897-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","1,6","9",",6","3",",6","0",",6","","","4",",6","1","1,6","29","1,6","5",",6","0",",6","0",",6","","","","","-21.7","1,6,23,","","","279",",,6,21,","25.1",",,6,29,","18.3",",6,28,+","","","3138.9","6","539.2",",6","","","","","54.6",",,,6","559",",,,6","0.18","1,6","7.11",",,,6","-6.76","1,,,6","","","","","",""
"USC00053005","1897-04","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","7",",6","5",",6","0",",6","","","2",",6","0",",6","14",",6","0",",6","7",",6","0",",6","","","","","-6.7",",6,08,+","","","51",",,6,07,","9.1",",,6,29,+","25.0",",6,26,","","","3458.0","6","319.1",",6","","","","","35.2",",,,6","97",",,,6","7.70",",6","15.36",",,,6","0.03",",,,6","","","","","",""
"USC00053005","1897-05","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","3,6","","","","","","","","","","","0",",6","1",",6","0","3,6","25","3,6","0","3,6","","","","","0.0",",6,09,","","","","","","","27.8","3,6,26,+","","","3557.5","6","99.5","3,6","","","","","","","","","14.89","3,6","23.59","3,,,6","6.18",",,,6","","","","","",""
"USC00053005","1897-06","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","17.7","6","17.7","3,6","12",",6","7",",6","0",",6","","","","","0",",6","0",",6","0","3,6","21","3,6","1","3,6","","","","","1.7",",6,03,","","","","","7.9",",,6,07,","32.2","3,6,22,","","","3601.4","6","43.9","3,6","","","","","43.1",",,,6","","","17.23","3,6","25.39","3,,,6","9.07",",,,6","","","","","",""
"USC00053005","1897-07","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","67.6","6","49.9",",6","9",",6","7",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","6",",6","","","","","3.9",",6,20,","","","","","22.9",",,6,09,","35.0",",6,07,","","","18.4","6","18.4",",6","","","","","67.3",",,,6","","","19.35",",6","28.52",",,,6","10.18",",,,6","","","","","",""
