"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00194405","1885-05","42.575","-70.74",,"MANCHESTER, MA US","2.2",",6","","","","","","","0",",6","1",",6","0",",6","3",",6","0",",6","","","0.0",",6,03,","","","26.7",",6,26,","","","250.4",",6","","","10.33",",6","13.08",",,,6","7.57",",,,6"
"USC00194405","1885-06","42.575","-70.74",,"MANCHESTER, MA US","2.8",",6","6",",6","4",",6","2",",6","0",",6","0",",6","0",",6","10",",6","0",",6","1","","7.8",",6,06,","35.8",",,6,29,","25.6",",6,22,","","","75.7",",6","77.9",",,,6","15.90",",6","19.55",",,,6","12.25",",,,6"
"USC00194405","1885-07","42.575","-70.74",,"MANCHESTER, MA US","65.0","1,6","6",",6","5",",6","0",",6","0","1,6","0","1,6","0",",6","24",",6","0",",6","3","","12.2","1,6,02,+","6.9",",,6,25,","28.9",",6,18,","12.8","","12.8",",6","23.4",",,,6","20.03","1,6","23.00",",,,6","17.07","1,,,6"
"USC00194405","1885-08","42.575","-70.74",,"MANCHESTER, MA US","40.7",",6","10",",6","6",",6","3",",6","0",",6","0",",6","0",",6","21",",6","0",",6","3","","7.8",",6,28,","77.5",",,6,04,","25.6",",6,22,+","42.3","","29.5",",6","174.1",",,,6","18.69",",6","21.60",",,,6","15.79",",,,6"
"USC00194405","1885-09","42.575","-70.74",,"MANCHESTER, MA US","2.5",",6","4",",6","2",",6","0",",6","0",",6","0",",6","0",",6","8",",6","0",",6","","","3.9",",6,24,","18.5",",,6,09,","24.4",",6,15,","156.0","","113.7",",6","30.2",",,,6","14.63",",6","18.48",",,,6","10.77",",,,6"
"USC00194405","1885-10","42.575","-70.74",,"MANCHESTER, MA US","0.0","2,6","7",",6","6",",6","2",",6","0","1,6","5","1,6","0","1,6","0","1,6","0","1,6","","","-1.1","1,6,26,","33.0",",,6,29,","20.0","1,6,20,","393.8","","237.8","1,6","101.4",",,,6","9.96","2,6","14.55","1,,,6","5.37","1,,,6"
"USC00194405","1886-05","42.575","-70.74",,"MANCHESTER, MA US","0.0",",6","9",",6","7",",6","1",",6","0",",6","0",",6","0",",6","5",",6","0",",6","","","1.1",",6,03,","29.7",",,6,07,","22.8",",6,23,","","","192.4",",6","98.6",",,,6","12.13",",6","16.51",",,,6","7.75",",,,6"
"USC00194405","1886-06","42.575","-70.74",,"MANCHESTER, MA US","4.5",",6","8",",6","5",",6","0",",6","0",",6","0",",6","0",",6","9",",6","0",",6","","","8.9",",6,19,","16.0",",,6,03,","26.7",",6,29,","","","82.8",",6","43.3",",,,6","15.72",",6","19.09",",,,6","12.35",",,,6"
"USC00194405","1886-07","42.575","-70.74",,"MANCHESTER, MA US","49.3",",6","7",",6","5",",6","1",",6","0",",6","0",",6","0",",6","27",",6","1",",6","","","11.7",",6,12,","35.1",",,6,26,","32.2",",6,07,","6.3","","6.3",",6","74.5",",,,6","19.72",",6","23.11",",,,6","16.33",",,,6"
"USC00194405","1886-08","42.575","-70.74",,"MANCHESTER, MA US","28.6",",6","6",",6","5",",6","1",",6","0",",6","0",",6","0",",6","18",",6","0",",6","","","11.1",",6,23,+","32.5",",,6,07,","28.3",",6,12,","30.0","","23.7",",6","76.7",",,,6","18.49",",6","21.97",",,,6","15.02",",,,6"
