"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"GHM00065437","2017-07","7.817","-0.033","122.0","KETE KRACHI, GH","0","3,S","28","3,S","0","3,S","31.9","3,S,21,","30.18","3,,,S"
"GHM00065437","2019-08","7.817","-0.033","122.0","KETE KRACHI, GH","0","5,S","26","5,S","1","5,S","37.5","5,S,21,","30.36","5,,,S"
