"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013777","1893-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","8",",0","4",",0","0",",0","","","","","0","3,0","27","3,0","18","3,0","0","3,0","0","3,0","","","","","-17.2","3,0,16,","","","","","23.1",",,0,01,","11.1","3,0,26,","","","","","45.2",",,,0","","","-4.32","6,0","-0.51","3,,,0","-8.13","3,,,0","",""
"USW00013777","1893-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","14",",0","7",",0","1",",0","","","","","0","3,0","19","3,0","4","3,0","0","3,0","0","3,0","","","","","-11.7","3,0,20,","","","","","30.7",",,0,13,","16.1","3,0,15,","","","","","112.6",",,,0","","","1.44","6,0","5.96","3,,,0","-3.09","3,,,0","",""
"USW00013777","1893-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","11",",0","4",",0","0",",0","","","","","0","3,0","14","3,0","1","3,0","0","3,0","0","3,0","","","","","-8.9","3,0,05,","","","","","13.5",",,0,09,","16.7","3,0,25,","","","","","35.1",",,,0","","","4.81","6,0","9.39","3,,,0","0.23","3,,,0","",""
"USW00013777","1893-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","0.3","2,0","15",",0","9",",0","1",",0","","","","","0","1,0","0","1,0","0","1,0","5","1,0","0","1,0","","","","","2.2","1,0,16,","","","","","26.2",",,0,20,","27.2","1,0,08,","","","193.0","1,0","89.5",",,,0","","","11.52","2,0","16.17","1,,,0","6.87","1,,,0","",""
"USW00013777","1893-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","20.4",",0","14",",0","8",",0","2",",0","","","","","0",",0","0",",0","0",",0","16",",0","0",",0","","","","","7.2",",0,10,+","","","","","30.0",",,0,04,","31.7",",0,23,","","","82.2",",0","96.1",",,,0","","","16.34",",0","21.19",",,,0","11.49",",,,0","",""
"USW00013777","1893-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","129.5",",0","14",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","27",",0","5",",0","","","","","13.9",",0,29,+","","","","","15.7",",,0,02,","36.7",",0,20,","","","5.5",",0","57.5",",,,0","","","22.47",",0","27.09",",,,0","17.84",",,,0","",""
"USW00013777","1893-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","206.1",",0","11",",0","3",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","14.4",",0,11,","","","","","27.7",",,0,08,","35.6",",0,26,","0.0","0","0.0",",0","48.0",",,,0","","","24.98",",0","30.16",",,,0","19.80",",,,0","",""
"USW00013777","1893-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","167.2",",0","6",",0","2",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","2",",0","","","","","13.9",",0,31,+","","","","","25.9",",,0,29,","32.2",",0,27,+","0.0","0","0.0",",0","46.0",",,,0","","","23.73",",0","28.70",",,,0","18.75",",,,0","",""
"USW00013777","1893-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","58.4","2,0","8",",0","6",",0","0",",0","","","","","0","1,0","0","1,0","0","2,0","22","2,0","0","2,0","","","","","6.7","1,0,30,+","","","","","13.5",",,0,14,","31.1","2,0,22,+","28.8","0","28.8","2,0","45.7",",,,0","","","19.30","2,0","23.83","2,,,0","14.78","1,,,0","",""
"USW00013777","1893-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","2.2","1,0","9","1,0","5","1,0","2","1,0","","","","","0",",0","1",",0","0","1,0","10","1,0","0","1,0","","","","","-0.6",",0,31,","","","","","25.9","1,,0,23,","28.9","1,0,09,","162.6","0","133.8","1,0","87.4","1,,,0","","","13.93","1,0","18.30","1,,,0","9.56",",,,0","",""
