"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMW00035110","1949-02","52.56667","13.3","37.2","TEGEL, GM","0.0","1,X","7","1,X","4","1,X","0","1,X","0","1,X","0","1,X","0","1,X","14","1,X","2","1,X","0","1,X","0","1,X","17","","","","-6.1","1,X,08,+","0","1,,X,28,+","0","1,T,X,27,+","5.3","1,,X,27,","13.9","1,X,21,","","","434.4","1,X","18.1","1,,,X","0","1,T,,X","2.24","1,X","5.07","1,,,X","-0.58","1,,,X"
"GMW00035110","1949-03","52.56667","13.3","37.2","TEGEL, GM","0.0","1,X","10","1,X","3","1,X","0","1,X","2","1,X","2","1,X","0","1,X","18","1,X","7","1,X","0","1,X","0","1,X","9","","","","-11.7","1,X,07,","25","1,,X,06,+","51","1,,X,06,","16.0","1,,X,01,","18.9","1,X,30,","","","480.8","1,X","36.8","1,,,X","124","1,,,X","2.31","1,X","6.32","1,,,X","-1.71","1,,,X"
"GMW00035110","1949-04","52.56667","13.3","37.2","TEGEL, GM","0.6",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","4","","1","","0.6",",X,09,","0",",,X,30,+","0",",T,X,08,","5.8",",,X,12,","26.7",",X,25,+","","","214.7",",X","14.7",",,,X","0",",T,,X","11.20",",X","16.02",",,,X","6.38",",,,X"
"GMW00035110","1949-05","52.56667","13.3","37.2","TEGEL, GM","7.0",",X","12",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","10","","5","","1.1",",X,10,","0",",,X,31,+","0",",,X,31,+","36.1",",,X,06,","28.3",",X,05,","","","133.8",",X","54.8",",,,X","0",",,,X","14.24",",X","19.18",",,,X","9.30",",,,X"
"GMW00035110","1949-06","52.56667","13.3","37.2","TEGEL, GM","6.1","2,X","11",",X","3",",X","0",",X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","6","1,X","0","1,X","10","","4","","6.1","1,X,16,","0",",,X,30,+","0",",,X,30,+","21.6",",,X,23,","28.3","1,X,07,","","","107.4","1,X","42.7",",,,X","0",",,,X","14.83","2,X","19.00","1,,,X","10.67","1,,,X"
"GMW00035110","1949-07","52.56667","13.3","37.2","TEGEL, GM","41.1",",X","11",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","21",",X","0",",X","11","","7","","11.7",",X,31,+","0",",,X,31,+","0",",,X,31,+","2.5",",,X,17,","30.6",",X,13,","32.0","","32.0",",X","14.0",",,,X","0",",,,X","18.63",",X","23.31",",,,X","13.94",",,,X"
"GMW00035110","1949-08","52.56667","13.3","37.2","TEGEL, GM","","","7","5,X","3","5,X","0","5,X","0","5,X","0","5,X","","","","","","","","","","","8","","1","","","","0","5,,X,31,+","0","5,,X,31,+","20.3","5,,X,11,","","","","","","","28.8","5,,,X","0","5,,,X","","","","","",""
