"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00450198","1914-01","48.8","-119.2",,"ANTOINE, WA US","0.0","","0.0","2,6","","","0","2,6","29","2,6","7",",6","0",",6","0",",6","","","-16.7","2,6,23,","","","7.8",",6,07,","600.8",",6","-2.57","2,6","2.10",",,,6","-7.24","2,,,6"
"USC00450198","1914-02","48.8","-119.2",,"ANTOINE, WA US","0.0","","0.0",",6","","","4",",6","28",",6","10",",6","0",",6","0",",6","","","-27.8",",6,05,","","","8.3",",6,22,","638.4",",6","-4.47",",6","1.48",",,,6","-10.42",",,,6"
"USC00450198","1914-03","48.8","-119.2",,"ANTOINE, WA US","0.0","","0.0",",6","","","1",",6","31",",6","2",",6","0",",6","0",",6","","","-18.9",",6,26,","","","15.6",",6,20,+","519.8",",6","1.57",",6","8.79",",,,6","-5.65",",,,6"
"USC00450198","1914-04","48.8","-119.2",,"ANTOINE, WA US","0.0","","0.0","1,6","","","0","1,6","24","1,6","0",",6","10",",6","0",",6","","","-8.9","1,6,01,","","","28.9",",6,10,","301.3",",6","7.99","1,6","18.24",",,,6","-2.26","1,,,6"
"USC00450198","1914-05","48.8","-119.2",,"ANTOINE, WA US","0.0","","0.0",",6","","","0",",6","26",",6","0",",6","8",",6","0",",6","","","-4.4",",6,18,+","","","23.3",",6,31,+","316.2",",6","8.13",",6","17.67",",,,6","-1.40",",,,6"
"USC00450198","1916-03","48.8","-119.2",,"ANTOINE, WA US","","","","","28","3,6","","","","","","","","","","","1","","","","51","3,,6,17,+","","","","","","","","","",""
