"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00410639","1894-12","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,6","","","","","","","",""
"USC00410639","1897-01","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","9.9","","9.9","3,6","","","","","","","","","","","0","1,6","10","1,6","1","2,6","11","2,6","0","2,6","","","","","-7.2","1,6,27,","","","","","","","26.1","2,6,01,","","","","","","","214.5","2,6","","","","","","","","","","","","","","","","","","","10.43","3,6","16.36","2,,,6","4.51","1,,,6","",""
"USC00410639","1897-02","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","44.3","","34.4",",6","2",",6","0",",6","0",",6","","","","","0",",6","2",",6","0",",6","20",",6","0",",6","","","","","-1.7",",6,01,","","","","","0.8",",,6,11,","30.0",",6,19,","","","","","","","105.0",",6","","","","","","","","","","","","","","","1.3",",,,6","","","15.81",",6","22.62",",,,6","9.00",",,,6","",""
"USC00410639","1897-03","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","155.5","","111.2",",6","2",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","28",",6","7",",6","","","","","1.1",",6,24,","","","","","22.9",",,6,29,","35.0",",6,21,","","","","","","","29.3",",6","","","","","","","","","","","","","","","23.7",",,,6","","","20.98",",6","27.87",",,,6","14.08",",,,6","",""
"USC00410639","1901-11","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","31.1","2,0","3",",0","3",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","25","1,0","0","1,0","8","","","","1.1","2,0,16,","0",",,0,30,+","0",",,0,30,+","11.2",",,0,14,","30.6","1,0,10,+","","","","","","","66.2","1,0","","","","","","","","","","","","","","","17.6",",,,0","0",",,,0","17.10","2,0","25.88","1,,,0","8.33","2,,,0","",""
"USC00410639","1901-12","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","10.1",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","18",",0","0",",0","1","","","","-10.0",",0,15,","0",",,0,31,+","0",",,0,31,+","9.4",",,0,28,","30.6",",0,06,","","","","","","","213.8",",0","","","","","","","","","","","","","","","19.6",",,,0","0",",,,0","11.76",",0","21.73",",,,0","1.79",",,,0","",""
"USC00410639","1902-02","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","","","6",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",0","10",",0","0",",0","2","","","","","","0",",,0,28,+","0",",,0,28,+","18.3",",,0,05,","31.1",",0,28,","","","","","","","","","","","","","","","","","","","","","","","37.1",",,,0","0",",,,0","","","18.35",",,,0","","","",""
"USC00410639","1902-03","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","","","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",0","26",",0","2",",0","2","","","","","","0",",,0,31,+","0",",,0,31,+","2.3",",,0,11,","33.3",",0,30,","","","","","","","","","","","","","","","","","","","","","","","2.3",",,,0","0",",,,0","","","26.63",",,,0","","","",""
"USC00410639","1902-04","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","143.6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","1","","","","6.7",",0,01,","0",",,0,30,+","0",",,0,30,+","14.2",",,0,13,","35.6",",0,30,","","","","","","","6.4",",0","","","","","","","","","","","","","","","18.3",",,,0","0",",,,0","22.91",",0","28.81",",,,0","17.00",",,,0","",""
"USC00410639","1902-05","28.4575","-97.7061","77.7","BEEVILLE 5 NE, TX US","","","250.6",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","2","","1","","16.1",",0,09,+","0",",,0,31,+","0",",,0,31,+","59.2",",,0,05,","36.1",",0,20,","","","","","","","0.0",",0","","","","","","","","","","","","","","","95.3",",,,0","0",",,,0","26.42",",0","31.89",",,,0","20.95",",,,0","",""
