"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00201763","1915-07","44.45","-83.466667","206.3","COOKE SITE, MI US","","","11",",6","8",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","10.2",",,6,24,","","","","","42.7",",,,6","0",",,,6","","","","","",""
"USC00201763","1915-08","44.45","-83.466667","206.3","COOKE SITE, MI US","","","11",",6","8",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","66.0",",,6,03,","","","","","142.9",",,,6","0",",,,6","","","","","",""
"USC00201763","1915-09","44.45","-83.466667","206.3","COOKE SITE, MI US","","","12",",6","8",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","0",",,6,30,+","27.9",",,6,12,","","","","","82.1",",,,6","0",",,,6","","","","","",""
"USC00201763","1915-10","44.45","-83.466667","206.3","COOKE SITE, MI US","","","6",",6","4",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","12.2",",,6,18,","","","","","24.1",",,,6","0",",,,6","","","","","",""
"USC00201763","1915-11","44.45","-83.466667","206.3","COOKE SITE, MI US","","","8",",6","4",",6","1",",6","2",",6","2",",6","","","","","","","","","","","","","","","51",",,6,29,","51",",,6,29,","37.6",",,6,19,","","","","","67.6",",,,6","76",",,,6","","","","","",""
"USC00201763","1915-12","44.45","-83.466667","206.3","COOKE SITE, MI US","","","7",",6","7",",6","0",",6","28",",6","6",",6","","","","","","","","","","","","","","","305",",,6,30,+","127",",,6,25,","12.7",",,6,25,","","","","","63.1",",,,6","509",",,,6","","","","","",""
"USC00201763","1916-01","44.45","-83.466667","206.3","COOKE SITE, MI US","","","13",",6","8",",6","0",",6","18","1,6","2",",6","","","","","","","","","","","","","","","203","1,,6,01,","51",",,6,20,+","9.7",",,6,27,","","","","","64.0",",,,6","123",",,,6","","","","","",""
"USC00201763","1916-02","44.45","-83.466667","206.3","COOKE SITE, MI US","","","7",",6","5",",6","0",",6","25",",6","5",",6","","","","","","","","","","","","","","","356",",,6,13,+","178",",,6,08,","17.8",",,6,08,","","","","","40.7",",,,6","407",",,,6","","","","","",""
"USC00201763","1916-03","44.45","-83.466667","206.3","COOKE SITE, MI US","","","14",",6","11",",6","1",",6","27",",6","6",",6","","","","","","","","","","","","","","","279",",,6,10,+","102",",,6,09,","50.8",",,6,27,","","","","","126.0",",,,6","356",",,,6","","","","","",""
"USC00201763","1916-04","44.45","-83.466667","206.3","COOKE SITE, MI US","","","12",",6","8",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",T,6,05,","0",",T,6,05,","19.1",",,6,12,","","","","","70.4",",,,6","0",",T,,6","","","","","",""
"USC00201763","1916-05","44.45","-83.466667","206.3","COOKE SITE, MI US","","","12",",6","7",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","29.2",",,6,01,","","","","","76.7",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-06","44.45","-83.466667","206.3","COOKE SITE, MI US","","","10",",6","9",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","0",",,6,30,+","34.8",",,6,07,","","","","","99.2",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-07","44.45","-83.466667","206.3","COOKE SITE, MI US","","","3",",6","2",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","4.3",",,6,12,","","","","","7.8",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-08","44.45","-83.466667","206.3","COOKE SITE, MI US","","","10",",6","5",",6","1",",6","0","2,6","0",",6","","","","","","","","","","","","","","","0","2,,6,31,+","0",",,6,31,+","40.6",",,6,07,","","","","","75.5",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-09","44.45","-83.466667","206.3","COOKE SITE, MI US","","","12",",6","9",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","0",",,6,30,+","10.2",",,6,21,","","","","","65.0",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-10","44.45","-83.466667","206.3","COOKE SITE, MI US","","","11",",6","8",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","20.3",",,6,20,","","","","","87.9",",,,6","0",",,,6","","","","","",""
"USC00201763","1916-11","44.45","-83.466667","206.3","COOKE SITE, MI US","","","7","1,6","6","1,6","0","1,6","13",",6","3",",6","","","","","","","","","","","","","","","102",",,6,16,+","76",",,6,12,","24.9","1,,6,09,","","","","","61.4","1,,,6","152",",,,6","","","","","",""
"USC00201763","1916-12","44.45","-83.466667","206.3","COOKE SITE, MI US","","","11",",6","8",",6","0",",6","21",",6","5",",6","","","","","","","","","","","1","","","","254",",,6,26,+","127",",,6,24,","16.0",",,6,08,","","","","","60.4",",,,6","271",",,,6","","","","","",""
"USC00201763","1917-01","44.45","-83.466667","206.3","COOKE SITE, MI US","","","5","1,6","5","1,6","0","1,6","31",",6","4",",6","","","","","","","","","","","","","","","381",",,6,31,+","132",",,6,21,","14.7","1,,6,21,","","","","","38.0","1,,,6","292",",,,6","","","","","",""
"USC00201763","1917-02","44.45","-83.466667","206.3","COOKE SITE, MI US","","","4",",6","3",",6","0",",6","28",",6","4",",6","","","","","","","","","","","","","","","381",",,6,16,+","56",",,6,01,","5.1",",,6,01,","","","","","14.7",",,,6","170",",,,6","","","","","",""
"USC00201763","1917-03","44.45","-83.466667","206.3","COOKE SITE, MI US","","","8","1,6","6","1,6","0","1,6","23","1,6","1","1,6","","","","","","","","","","","","","","","356","1,,6,07,","25","1,,6,07,","8.9","1,,6,27,","","","","","36.6","1,,,6","54","1,,,6","","","","","",""
