"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00051777","2020-01","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",T,7,30,+","10",",,7,30,","21",",,,7"
"USC00051777","2020-02","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","13",",7","4",",7","","","102",",,7,07,","114",",,7,18,","331",",,,7"
"USC00051777","2020-03","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","2",",7","3",",7","","","102",",,7,01,","99",",,7,01,","195",",,,7"
"USC00051777","2020-04","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","2",",7","3",",7","","","51",",,7,13,+","104",",,7,13,","239",",,,7"
"USC00051777","2020-05","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,31,+","0",",,7,31,+","0",",,,7"
"USC00051777","2020-06","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,30,+","0",",T,7,09,","0",",T,,7"
"USC00051777","2020-07","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,31,+","0",",T,7,14,","0",",T,,7"
"USC00051777","2020-08","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","2","","0",",,7,31,+","0",",T,7,16,+","0",",T,,7"
"USC00051777","2020-09","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","1",",7","2",",7","","","25",",,7,08,","33",",,7,09,+","66",",,,7"
"USC00051777","2020-10","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","2",",7","2",",7","","","51",",,7,26,","48",",,7,26,","81",",,,7"
"USC00051777","2020-11","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",T,7,09,","5",",,7,09,","5",",,,7"
"USC00051777","2020-12","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","8",",7","1",",7","","","76",",,7,29,+","71",",,7,28,","131",",,,7"
"USC00051777","2021-01","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","8",",7","3",",7","","","76",",,7,26,","74",",,7,25,","201",",,,7"
"USC00051777","2021-02","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","10",",7","4",",7","","","127",",,7,18,+","89",",,7,25,","346",",,,7"
"USC00051777","2021-03","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","5",",7","5",",7","","","127",",,7,14,","109",",,7,13,","370",",,,7"
"USC00051777","2021-04","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","2",",7","2",",7","","","76",",,7,15,","94",",,7,15,","138",",,,7"
"USC00051777","2021-05","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","1",",7","1",",7","","","25",",,7,10,","30",",,7,10,","43",",,,7"
"USC00051777","2021-06","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,30,+","0",",,7,30,+","0",",,,7"
"USC00051777","2021-07","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,31,+","0",",T,7,04,","0",",T,,7"
"USC00051777","2021-08","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,31,+","0",",,7,31,+","0",",,,7"
"USC00051777","2021-09","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,30,+","0",",,7,30,+","0",",,,7"
"USC00051777","2021-10","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",7","0",",7","","","0",",,7,31,+","0",",,7,31,+","0",",,,7"
"USC00051777","2021-11","38.81581","-104.69954","1879.7","COLORADO SPRINGS AIRPORT SNOW, CO US","0",",H","0",",H","","","0",",,H,30,+","0",",,H,30,+","0",",,,H"
