"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MRM00061492","1983-06","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","25","5,S","24","5,S","","","45.3","5,S,15,","","","","","39.72","5,,,S","",""
"MRM00061492","1983-10","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","3,S","28","3,S","28","3,S","","","42.0","3,S,01,","","","","","39.42","3,,,S","",""
"MRM00061492","1983-11","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","2,S","28","2,S","28","2,S","","","40.8","2,S,27,","","","","","38.50","2,,,S","",""
"MRM00061492","1983-12","16.16","-13.508","22.9","KAEDI, MR","","","177.5","5,S","0","4,S","0","4,S","0","2,S","29","2,S","12","2,S","9.3","4,S,15,","35.5","2,S,23,","0.0","2,S","25.28","5,S","31.76","2,,,S","18.81","4,,,S"
"MRM00061492","1984-01","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","26","5,S","9","5,S","","","35.6","5,S,27,","","","","","30.62","5,,,S","",""
"MRM00061492","1984-05","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","4,S","27","4,S","27","4,S","","","44.0","4,S,30,+","","","","","42.06","4,,,S","",""
"MRM00061492","1984-10","16.16","-13.508","22.9","KAEDI, MR","","","","","0","5,S","0","5,S","","","","","","","21.0","5,S,03,","","","","","","","","","26.29","5,,,S"
"MRM00061492","1984-11","16.16","-13.508","22.9","KAEDI, MR","","","276.8","4,S","0","1,S","0","1,S","0","3,S","27","3,S","24","3,S","16.5","1,S,30,","38.0","3,S,24,+","0.0","3,S","28.99","4,S","34.84","3,,,S","23.14","1,,,S"
"MRM00061492","1985-04","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","25","5,S","25","5,S","","","42.0","5,S,10,+","","","","","38.48","5,,,S","",""
"MRM00061492","1996-05","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","26","5,S","26","5,S","","","47.0","5,S,18,","","","","","42.73","5,,,S","",""
"MRM00061492","1998-03","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","4,S","27","4,S","26","4,S","","","44.0","4,S,31,+","","","","","38.10","4,,,S","",""
"MRM00061492","2009-01","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","3,S","28","3,S","7","3,S","","","37.0","3,S,01,","","","","","30.23","3,,,S","",""
"MRM00061492","2009-03","16.16","-13.508","22.9","KAEDI, MR","","","300.1","5,S","0","4,S","0","4,S","0","3,S","28","3,S","28","3,S","17.5","4,S,12,","40.5","3,S,24,+","0.0","3,S","29.88","5,S","37.04","3,,,S","22.72","4,,,S"
"MRM00061492","2009-05","16.16","-13.508","22.9","KAEDI, MR","","","","","0","5,S","0","5,S","0","3,S","28","3,S","28","3,S","24.5","5,S,09,","46.0","3,S,29,+","","","36.27","7,S","43.50","3,,,S","29.04","5,,,S"
"MRM00061492","2009-12","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","26","5,S","17","5,S","","","38.0","5,S,30,","","","","","34.23","5,,,S","",""
"MRM00061492","2010-03","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","26","5,S","26","5,S","","","44.0","5,S,30,","","","","","40.54","5,,,S","",""
"MRM00061492","2011-03","16.16","-13.508","22.9","KAEDI, MR","","","","","0","4,S","0","4,S","0","3,S","28","3,S","26","3,S","19.0","4,S,14,","43.5","3,S,30,+","","","31.52","6,S","38.75","3,,,S","24.29","4,,,S"
"MRM00061492","2012-04","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","25","5,S","25","5,S","","","44.0","5,S,22,","","","","","39.12","5,,,S","",""
"MRM00061492","2012-05","16.16","-13.508","22.9","KAEDI, MR","","","466.1","5,S","0","3,S","0","3,S","0","5,S","26","5,S","26","5,S","26.0","3,S,30,+","46.0","5,S,12,","0.0","5,S","36.23","5,S","42.92","5,,,S","29.54","3,,,S"
"MRM00061492","2012-06","16.16","-13.508","22.9","KAEDI, MR","","","","","","","","","0","5,S","25","5,S","25","5,S","","","45.5","5,S,16,","","","","","41.34","5,,,S","",""
