"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00281028","1893-01","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","0.0","6","0.0",",6","","","","","","","","","5",",6","5",",6","28",",6","17",",6","0",",6","0",",6","","","","","-20.6",",6,17,","","","254",",,6,06,","","","10.0",",6,01,","","","694.6",",6","","","533",",,,6","-4.07",",6","0.25",",,,6","-8.40",",,,6","",""
"USC00281028","1893-02","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","0.0","6","0.0","2,6","10",",6","10",",6","2",",6","","","2",",6","0","1,6","17","1,6","3","1,6","0","1,6","0","1,6","","","","","-11.1","1,6,20,","","","102",",,6,17,","30.5",",,6,28,","17.8","1,6,16,+","","","427.0","1,6","113.8",",,,6","127",",,,6","1.74","2,6","6.17","1,,,6","-2.69","1,,,6","",""
"USC00281028","1893-03","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","0.0","6","0.0",",6","7",",6","7",",6","1",",6","","","2",",6","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","-9.4",",6,05,","","","76",",,6,17,+","27.9",",,6,09,","18.3",",6,25,+","","","415.2",",6","96.7",",,,6","152",",,,6","4.94",",6","9.37",",,,6","0.51",",,,6","",""
"USC00281028","1893-04","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","0.0","6","0.0","2,6","11",",6","11",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","5","1,6","0","1,6","","","","","1.1","1,6,16,","","","","","27.4",",,6,27,","23.9","1,6,08,+","","","178.5","1,6","104.3",",,,6","","","11.99","2,6","17.39","1,,,6","6.59","1,,,6","",""
"USC00281028","1893-05","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","27.3","6","27.3",",6","10",",6","9",",6","1",",6","","","","","0",",6","0",",6","0",",6","20",",6","1",",6","","","","","6.7",",6,10,+","","","","","35.1",",,6,04,","33.9",",6,23,","","","64.8",",6","89.7",",,,6","","","17.12",",6","22.76",",,,6","11.48",",,,6","",""
"USC00281028","1893-06","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","183.0","6","155.7",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","28",",6","10",",6","","","","","10.6",",6,29,","","","","","4.6",",,6,06,+","36.7",",6,20,+","","","3.5",",6","11.7",",,,6","","","23.40",",6","29.02",",,,6","17.79",",,,6","",""
"USC00281028","1893-07","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","410.1","6","227.1",",6","7",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","9",",6","","","","","13.9",",6,28,","","","","","32.5",",,6,31,","35.0",",6,18,","0.0","6","0.0",",6","73.7",",,,6","","","25.66",",6","30.85",",,,6","20.46",",,,6","",""
"USC00281028","1893-08","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","602.0","6","191.9",",6","6",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","6",",6","","","","","14.4",",6,31,","","","","","55.9",",,6,24,","34.4",",6,12,","0.0","6","0.0",",6","111.3",",,,6","","","24.52",",6","29.61",",,,6","19.44",",,,6","",""
"USC00281028","1893-09","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","666.4","6","64.4",",6","7",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","","","6.7",",6,30,","","","","","36.3",",,6,15,","31.1",",6,07,","28.1","6","28.1",",6","91.2",",,,6","","","19.54",",6","24.34",",,,6","14.74",",,,6","",""
"USC00281028","1893-10","39.46667","-75.2","34.1","BRIDGETON 1 NE, NJ US","670.0","6","3.6",",6","5",",6","5",",6","2",",6","","","","","0",",6","1",",6","0",",6","14",",6","0",",6","","","","","-0.6",",6,31,","","","","","59.7",",,6,28,","27.2",",6,09,","155.3","6","127.2",",6","135.8",",,,6","","","14.35",",6","19.41",",,,6","9.29",",,,6","",""
