"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MSPO","1991-07","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","1.4","4,U","0","2,U","0","2,U","0","4,U","11","4,U","0","4,U","2.8","2,U,07,+","26.1","4,U,13,","118.5","","118.5","4,U","14.04","4,U","19.67","4,,,U","8.40","2,,,U"
"USR0000MSPO","1991-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","18.1",",U","0",",U","0",",U","0",",U","20",",U","0",",U","4.4",",U,02,","30.0",",U,31,","201.5","","83.0",",U","16.24",",U","22.21",",,,U","10.27",",,,U"
"USR0000MSPO","1991-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.0",",U","0",",U","8",",U","0",",U","6",",U","0",",U","-3.9",",U,22,+","23.3",",U,06,","468.1","","266.6",",U","9.45",",U","14.98",",,,U","3.91",",,,U"
"USR0000MSPO","1991-10","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.0","3,U","2","2,U","17","2,U","9","2,U","2","2,U","0","2,U","-19.4","2,U,29,","23.3","2,U,11,","939.5","","471.4","2,U","1.52","3,U","6.27","2,,,U","-3.23","2,,,U"
"USR0000MSPO","1992-07","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","1.7",",U","0",",U","0",",U","0",",U","6",",U","0",",U","0.6",",U,01,","25.6",",U,31,","235.1","","235.1",",U","10.80",",U","15.80",",,,U","5.80",",,,U"
"USR0000MSPO","1992-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","9.7","1,U","0",",U","6",",U","2","1,U","15","1,U","0","1,U","-6.7",",U,23,+","28.3","1,U,14,","430.2","","195.1","1,U","12.27","1,U","18.32","1,,,U","6.22",",,,U"
"USR0000MSPO","1992-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.8","2,U","0","1,U","16","1,U","3","1,U","2","1,U","0","1,U","-5.0","1,U,14,+","25.0","1,U,30,","777.4","","347.2","1,U","6.05","2,U","10.52","1,,,U","1.58","1,,,U"
"USR0000MSPO","1993-07","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.0","1,U","0",",U","1",",U","0","1,U","1","1,U","0","1,U","0.0",",U,12,","22.2","1,U,28,","336.5","","336.5","1,U","7.10","1,U","10.66","1,,,U","3.55",",,,U"
"USR0000MSPO","1993-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.0",",U","0",",U","4",",U","0",",U","4",",U","0",",U","-1.1",",U,25,","22.2",",U,20,+","581.6","","245.1",",U","10.43",",U","15.30",",,,U","5.56",",,,U"
"USR0000MSPO","1994-07","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","25.2",",U","0",",U","0",",U","0",",U","17",",U","0",",U","0.6",",U,03,","30.6",",U,23,","111.6","","111.6",",U","15.54",",U","21.37",",,,U","9.71",",,,U"
"USR0000MSPO","1994-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","16.1",",U","0",",U","0",",U","0",",U","22",",U","0",",U","2.8",",U,31,","30.6",",U,14,","205.0","","93.4",",U","15.84",",U","22.24",",,,U","9.45",",,,U"
"USR0000MSPO","1994-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.3",",U","0",",U","3",",U","0",",U","14",",U","0",",U","-1.1",",U,21,","24.4",",U,24,+","376.9","","171.9",",U","12.61",",U","19.09",",,,U","6.13",",,,U"
"USR0000MSPO","1995-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","1.1",",U","0",",U","3",",U","0",",U","9",",U","0",",U","-0.6",",U,13,","26.1",",U,21,","","","220.0",",U","11.27",",U","16.84",",,,U","5.70",",,,U"
"USR0000MSPO","1995-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","2.8",",U","0",",U","5",",U","0",",U","5",",U","0",",U","-7.2",",U,21,","27.2",",U,03,","","","276.2",",U","9.22",",U","14.42",",,,U","4.02",",,,U"
"USR0000MSPO","1996-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","19.5",",U","0",",U","0",",U","0",",U","17",",U","0",",U","0.6",",U,05,","29.4",",U,26,","","","138.5",",U","14.49",",U","20.44",",,,U","8.54",",,,U"
"USR0000MSPO","1998-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","20.7",",U","0",",U","2",",U","0",",U","12",",U","0",",U","-0.6",",U,26,","30.0",",U,05,","","","172.3",",U","13.28",",U","19.11",",,,U","7.46",",,,U"
"USR0000MSPO","1999-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","5.3","2,U","0","1,U","1","1,U","0","1,U","18","1,U","0","1,U","-2.2","1,U,31,","28.9","1,U,27,","","","96.0","1,U","15.10","2,U","21.58","1,,,U","8.61","1,,,U"
"USR0000MSPO","1999-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","0.0","1,U","0","1,U","11","1,U","1","1,U","7","1,U","0","1,U","-7.2","1,U,28,+","22.8","1,U,22,+","","","302.6","1,U","7.90","1,U","13.43","1,,,U","2.37","1,,,U"
"USR0000MSPO","2000-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","11.4",",U","0",",U","0",",U","0",",U","18",",U","0",",U","0.6",",U,28,","30.0",",U,09,","","","108.8",",U","15.19",",U","22.02",",,,U","8.37",",,,U"
"USR0000MSPO","2001-08","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","27.5","2,U","0","1,U","1","1,U","0","1,U","26","1,U","0","1,U","0.0","1,U,30,","30.0","1,U,03,","","","64.9","1,U","17.03","2,U","24.51","1,,,U","9.55","1,,,U"
"USR0000MSPO","2001-09","47.9044","-113.4394","2202.2","SPOTTED BEAR MONTANA, MT US","2.2",",U","0",",U","3",",U","0",",U","11",",U","0",",U","-2.2",",U,07,","28.3",",U,25,","","","186.8",",U","12.18",",U","18.81",",,,U","5.55",",,,U"
