"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00193695","1924-05","42.2","-71.433333","61.0","HOLLISTON, MA US","","","","","","","","","","","1","","","","","","","","","","",""
"USC00193695","1924-06","42.2","-71.433333","61.0","HOLLISTON, MA US","","","","","0","4,6","23","4,6","1","4,6","2","","","","32.2","4,6,25,","","","24.68","4,,,6","",""
"USC00193695","1924-09","42.2","-71.433333","61.0","HOLLISTON, MA US","","","","","0",",6","21",",6","0",",6","","","","","31.7",",6,01,","","","22.07",",,,6","",""
"USC00193695","1925-04","42.2","-71.433333","61.0","HOLLISTON, MA US","","","","","","","","","","","1","","","","","","","","","","",""
"USC00193695","1925-05","42.2","-71.433333","61.0","HOLLISTON, MA US","0","3,6","0","3,6","0","4,6","12","4,6","0","4,6","","","5.6","3,6,25,","27.8","4,6,21,","16.75","7,6","20.78","4,,,6","12.72","3,,,6"
"USC00193695","1925-06","42.2","-71.433333","61.0","HOLLISTON, MA US","0","4,6","0","4,6","0","4,6","26","4,6","6","4,6","1","","12.2","4,6,08,","35.6","4,6,07,","25.33","8,6","28.67","4,,,6","21.99","4,,,6"
