"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GQC00914120","1956-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","8",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","12.7",",,0,03,+","","","","","57.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","9",",0","9",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,29,+","0",",,0,29,+","22.9",",,0,10,+","","","","","94.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","66.4","4,a,,0","0",",,,0","","","","","",""
"GQC00914120","1956-04","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","17.8",",,0,15,","","","","","39.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,03,","","","","","48.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-06","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","5","1,0","5","1,0","0","1,0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","17.8","1,,0,03,","","","","","53.4","1,,,0","0",",,,0","","","","","",""
"GQC00914120","1956-07","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","19",",0","1",",0","0",",0","0",",0","","","","","","","","","","","1","","","","0",",,0,31,+","0",",,0,31,+","30.5",",,0,26,","","","","","277.4",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-08","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","21",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","28.7",",,0,09,","","","","","183.8",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-09","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","27","1,0","21","1,0","0","1,0","0",",0","0",",0","","","","","","","","","","","2","","","","0",",,0,30,+","0",",,0,30,+","21.1","1,,0,22,","","","","","240.5","1,,,0","0",",,,0","","","","","",""
"GQC00914120","1956-10","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","17",",0","1",",0","0",",0","0",",0","","","","","","","","","","","3","","","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,19,","","","","","198.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-11","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","18",",0","3",",0","0",",0","0",",0","","","","","","","","","","","1","","","","0",",,0,30,+","0",",,0,30,+","49.5",",,0,12,","","","","","247.6",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-12","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","15",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","48.3",",,0,13,","","","","","204.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","13",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,28,","","","","","132.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","17",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","10.2",",,0,18,","","","","","54.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,26,","","","","","77.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-04","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,20,","","","","","46.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","16",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","29.2",",,0,07,","","","","","65.6",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-06","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","22.9",",,0,19,","","","","","86.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-07","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","13",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","50.8",",,0,12,","","","","","77.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-08","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","19",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","48.3",",,0,14,","","","","","221.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-09","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","18",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","34.3",",,0,17,","","","","","187.5",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-10","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","14",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","63.5",",,0,06,","","","","","285.4",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-11","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","21",",0","13",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","76.2",",,0,16,","","","","","317.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-12","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","10",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","9.4",",,0,16,","","","","","30.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","12",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","45.7",",,0,14,","","","","","147.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","7",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","12.7",",,0,03,","","","","","39.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","17",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","11.2",",,0,30,","","","","","32.8",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","17",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","19.1",",,0,23,","","","","","52.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-07","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","25",",0","17",",0","6",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","50.8",",,0,15,","","","","","321.5",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-09","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","28",",0","16",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","50.0",",,0,21,+","","","","","289.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-10","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","29",",0","12",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","31.8",",,0,20,","","","","","170.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-11","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26","2,0","13","2,0","0","2,0","0","2,0","0","2,0","","","","","","","","","","","","","","","0","2,,0,30,+","0","2,,0,30,+","22.1","2,,0,19,","","","","","142.4","2,,,0","0","2,,,0","","","","","",""
"GQC00914120","1959-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","4.8",",,0,25,","","","","","46.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1959-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","16",",0","16",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","20.3",",,0,31,","","","","","135.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1959-04","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","10.2",",,0,17,","","","","","63.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1959-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","5",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","12.7",",,0,18,","","","","","35.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1959-06","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","11",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","40.4",",,0,23,","","","","","104.1",",,,0","0",",,,0","","","","","",""
