"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00422847","1909-11","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","2",",6","2",",6","1",",6","","","2",",6","","","","","","","","","","","","","","","","","254",",,6,14,","25.4",",,6,14,","","","","","","","","","40.6",",,,6","406",",,,6","","","","","","","",""
"USC00422847","1916-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","30.2",",,6,26,","","","","","","","","","74.9",",,,6","","","","","","","","","",""
"USC00422847","1916-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","10.2",",,6,02,","","","","","","","","","47.6",",,,6","","","","","","","","","",""
"USC00422847","1919-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","26.7",",,6,22,","","","","","","","","","46.7",",,,6","","","","","","","","","",""
"USC00422847","1920-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","8",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","7.1",",,6,22,","","","","","","","","","29.0",",,,6","","","","","","","","","",""
"USC00422847","1920-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","21.8",",,6,20,+","","","","","","","","","65.4",",,,6","","","","","","","","","",""
"USC00422847","1920-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","7.6",",,6,30,","","","","","","","","","12.1",",,,6","","","","","","","","","",""
"USC00422847","1922-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","8",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","10.7",",,6,22,+","","","","","","","","","51.2",",,,6","","","","","","","","","",""
"USC00422847","1923-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","0.0",",,6,30,+","","","","","","","","","0.0",",,,6","","","","","","","","","",""
"USC00422847","1923-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","8",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","24.4",",,6,23,","","","","","","","","","61.3",",,,6","","","","","","","","","",""
"USC00422847","1923-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","21.8",",,6,10,","","","","","","","","","58.4",",,,6","","","","","","","","","",""
"USC00422847","1924-05","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","14.7",",,6,26,","","","","","","","","","27.4",",,,6","","","","","","","","","",""
"USC00422847","1924-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","0.0",",,6,30,+","","","","","","","","","0.0",",,,6","","","","","","","","","",""
"USC00422847","1924-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","11",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","20.6",",,6,26,","","","","","","","","","67.5",",,,6","","","","","","","","","",""
"USC00422847","1924-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","3",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","27.4",",,6,11,","","","","","","","","","60.1",",,,6","","","","","","","","","",""
"USC00422847","1924-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","19.3",",,6,10,","","","","","","","","","26.1",",,,6","","","","","","","","","",""
"USC00422847","1924-10","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","8.1",",,6,11,","","","","","","","","","17.5",",,,6","","","","","","","","","",""
"USC00422847","1925-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","25.4",",,6,10,","","","","","","","","","35.8",",,,6","","","","","","","","","",""
"USC00422847","1925-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","11.9",",,6,05,","","","","","","","","","31.0",",,,6","","","","","","","","","",""
"USC00422847","1926-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","6.4",",,6,27,","","","","","","","","","8.9",",,,6","","","","","","","","","",""
"USC00422847","1927-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","20.6",",,6,25,","","","","","","","","","48.8",",,,6","","","","","","","","","",""
"USC00422847","1927-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","7",",6","5",",6","1",",6","","","1",",6","","","","","","","","","","","","","","","","","38",",,6,13,","33.0",",,6,12,","","","","","","","","","62.9",",,,6","38",",,,6","","","","","","","",""
"USC00422847","1928-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","22.9",",,6,12,","","","","","","","","","22.9",",,,6","","","","","","","","","",""
"USC00422847","1928-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","8.1",",,6,14,","","","","","","","","","19.5",",,,6","","","","","","","","","",""
"USC00422847","1948-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","0",",,,0","","","","","","","",""
"USC00422847","1950-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","0.0","2,0","8",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","6","2,0","0","2,0","5","2,0","0","2,0","","","-2.8","2,0,25,","0",",T,0,13,","0",",T,0,13,","7.6",",,0,08,","26.7","2,0,03,","102.1","4,,,0","","","229.9","2,0","17.3",",,,0","0",",T,,0","10.12","2,0","17.76","2,,,0","2.49","2,,,0","8130","4,,,0"
"USC00422847","1950-10","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","0.0","1,0","1",",0","1",",0","0",",0","0",",0","1",",0","0","1,0","14","1,0","0","1,0","4","1,0","0","1,0","","","-7.8","1,0,02,","0",",T,0,31,","71",",,0,31,","2.5",",,0,31,","22.8","1,0,11,","","","","","293.9","1,0","2.5",",,,0","71",",,,0","8.54","1,0","16.82","1,,,0","0.26","1,,,0","4606","5,,,0"
"USC00422847","1951-06","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","7","2,0","3","2,0","0","2,0","0",",0","0",",0","","","","","","","","","","","3","","","","0",",,0,30,+","0",",,0,30,+","3.0","2,,0,20,","","","","","","","","","18.0",",a,,0","0",",,,0","","","","","","","",""
"USC00422847","1951-07","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","0.0",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","3.9",",0,01,","0",",,0,31,+","0",",,0,31,+","15.7",",,0,22,","26.7",",0,18,+","165.2","1,,,0","82.3","","82.3",",0","54.0",",,,0","0",",,,0","15.68",",0","23.62",",,,0","7.74",",,,0","3677","2,,,0"
"USC00422847","1951-08","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","0.0","3,0","9",",0","7",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","12","3,0","0","3,0","3","","1.7","3,0,30,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,03,","24.4","3,0,16,+","","","234.3","","152.0","3,0","51.1",",,,0","0",",,,0","12.91","3,0","20.09","3,,,0","5.72","3,,,0","",""
"USC00422847","1951-09","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,28,","","","","","","","","","12.7",",,,0","0",",,,0","","","","","","","",""
"USC00422847","1951-10","38.5516","-111.7227","2706.6","FISH LAKE RANGER STATION, UT US","","","","","","","","","","","4","5,0","","","","","","","","","","","","","","","","","254","5,,0,26,","","","","","","","","","","","","","432","5,,,0","","","","","","","",""
