"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023043","1893-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","","","1",",0","1",",0","0",",0","","","","","","","","","0","3,0","11","3,0","0","3,0","","","","","","","","","","","","","2.8",",,0,16,","31.1","3,0,31,","","","","","","","2.8",",,,0","","","","","","","17.78","3,,,0","","","","","","","","","","","","","",""
"USW00023043","1893-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0","1,0","1",",0","1",",0","0",",0","","","","","0","1,0","20","1,0","0",",0","14",",0","0",",0","","","","","","","-12.2","1,0,19,+","","","","","18.8",",,0,15,","27.8",",0,03,","","","","","286.1",",0","18.8",",,,0","","","","","7.67","1,0","18.67",",,,0","-3.34","1,,,0","","","","","","","","","","","",""
"USW00023043","1893-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","6.6",",0","0",",0","0",",0","0",",0","","","","","0",",0","5",",0","0",",0","30",",0","10",",0","","","","","","","-2.8",",0,20,","","","","","0.0",",,0,30,+","33.3",",0,29,+","","","","","61.5",",0","0.0",",,,0","","","","","16.50",",0","30.18",",,,0","2.82",",,,0","","","","","","","","","","","",""
"USW00023043","1894-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","158.0","1,0","2","1,0","1","1,0","1","1,0","","","","","0","1,0","0","1,0","0","1,0","30","1,0","8","1,0","","","","","","","11.1","1,0,27,+","","","","","50.3","1,,0,30,","35.0","1,0,15,","","","","","0.0","1,0","50.8","1,,,0","","","","","23.60","1,0","28.91","1,,,0","18.29","1,,,0","","","","","","","","","","","",""
"USW00023043","1894-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","133.7","1,0","5",",0","3",",0","1",",0","","","","","0",",0","0",",0","0","1,0","29","1,0","13","1,0","","","","","","","10.0",",0,02,","","","","","25.4",",,0,12,","38.3","1,0,26,","","","","","0.0","1,0","33.8",",,,0","","","","","22.92","1,0","31.32","1,,,0","14.53",",,,0","","","","","","","","","","","",""
"USW00023043","1894-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","189.8",",0","4",",0","1",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","","","11.7",",0,27,","","","","","9.1",",,0,07,","38.3",",0,03,","","","0.0","0","0.0",",0","12.1",",,,0","","","","","24.46",",0","33.01",",,,0","15.91",",,,0","","","","","","","","","","","",""
"USW00023043","1894-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","133.9",",0","9",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","3",",0","","","","","","","11.7",",0,26,+","","","","","24.6",",,0,22,","34.4",",0,14,","","","0.0","0","0.0",",0","63.2",",,,0","","","","","22.65",",0","29.17",",,,0","16.13",",,,0","","","","","","","","","","","",""
"USW00023043","1894-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","76.8",",0","3",",0","1",",0","0",",0","","","","","0",",0","0",",0","0",",0","28",",0","7",",0","","","","","","","6.7",",0,11,","","","","","12.2",",,0,30,","34.4",",0,22,","","","18.1","0","18.1",",0","14.5",",,,0","","","","","20.29",",0","28.94",",,,0","11.64",",,,0","","","","","","","","","","","",""
"USW00023043","1894-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","10.1",",0","1",",0","0",",0","0",",0","","","","","0",",0","3",",0","0",",0","25",",0","0",",0","","","","","","","-2.2",",0,29,","","","","","1.0",",,0,16,","29.4",",0,09,","","","90.0","0","71.9",",0","1.0",",,,0","","","","","16.34",",0","24.33",",,,0","8.35",",,,0","","","","","","","","","","","",""
"USW00023043","1894-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0","2,0","0",",0","0",",0","0",",0","","","","","0","1,0","22","1,0","0","1,0","7","1,0","1","1,0","","","","","","","-6.7","1,0,16,","","","","","0.0",",,0,30,+","34.4","1,0,06,","","","331.9","0","241.9","1,0","0.0",",,,0","","","","","9.49","2,0","19.83","1,,,0","-0.84","1,,,0","","","","","","","","","","","",""
"USW00023043","1894-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0",",0","1",",0","1",",0","0",",0","","","","","0",",0","19",",0","1",",0","3",",0","0",",0","","","","","","","-11.1",",0,24,","","","","","12.7",",,0,14,","23.3",",0,16,","","","720.7","0","388.8",",0","12.7",",,,0","","","","","5.79",",0","12.24",",,,0","-0.66",",,,0","","","","","","","","","","","",""
"USW00023043","1895-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","1",",0","1",",0","0",",0","","","","","1",",0","24",",0","4","1,0","0","1,0","0","1,0","","","","","","","-18.3",",0,28,","","","","","10.2",",,0,27,","20.6","1,0,17,","","","1161.0","0","440.3","1,0","10.2",",,,0","","","","","3.72","1,0","11.35","1,,,0","-3.91",",,,0","","","","","","","","","","","",""
"USW00023043","1895-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","2",",0","2",",0","0",",0","","","","","3","1,0","21","1,0","8",",0","2",",0","0",",0","","","","","","","-25.6","1,0,16,","","","","","9.7",",,0,13,","22.2",",0,21,","","","1634.4","0","473.4",",0","12.2",",,,0","","","","","0.76","1,0","7.79",",,,0","-6.27","1,,,0","","","","","","","","","","","",""
"USW00023043","1895-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1.4","0","1.4","2,0","1",",0","0",",0","0",",0","","","","","0","1,0","11","1,0","0","2,0","13","2,0","0","2,0","","","","","","","-6.1","1,0,02,","","","","","0.5",",,0,01,","29.4","2,0,28,","","","1852.1","0","217.7","2,0","0.5",",,,0","","","","","10.98","2,0","20.76","2,,,0","1.20","1,,,0","","","","","","","","","","","",""
