"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00302941","1903-03","42.95","-74.283333","91.4","FORT HUNTER, NY US","6",",6","6",",6","2",",6","","","1","","","","39.9",",,6,23,","110.9",",,,6","",""
"USC00302941","1903-04","42.95","-74.283333","91.4","FORT HUNTER, NY US","5",",6","5",",6","0",",6","","","2","","","","12.2",",,6,07,","29.4",",,,6","",""
"USC00302941","1903-06","42.95","-74.283333","91.4","FORT HUNTER, NY US","11",",6","11",",6","4",",6","","","","","","","52.1",",,6,12,","253.7",",,,6","",""
"USC00302941","1903-07","42.95","-74.283333","91.4","FORT HUNTER, NY US","4",",6","4",",6","0",",6","","","","","","","12.2",",,6,05,","32.5",",,,6","",""
"USC00302941","1903-12","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","6",",6","","","356",",,6,13,","","","","","990",",,,6"
"USC00302941","1904-01","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","","","1","","","","","","","","",""
"USC00302941","1904-02","42.95","-74.283333","91.4","FORT HUNTER, NY US","6",",6","5",",6","0",",6","","","1","","","","12.7",",,6,14,+","44.4",",,,6","",""
"USC00302941","1904-03","42.95","-74.283333","91.4","FORT HUNTER, NY US","4",",6","2",",6","0",",6","","","","","","","20.3",",,6,01,","28.2",",,,6","",""
"USC00302941","1904-04","42.95","-74.283333","91.4","FORT HUNTER, NY US","8","1,6","7","1,6","1","1,6","","","","","","","30.5","1,,6,01,","101.6","1,,,6","",""
"USC00302941","1905-01","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","6",",6","","","152",",,6,04,","","","","","508",",,,6"
"USC00302941","1906-12","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","","","2","","","","","","","","",""
"USC00302941","1907-02","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","3",",6","","","178",",,6,05,","","","","","275",",,,6"
"USC00302941","1908-09","42.95","-74.283333","91.4","FORT HUNTER, NY US","","","","","","","","","6","","","","","","","","",""
"USC00302941","1908-12","42.95","-74.283333","91.4","FORT HUNTER, NY US","8",",6","6",",6","0",",6","","","","","","","7.6",",,6,12,+","32.9",",,,6","",""
"USC00302941","1909-04","42.95","-74.283333","91.4","FORT HUNTER, NY US","2",",6","2",",6","0",",6","","","","","","","20.3",",,6,30,","35.5",",,,6","",""
"USC00302941","1909-06","42.95","-74.283333","91.4","FORT HUNTER, NY US","7",",6","7",",6","0",",6","","","","","","","20.3",",,6,13,+","81.3",",,,6","",""
"USC00302941","1909-07","42.95","-74.283333","91.4","FORT HUNTER, NY US","7",",6","7",",6","1",",6","","","","","","","25.4",",,6,23,","76.3",",,,6","",""
"USC00302941","1909-08","42.95","-74.283333","91.4","FORT HUNTER, NY US","7",",6","7",",6","1",",6","","","","","","","25.4",",,6,18,","58.4",",,,6","",""
"USC00302941","1909-09","42.95","-74.283333","91.4","FORT HUNTER, NY US","4",",6","4",",6","1",",6","","","","","","","33.0",",,6,10,","50.8",",,,6","",""
"USC00302941","1909-10","42.95","-74.283333","91.4","FORT HUNTER, NY US","5",",6","5",",6","0",",6","","","","","","","15.2",",,6,22,","40.6",",,,6","",""
