"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"ICW00091004","1960-08","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","9",",X","4",",X","0",",X","0",",X","0",",X","0",",X","31",",X","12",",X","0",",X","0",",X","26","","-6.1",",X,21,","0",",T,X,31,+","3",",,X,24,+","6.6",",,X,07,","1.7",",X,12,+","","","596.0",",X","22.4",",,,X","6",",,,X","-0.89",",X","0.37",",,,X","-2.16",",,,X","68",",X","18.0",",X"
"ICW00091004","1960-09","80.0","-113.0",,"ICE SKATE B, IC","0.0","2,X","5",",X","1",",X","0",",X","27",",X","1",",X","2","1,X","29","1,X","27","1,X","0","1,X","0","1,X","18","","-18.9","1,X,25,+","51",",,X,30,+","25",",,X,12,","2.5",",,X,12,","1.1","1,X,27,","","","695.4","1,X","5.4",",,,X","54",",,,X","-6.59","2,X","-3.82","1,,,X","-9.37","1,,,X","270",",X","20.0",",X"
"ICW00091004","1960-10","80.0","-113.0",,"ICE SKATE B, IC","0.0","4,X","7",",X","0",",X","0",",X","31",",X","0",",X","16","2,X","29","2,X","29","2,X","0","2,X","0","2,X","10","","-26.7","2,X,30,","102",",,X,31,+","15",",,X,02,","1.5",",,X,02,","0.0","2,X,03,","","","846.8","2,X","5.2",",,,X","52",",,,X","-13.33","4,X","-10.51","2,,,X","-16.15","2,,,X","","","",""
"ICW00091004","1960-11","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","2",",X","0",",X","0",",X","28","2,X","0","1,X","30",",X","30",",X","30",",X","0",",X","0",",X","15","","-36.1",",X,30,","127","2,,X,30,+","23","1,,X,25,","2.3",",,X,25,","-16.1",",X,25,+","","","1310.2",",X","2.6",",,,X","26","1,,,X","-25.34",",X","-22.16",",,,X","-28.52",",,,X","135",",X","17.0",",X"
"ICW00091004","1960-12","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","6",",X","0",",X","0",",X","31",",X","0",",X","29",",X","31",",X","31",",X","0",",X","0",",X","8","","-38.3",",X,06,","178",",,X,31,+","18",",,X,24,","1.3",",,X,24,+","-5.0",",X,11,","","","1303.8",",X","5.0",",,,X","57",",,,X","-23.73",",X","-20.73",",,,X","-26.73",",,,X","68","1,X","19.5","1,X"
"ICW00091004","1961-01","80.0","-113.0",,"ICE SKATE B, IC","","","6","5,X","0","5,X","0","5,X","","","0","5,X","","","","","","","","","","","","","","","","","10","5,,X,31,+","1.0","5,,X,31,+","","","","","","","3.4","5,,,X","34","5,,,X","","","","","","","","","",""
"ICW00091004","1961-02","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","2",",X","0",",X","0",",X","","","0",",X","28",",X","28",",X","28",",X","0",",X","0",",X","","","-40.6",",X,28,+","","","5",",,X,06,","0.5",",,X,06,","-20.0",",X,01,","","","1440.0",",X","0.8",",,,X","8",",,,X","-33.10",",X","-29.54",",,,X","-36.65",",,,X","","","",""
"ICW00091004","1961-03","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","6",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","","","-41.1",",X,04,","","","18",",,X,16,","1.3",",,X,16,","-16.1",",X,31,","","","1464.6",",X","3.9",",,,X","44",",,,X","-28.91",",X","-25.77",",,,X","-32.05",",,,X","","","",""
"ICW00091004","1961-04","80.0","-113.0",,"ICE SKATE B, IC","","","0",",X","0",",X","0",",X","","","0",",X","","","","","","","","","","","","","","","","","0",",T,X,27,+","0.0",",T,X,27,+","","","","","","","0.0",",T,,X","0",",T,,X","","","","","","","","","",""
"ICW00091004","1961-05","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","31",",X","28",",X","0",",X","0",",X","","","-16.7",",X,06,+","","","0",",T,X,19,","0.0",",T,X,19,","2.8",",X,28,","","","759.0",",X","0.0",",T,,X","0",",T,,X","-6.15",",X","-2.37",",,,X","-9.93",",,,X","","","",""
"ICW00091004","1961-06","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","30",",X","1",",X","0",",X","0",",X","","","-5.0",",X,06,+","","","0",",T,X,20,","0.0",",T,X,20,+","3.9",",X,11,+","","","547.6",",X","0.0",",T,,X","0",",T,,X","0.08",",X","1.66",",,,X","-1.50",",,,X","","","",""
"ICW00091004","1961-07","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","1",",X","1",",X","0",",X","","","0",",X","0",",X","31",",X","1",",X","0",",X","0",",X","","","-4.4",",X,22,+","","","0",",,X,31,+","10.2",",,X,31,","3.9",",X,30,","577.0","","577.0",",X","10.2",",,,X","0",",,,X","-0.28",",X","1.52",",,,X","-2.08",",,,X","","","",""
"ICW00091004","1961-08","80.0","-113.0",,"ICE SKATE B, IC","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","0",",X","28",",X","12",",X","0",",X","0",",X","","","-3.9",",X,23,","","","0",",T,X,23,+","0.0",",T,X,23,+","1.7",",X,17,+","1161.6","","584.6",",X","0.0",",T,,X","0",",T,,X","-0.53",",X","0.41",",,,X","-1.46",",,,X","","","",""
"ICW00091004","1961-09","80.0","-113.0",,"ICE SKATE B, IC","0.0","2,X","0",",X","0",",X","0",",X","","","0",",X","0","1,X","28","1,X","10","1,X","0","1,X","0","1,X","","","-2.8","1,X,30,+","","","0",",T,X,29,+","0.0",",T,X,29,+","3.3","1,X,27,","1676.8","","515.2","1,X","0.0",",T,,X","0",",T,,X","-0.11","2,X","0.79","1,,,X","-1.02","1,,,X","","","",""
