"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003966","1987-10","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","3.5",",X","","","1.4",",X","9",",X","4",",X","1",",X","0",",X","0",",X","0",",X","5",",X","0",",X","11",",X","0",",X","10","","1","","3","","-2.2",",X,12,","0",",,X,31,+","0",",,X,31,+","28.4",",,X,10,","27.8",",X,30,","","","213.1",",X","54.8",",,,X","0",",,,X","11.50",",X","18.56",",,,X","4.45",",,,X","","","300",",X","","","","","11.2",",X","","","",""
"USW00003966","1987-11","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","4.1",",X","","","7.8",",X","13",",X","7",",X","1",",X","0",",X","0",",X","0",",X","8",",X","0",",X","6",",X","0",",X","10","","","","1","","-8.3",",X,21,","0",",,X,30,+","0",",T,X,30,+","54.1",",,X,24,","28.3",",X,03,","","","290.9",",X","109.9",",,,X","0",",T,,X","8.90",",X","14.22",",,,X","3.57",",,,X","","","310",",X","","","","","10.7",",X","","","",""
"USW00003966","1987-12","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","4.3",",X","","","0.0",",X","12",",X","8",",X","3",",X","5",",X","1",",X","0",",X","21",",X","1",",X","0",",X","0",",X","15","","","","2","","-10.0",",X,17,","127",",,X,16,+","170",",,X,14,","47.2",",,X,27,","16.7",",X,24,","","","477.2",",X","198.3",",,,X","188",",,,X","2.94",",X","7.06",",,,X","-1.18",",,,X","","","300",",X","","","","","12.5",",X","","","",""
"USW00003966","1988-01","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","4.4",",X","0.0","X","0.0",",X","4",",X","3",",X","2",",X","4",",X","0",",X","2",",X","26",",X","12",",X","0",",X","0",",X","7","","1","","2","","-18.9",",X,10,","25",",,X,11,+","15",",,X,07,","34.3",",,X,19,","18.9",",X,29,","","","624.5",",X","67.6",",,,X","15",",,,X","-1.81",",X","3.64",",,,X","-7.26",",,,X","","","190",",X","","","","","13.0",",X","","","",""
"USW00003966","1988-02","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","4.3",",X","0.0","X","0.0",",X","9",",X","4",",X","0",",X","8",",X","2",",X","1",",X","27",",X","8",",X","1",",X","0",",X","9","","1","","1","","-20.0",",X,12,","127",",,X,13,+","104",",,X,10,","23.1",",,X,01,","22.2",",X,22,","","","556.1",",X","59.5",",,,X","178",",,,X","-0.84",",X","4.58",",,,X","-6.26",",,,X","","","240",",X","","","","","13.9",",X","","","",""
"USW00003966","1988-03","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","","","2.8","X","2.8",",X","11",",X","8",",X","2",",X","3",",X","1",",X","0",",X","16",",X","1",",X","5",",X","0",",X","14","","1","","4","","-7.2",",X,05,","51",",,X,04,","51",",,X,04,","40.1",",,X,29,","28.9",",X,22,","","","346.9",",X","121.7",",,,X","79",",,,X","7.23",",X","13.19",",,,X","1.27",",,,X","","","300",",X","","","","","13.0",",X","","","",""
"USW00003966","1988-05","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","3.2",",X","","","51.4",",X","5",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","4",",X","6","","","","4","","3.9",",X,26,+","0",",,X,31,+","0",",,X,31,+","10.7",",,X,08,","32.8",",X,31,+","","","23.3",",X","32.3",",,,X","0",",,,X","19.24",",X","27.19",",,,X","11.29",",,,X","","","290",",X","","","","","16.1",",X","","","",""
"USW00003966","1988-06","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","2.9",",X","","","170.0",",X","2",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","17",",X","5","","","","3","","7.2",",X,10,","0",",,X,30,+","0",",,X,30,+","38.6",",,X,29,","39.4",",X,24,","","","2.8",",X","61.0",",,,X","0",",,,X","23.91",",X","31.99",",,,X","15.82",",,,X","","","250",",X","","","","","13.0",",X","","","",""
"USW00003966","1988-07","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","2.5",",X","","","239.6",",X","9",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","21",",X","16","","2","","6","","14.4",",X,23,+","0",",,X,31,+","0",",,X,31,+","36.8",",,X,20,","38.9",",X,15,","0.0","X","0.0",",X","109.3",",,,X","0",",,,X","26.06",",X","32.53",",,,X","19.59",",,,X","","","310",",X","","","","","17.9",",X","","","",""
"USW00003966","1988-08","38.65722","-90.65583","140.8","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US","2.5",",X","","","258.3",",X","9",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","22",",X","10","","","","13","","8.9",",X,30,","0",",,X,31,+","0",",,X,31,+","19.8",",,X,22,","38.9",",X,17,","1.4","X","1.4",",X","52.5",",,,X","0",",,,X","26.62",",X","33.28",",,,X","19.96",",,,X","","","320",",X","","","","","9.4",",X","","","",""
