"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00197122","1885-11","42.516667","-70.9","12.2","SALEM B, MA US","","","9",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","48.8",",,6,25,","","","","","","","124.4",",,,6","","","","","","","",""
"USC00197122","1885-12","42.516667","-70.9","12.2","SALEM B, MA US","","","9",",6","7",",6","0",",6","1",",6","","","","","","","","","","","","","","","114",",,6,18,","16.8",",,6,14,","","","","","","","69.0",",,,6","114",",,,6","","","","","",""
"USC00197122","1886-01","42.516667","-70.9","12.2","SALEM B, MA US","","","12",",6","9",",6","2",",6","5",",6","","","","","","","","","","","","","","","178",",,6,30,","49.5",",,6,28,","","","","","","","157.0",",,,6","660",",,,6","","","","","",""
"USC00197122","1886-02","42.516667","-70.9","12.2","SALEM B, MA US","","","5",",6","4",",6","1",",6","1",",6","","","","","","","","","","","1","","","","64",",,6,04,","157.7",",,6,13,","","","","","","","198.8",",,,6","64",",,,6","","","","","",""
"USC00197122","1886-03","42.516667","-70.9","12.2","SALEM B, MA US","","","11",",6","8",",6","1",",6","2",",6","","","","","","","","","","","2","","","","76",",,6,09,","43.7",",,6,21,","","","","","","","93.1",",,,6","140",",,,6","","","","","",""
"USC00197122","1886-04","42.516667","-70.9","12.2","SALEM B, MA US","","","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","54.1",",,6,07,","","","","","","","59.9",",,,6","","","","","","","",""
"USC00197122","1886-05","42.516667","-70.9","12.2","SALEM B, MA US","","","10",",6","8",",6","1",",6","","","","","","","","","","","","","1","","","","","","45.0",",,6,09,","","","","","","","92.9",",,,6","","","","","","","",""
"USC00197122","1886-06","42.516667","-70.9","12.2","SALEM B, MA US","","","10",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","16.5",",,6,03,","","","","","","","39.9",",,,6","","","","","","","",""
"USC00197122","1886-07","42.516667","-70.9","12.2","SALEM B, MA US","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","2","","","","","","59.4",",,6,25,","","","","","","","113.4",",,,6","","","","","","","",""
"USC00197122","1886-08","42.516667","-70.9","12.2","SALEM B, MA US","","","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","27.2",",,6,07,","","","","","","","77.0",",,,6","","","","","","","",""
