"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"AYW00090001","1957-01","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYW00090001","1957-02","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","28",",X","28",",X","28",",X","0",",X","0",",X","10","","","","","","-56.1",",X,28,","","","0",",T,X,27,+","0.0",",T,X,27,+","-27.8",",X,06,+","","","1583.4",",X","0.0",",T,,X","","","0",",T,,X","-38.22",",X","-36.02",",,,X","-40.42",",,,X","","","","","","","","","","","","","",""
"AYW00090001","1957-03","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","22","","","","","","-63.9",",X,29,","","","0",",T,X,31,+","0.0",",T,X,31,+","-37.2",",X,19,","","","2231.9",",X","0.0",",T,,X","","","0",",T,,X","-53.66",",X","-50.18",",,,X","-57.15",",,,X","","","","","","","","","","","","","",""
"AYW00090001","1957-04","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","30",",X","30",",X","30",",X","0",",X","0",",X","17","","","","","","-67.2",",X,30,+","","","3",",,X,24,","0.0",",T,X,30,+","-32.2",",X,06,","","","2241.0",",X","0.0",",T,,X","","","3",",,,X","-56.37",",X","-52.28",",,,X","-60.46",",,,X","","","","","360",",X","","","","","17.5",",X","",""
"AYW00090001","1957-05","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","6","","","","","","-73.3",",X,12,","","","3",",,X,17,+","0.0",",T,X,31,+","-34.4",",X,15,","","","2301.7",",X","0.0",",T,,X","","","12",",,,X","-55.92",",X","-51.56",",,,X","-60.27",",,,X","","","","","23",",X","","","","","24.2",",X","",""
"AYW00090001","1957-06","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","","","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","30",",X","30",",X","30",",X","0",",X","0",",X","2","","","","","","-71.7",",X,18,","","","3",",,X,01,","0.0",",T,X,30,+","-41.1",",X,12,","","","2241.8",",X","0.0",",T,,X","","","3",",,,X","-56.39",",X","-52.54",",,,X","-60.25",",,,X","","","","","23",",X","","","","","17.0",",X","",""
"AYW00090001","1957-07","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","1","","","","","","-72.8",",X,29,+","","","3",",,X,15,+","0.0",",T,X,30,+","-40.6",",X,03,","","","2456.8",",X","0.0",",T,,X","","","6",",,,X","-60.92",",X","-57.17",",,,X","-64.67",",,,X","","","","","23",",X","","","","","19.0",",X","",""
"AYW00090001","1957-08","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","4","","","","","","-73.3",",X,27,","","","5",",,X,04,","0.0",",T,X,29,+","-42.8",",X,04,","","","2372.2",",X","0.0",",T,,X","","","8",",,,X","-58.19",",X","-54.33",",,,X","-62.05",",,,X","","","","","23",",X","","","","","17.0",",X","",""
"AYW00090001","1957-09","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","30",",X","30",",X","30",",X","0",",X","0",",X","16","","","","","","-74.4",",X,18,","","","3",",,X,19,","0.0",",T,X,28,+","-50.0",",X,30,+","","","2418.4",",X","0.0",",T,,X","","","3",",,,X","-62.28",",X","-58.64",",,,X","-65.92",",,,X","","","","","45",",X","","","","","18.5",",X","",""
"AYW00090001","1957-10","-90.0","0.0",,"AMUNDSEN SCOTT, AY","","","0.0","X","0.0",",X","0",",X","0",",X","0",",X","","","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","21","","","","","","-65.6",",X,04,+","","","3",",,X,27,","0.0",",T,X,31,+","-42.8",",X,18,","","","2201.7",",X","0.0",",T,,X","","","3",",,,X","-52.69",",X","-50.73",",,,X","-54.65",",,,X","","","","","23",",X","","","","","17.5",",X","",""
