"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00173046","1886-09","44.2202","-69.789","40.5","GARDINER, ME US","","","6.4",",6","6",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","6",",6","0",",6","","","","","1.7",",6,23,","","","","","30.5",",,6,13,","26.7",",6,07,","","","","","149.9",",6","93.6",",,,6","","","13.55",",6","18.48",",,,6","8.62",",,,6"
"USC00173046","1886-10","44.2202","-69.789","40.5","GARDINER, ME US","","","0.0",",6","","","","","","","","","","","0",",6","8",",6","0",",6","4",",6","0",",6","","","","","-5.0",",6,17,","","","","","","","25.6",",6,09,","","","","","302.7",",6","","","","","8.57",",6","14.25",",,,6","2.89",",,,6"
"USC00173046","1886-11","44.2202","-69.789","40.5","GARDINER, ME US","","","0.0",",6","","","","","","","","","1",",6","0",",6","20",",6","0",",6","0",",6","0",",6","","","","","-7.8",",6,27,+","","","84",",,6,13,","","","16.1",",6,02,","","","","","442.8",",6","","","97",",,,6","3.57",",6","7.96",",,,6","-0.81",",,,6"
"USC00173046","1886-12","44.2202","-69.789","40.5","GARDINER, ME US","","","0.0",",6","9","1,6","8","1,6","1","1,6","","","","","4",",6","31",",6","17",",6","0",",6","0",",6","","","","","-23.3",",6,30,","","","","","27.9","1,,6,25,","11.1",",6,25,","","","","","772.6",",6","118.9","1,,,6","","","-6.59",",6","-1.42",",,,6","-11.76",",,,6"
"USC00173046","1887-01","44.2202","-69.789","40.5","GARDINER, ME US","0.0","6","0.0",",6","12",",6","10",",6","1",",6","","","7",",6","14",",6","28",",6","19",",6","0",",6","0",",6","","","","","-30.6",",6,04,","","","457",",,6,14,","71.1",",,6,14,","9.4",",6,25,","","","","","861.0",",6","186.0",",,,6","906",",,,6","-9.44",",6","-3.21",",,,6","-15.67",",,,6"
"USC00173046","1887-02","44.2202","-69.789","40.5","GARDINER, ME US","0.0","6","0.0",",6","","","","","","","","","9",",6","8",",6","28",",6","14",",6","0",",6","0",",6","","","","","-29.4",",6,14,","","","152",",,6,19,+","","","7.2",",6,16,","","","","","719.3",",6","","","883",",,,6","-7.36",",6","-1.58",",,,6","-13.13",",,,6"
"USC00173046","1887-03","44.2202","-69.789","40.5","GARDINER, ME US","0.0","6","0.0",",6","","","","","","","","","","","3",",6","29",",6","7",",6","0",",6","0",",6","","","","","-23.3",",6,05,","","","","","","","10.6",",6,14,+","","","","","640.0",",6","","","","","-2.31",",6","3.05",",,,6","-7.67",",,,6"
"USC00173046","1887-04","44.2202","-69.789","40.5","GARDINER, ME US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","22",",6","1",",6","0",",6","0",",6","","","","","-12.2",",6,01,","","","381",",,6,02,","","","18.9",",6,10,","","","","","441.7",",6","","","406",",,,6","3.61",",6","9.24",",,,6","-2.02",",,,6"
"USC00173046","1887-05","44.2202","-69.789","40.5","GARDINER, ME US","4.4","6","4.4",",6","5",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","14",",6","0",",6","","","","","1.7",",6,02,","","","","","14.5",",,6,28,","31.1",",6,10,","","","","","139.4",",6","27.4",",,,6","","","13.98",",6","20.19",",,,6","7.77",",,,6"
"USC00173046","1887-06","44.2202","-69.789","40.5","GARDINER, ME US","19.1","6","14.7",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","20",",6","0",",6","","","","","5.0",",6,11,","","","","","36.8",",,6,24,","31.1",",6,30,","","","","","57.5",",6","86.8",",,,6","","","16.91",",6","22.29",",,,6","11.52",",,,6"
