"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USW00012863","1907-04","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","64.0",",6","5",",6","4",",6","3",",6","","","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","","","","","11.1",",6,02,+","","","","","53.1",",,6,22,","27.8",",6,19,","","","8.8",",6","151.4",",,,6","","","20.17",",6","23.46",",,,6","16.88",",,,6","","","",""
"USW00012863","1907-05","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","143.0",",6","11",",6","9",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","0",",6","","","","","","","16.1",",6,16,","","","","","103.6",",,6,31,","30.0",",6,26,","","","0.0",",6","206.1",",,,6","","","22.95",",6","25.95",",,,6","19.95",",,,6","","","",""
"USW00012863","1907-06","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","","","","","","","","","","","","","19.4",",6,03,+","","","","","7.1",",,6,19,","","","","","","","10.1",",,,6","","","","","","","23.31",",,,6","","","",""
"USW00012863","1907-07","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","315.9",",6","11",",6","9",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","10",",6","","","","","","","21.1",",6,18,","","","","","20.1",",,6,11,","35.0",",6,24,","0.0","","0.0",",6","91.9",",,,6","","","28.52",",6","31.65",",,,6","25.40",",,,6","","","",""
"USW00012863","1907-12","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012863","1908-01","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","2.0","6","2.0",",6","7",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","6",",6","0",",6","1","","","","","","3.3",",6,24,+","","","","","20.3",",,6,22,","23.9",",6,04,","","","177.6",",6","72.1",",,,6","","","12.67",",6","16.14",",,,6","9.20",",,,6","","","",""
"USW00012863","1908-02","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","3.4","6","1.4",",6","5",",6","5",",6","2",",6","","","","","0",",6","0",",6","0",",6","4",",6","0",",6","","","","","","","1.7",",6,20,","","","","","49.5",",,6,09,","22.8",",6,13,","","","146.0",",6","130.7",",,,6","","","13.35",",6","17.27",",,,6","9.42",",,,6","","","",""
"USW00012863","1908-03","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","48.2","6","44.8",",6","1",",6","1",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","0",",6","2","","","","","","11.1",",6,21,","","","","","27.9",",,6,24,","26.1",",6,29,+","","","13.7",",6","27.9",",,,6","","","19.34",",6","23.12",",,,6","15.56",",,,6","","","",""
"USW00012863","1908-04","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","174.8","6","126.6",",6","2",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","0",",6","","","","","","","12.2",",6,30,","","","","","50.8",",,6,27,","28.3",",6,02,","","","3.9",",6","69.9",",,,6","","","22.42",",6","25.28",",,,6","19.57",",,,6","","","",""
"USW00012863","1908-05","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","361.2","6","186.4",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","1",",6","","","","","","","15.0",",6,01,","","","","","5.8",",,6,06,","32.2",",6,31,","","","1.1",",6","5.8",",,,6","","","24.31",",6","26.90",",,,6","21.72",",,,6","","","",""
"USW00012863","1908-06","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","631.5","6","270.3",",6","8",",6","8",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","7",",6","","","","","","","20.6",",6,15,","","","","","109.2",",,6,19,","33.9",",6,24,","","","0.0",",6","165.5",",,,6","","","27.34",",6","29.99",",,,6","24.69",",,,6","","","",""
"USW00012863","1908-07","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","927.3","6","295.8",",6","16",",6","16",",6","6",",6","","","","","0",",6","0",",6","0",",6","31",",6","10",",6","","","","","","","21.7",",6,30,","","","","","58.4",",,6,30,","34.4",",6,17,+","0.0","6","0.0",",6","327.7",",,,6","","","27.87",",6","30.45",",,,6","25.30",",,,6","","","",""
"USW00012863","1908-08","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","1238.3","6","311.0",",6","10",",6","8",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","","","","","22.8",",6,23,","","","","","71.1",",,6,23,","34.4",",6,19,","0.0","6","0.0",",6","137.1",",,,6","","","28.36",",6","31.04",",,,6","25.69",",,,6","","","",""
