"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00208690","1990-05","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","2.2",",6","11",",6","9",",6","1",",6","0",",6","1",",6","0",",6","8",",6","0",",6","3","","2","","0.0",",6,02,","33.0",",,6,10,","26.7",",6,09,","195.5",",6","138.5",",,,6","12.10",",6","17.99",",,,6","6.20",",,,6"
"USC00208690","1990-06","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","58.1","1,6","13",",6","6",",6","0",",6","0","1,6","0","1,6","0",",6","26",",6","2",",6","4","","6","","0.6","1,6,05,","21.8",",,6,29,","34.4",",6,18,","45.2",",6","69.8",",,,6","18.87","1,6","25.50",",,,6","12.23","1,,,6"
"USC00208690","1990-09","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","47.3",",6","11",",6","9",",6","1",",6","0",",6","0",",6","0",",6","17",",6","1",",6","4","","2","","2.2",",6,17,","44.2",",,6,15,","33.3",",6,05,","88.0",",6","121.4",",,,6","16.98",",6","22.50",",,,6","11.45",",,,6"
"USC00208690","1990-10","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","6.1","1,6","11",",6","7",",6","3",",6","0","1,6","8","1,6","0",",6","5",",6","0",",6","2","","2","","-4.4","1,6,27,","43.2",",,6,10,","29.4",",6,06,","267.7",",6","151.0",",,,6","9.65","1,6","15.82",",,,6","3.47","1,,,6"
"USC00208690","1991-05","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","80.2",",6","10",",6","6",",6","1",",6","0",",6","0",",6","0",",6","21",",6","1",",6","6","","6","","1.1",",6,03,","47.2",",,6,26,","32.2",",6,29,","79.9",",6","92.2",",,,6","18.34",",6","24.36",",,,6","12.33",",,,6"
"USC00208690","1991-06","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","105.8",",6","4",",6","3",",6","0",",6","0",",6","0",",6","0",",6","29",",6","8",",6","2","","3","","7.8",",6,05,","14.2",",,6,12,","34.4",",6,30,","11.4",",6","35.1",",,,6","21.48",",6","28.39",",,,6","14.57",",,,6"
"USC00208690","1994-04","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","","","9",",6","6",",6","0",",6","","","","","0",",6","6",",6","0",",6","","","5","","","","14.7",",,6,13,","30.0",",6,27,","","","60.5",",,,6","","","15.32",",,,6","",""
"USC00208690","1994-06","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","","","8",",6","6",",6","2",",6","","","","","0",",6","27",",6","5",",6","","","5","","","","40.9",",,6,24,","35.0",",6,19,+","","","105.6",",,,6","","","27.09",",,,6","",""
"USC00208690","1994-07","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","","","10",",6","8",",6","1",",6","","","","","0",",6","31",",6","1",",6","6","","7","","","","38.1",",,6,21,","32.2",",6,21,","","","106.4",",,,6","","","26.98",",,,6","",""
"USC00208690","1994-08","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","","","11",",6","9",",6","1",",6","","","","","0",",6","24",",6","0",",6","13","","6","","","","37.6",",,6,11,","30.6",",6,26,","","","132.5",",,,6","","","24.69",",,,6","",""
"USC00208690","1994-09","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","","","7",",6","4",",6","0",",6","","","","","0",",6","19",",6","0",",6","8","","3","","","","25.1",",,6,10,","30.6",",6,16,+","","","73.1",",,,6","","","23.09",",,,6","",""
"USC00208690","1994-10","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","1.1","2,6","8",",6","3",",6","0",",6","0","2,6","2","2,6","0",",6","8",",6","0",",6","","","","","-0.6","2,6,11,","17.8",",,6,09,","25.6",",6,18,","215.6",",6","37.1",",,,6","11.07","2,6","17.38",",,,6","4.75","2,,,6"
"USC00208690","1994-11","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","0.0","2,6","12",",6","7",",6","2",",6","0","1,6","19","1,6","0","2,6","0","2,6","0","2,6","1","","1","","-6.7","1,6,26,","47.2",",,6,01,","19.4","2,6,05,","348.9","2,6","132.8",",,,6","5.77","2,6","11.37","2,,,6","0.17","1,,,6"
"USC00208690","1994-12","42.1444","-86.2602","222.5","WATERVLIET 3 S, MI US","0.0",",6","9",",6","5",",6","1",",6","0",",6","26",",6","5",",6","0",",6","0",",6","2","","","","-11.7",",6,08,","127.0",",,6,07,","12.8",",6,05,+","532.6",",6","157.0",",,,6","1.15",",6","5.54",",,,6","-3.24",",,,6"
