"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00363706","1890-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","7",",6","3",",6","0",",6","","","0",",6","2","","","","0",",T,6,04,","11.7",",,6,11,","25.7",",,,6","0",",T,,6","319",",,,6"
"USC00363706","1890-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","4",",6","0",",6","","","0",",6","1","","","","20",",,6,26,","16.3",",,6,26,","31.4",",,,6","38",",,,6","439",",,,6"
"USC00363706","1891-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","1","","","","","","","","","","","","429",",,,6"
"USC00363706","1891-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","387",",,,6"
"USC00363706","1891-03","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","1",",6","1","","","","25",",,6,27,","","","","","56",",,,6","430",",,,6"
"USC00363706","1891-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","6",",6","2",",6","0",",6","","","","","","","","","","","11.4",",,6,11,","18.3",",,,6","","","370",",,,6"
"USC00363706","1891-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","333",",,,6"
"USC00363706","1891-06","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","257",",,,6"
"USC00363706","1891-07","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","6",",6","1",",6","","","","","","","","","","","34.5",",,6,02,","101.1",",,,6","","","300",",,,6"
"USC00363706","1891-08","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","6",",6","1",",6","","","","","","","","","","","29.2",",,6,05,","87.4",",,,6","","","205",",,,6"
"USC00363706","1891-09","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","1","","","","","","","","","","","","229",",,,6"
"USC00363706","1891-10","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","287",",,,6"
"USC00363706","1891-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","2","","","","","","","","","","","","276",",,,6"
"USC00363706","1891-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","2","","","","","","","","","","","","299",",,,6"
"USC00363706","1892-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","365",",,,6"
"USC00363706","1892-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","1","","","","","","","","","","","","374",",,,6"
"USC00363706","1892-03","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","405",",,,6"
"USC00363706","1892-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","382",",,,6"
"USC00363706","1892-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","339",",,,6"
"USC00363706","1892-06","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","265",",,,6"
"USC00363706","1892-07","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","248",",,,6"
"USC00363706","1892-08","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","224",",,,6"
"USC00363706","1892-09","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","162",",,,6"
"USC00363706","1892-10","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","153",",,,6"
"USC00363706","1892-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","12",",6","8",",6","1",",6","","","","","2","","","","","","33.0",",,6,18,","105.2",",,,6","","","347",",,,6"
"USC00363706","1892-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10",",6","4",",6","0",",6","","","","","1","","","","","","8.6",",,6,13,","29.6",",,,6","","","414",",,,6"
"USC00363706","1893-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8","1,6","4","1,6","1","1,6","","","0","1,6","1","","","","18","1,,6,09,","25.4","1,,6,01,","52.0","1,,,6","40","1,,,6","",""
"USC00363706","1893-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10",",6","6",",6","0",",6","","","","","","","","","","","13.0",",,6,10,","62.6",",,,6","","","395",",,,6"
"USC00363706","1893-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","2","","","","","","","","","","","","",""
"USC00363706","1893-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","16",",6","9",",6","2",",6","","","","","2","","","","","","40.1",",,6,04,","135.1",",,,6","","","",""
"USC00363706","1893-07","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","12",",6","6",",6","0",",6","","","","","","","","","","","13.0",",,6,08,","48.9",",,,6","","","",""
"USC00363706","1893-08","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","6",",6","1",",6","","","","","","","","","","","31.0",",,6,29,","93.8",",,,6","","","",""
"USC00363706","1893-09","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10",",6","4",",6","0",",6","","","","","","","","","","","15.0",",,6,14,","44.2",",,,6","","","",""
"USC00363706","1893-10","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","7",",6","0",",6","","","","","","","","","","","19.1",",,6,14,","82.6",",,,6","","","",""
"USC00363706","1893-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10","1,6","7","1,6","1","1,6","","","","","1","","","","","","30.5","1,,6,04,","64.5","1,,,6","","","",""
"USC00363706","1893-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","12",",6","6",",6","0",",6","","","","","1","","","","","","19.3",",,6,03,","48.5",",,,6","","","",""
"USC00363706","1894-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","12",",6","5",",6","0",",6","","","","","3","","","","","","13.5",",,6,29,","45.0",",,,6","","","",""
"USC00363706","1894-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","13",",6","9",",6","0",",6","","","","","","","","","","","18.8",",,6,09,","115.8",",,,6","","","",""
"USC00363706","1894-03","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","4",",6","0",",6","","","","","1","","","","","","11.2",",,6,23,","33.1",",,,6","","","",""
"USC00363706","1894-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","11",",6","5",",6","1",",6","","","","","","","","","","","26.4",",,6,11,","57.6",",,,6","","","",""
"USC00363706","1895-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","5",",6","3",",6","0",",6","","","","","","","","","","","6.1",",,6,08,","13.7",",,,6","","","",""
"USC00363706","1897-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","11",",6","11",",6","1",",6","","","","","","","","","","","26.9",",,6,14,","134.5",",,,6","","","",""
"USC00363706","1897-06","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","6",",6","0",",6","","","","","","","","","","","21.3",",,6,09,","46.5",",,,6","","","",""
"USC00363706","1897-07","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","12",",6","10",",6","1",",6","","","","","","","","","","","39.1",",,6,28,","93.7",",,,6","","","",""
"USC00363706","1897-08","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10",",6","6",",6","1",",6","","","","","","","","","","","35.6",",,6,24,","79.6",",,,6","","","",""
"USC00363706","1897-09","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","5",",6","4",",6","0",",6","","","","","","","","","","","17.3",",,6,24,","33.1",",,,6","","","",""
"USC00363706","1897-10","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","5",",6","0",",6","","","","","","","","","","","10.4",",,6,23,","34.3",",,,6","","","",""
"USC00363706","1897-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","14",",6","12",",6","1",",6","","","","","","","","","","","30.0",",,6,01,","103.9",",,,6","","","",""
"USC00363706","1897-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","11",",6","6",",6","1",",6","","","0",",6","","","","","5",",,6,31,+","27.9",",,6,05,","73.5",",,,6","10",",,,6","",""
"USC00363706","1898-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","14",",6","9",",6","0",",6","","","","","","","","","","","21.6",",,6,23,","89.8",",,,6","","","",""
"USC00363706","1898-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","3",",6","0",",6","","","0",",6","","","","","3",",,6,21,","21.1",",,6,21,","41.0",",,,6","3",",,,6","",""
"USC00363706","1898-03","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","17",",6","9",",6","0",",6","","","","","","","","","","","17.5",",,6,21,","77.5",",,,6","","","",""
"USC00363706","1898-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","14",",6","7",",6","0",",6","","","","","","","","","","","15.5",",,6,15,","49.7",",,,6","","","",""
"USC00363706","1898-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","20",",6","14",",6","1",",6","","","","","","","","","","","29.2",",,6,16,","155.7",",,,6","","","",""
"USC00363706","1898-06","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","10",",6","5",",6","0",",6","","","","","","","","","","","21.1",",,6,29,","50.4",",,,6","","","",""
