"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294385","1925-01","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","2",",6","0",",6","1",",6","","","","","","","","","","","","","178",",,6,09,","15.2",",,6,09,","","","20.3",",,,6","178",",,,6","","","",""
"USC00294385","1925-02","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","13",",,6,22,","0.8",",,6,22,","","","0.8",",,,6","13",",,,6","","","",""
"USC00294385","1925-03","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","0",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","0.0",",,6,31,+","","","0.0",",,,6","0",",,,6","","","",""
"USC00294385","1925-04","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","0",",6","0",",6","6",",6","","","","","","","-1.1",",6,23,","8",",,6,29,","","","","","","","8",",,,6","","","5.00",",,,6"
"USC00294385","1925-05","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","2",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","12.7",",,6,28,+","","","25.4",",,,6","0",",,,6","","","",""
"USC00294385","1925-06","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","0",",6","0",",6","0",",6","0",",","0",",6","","","","","","","7.2",",6,13,","0",",,6,30,+","0.5",",,6,18,","","","0.8",",,,6","0",",,,6","","","11.11",",,,6"
"USC00294385","1925-07","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","11",",6","6",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","","","0",",,6,31,+","25.9",",,6,28,","18.3",",6,19,","94.2",",,,6","0",",,,6","12.39",",,,6","",""
"USC00294385","1925-08","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","11",",6","6",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","15.2",",,6,06,","","","57.0",",,,6","0",",,,6","","","",""
"USC00294385","1925-09","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","9",",6","5",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","8.1",",,6,05,","","","27.8",",,,6","0",",,,6","","","",""
"USC00294385","1925-10","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","6",",6","3",",6","0",",6","1",",6","","","","","","","","","","","","","25",",,6,15,","20.3",",,6,15,","","","40.6",",,,6","25",",,,6","","","",""
