"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BRM00082361","1994-11","-3.786","-49.72","253.0","TUCURUI, BR","","","","","","","0","4,S","26","4,S","20","4,S","","","35.3","4,S,21,+","","","33.51","4,,,S"
"BRM00082361","1995-02","-3.786","-49.72","253.0","TUCURUI, BR","18","5,S","13","5,S","5","5,S","","","","","","","119.1","5,,S,09,","","","370.3","5,,,S","",""
"BRM00082361","1999-09","-3.786","-49.72","253.0","TUCURUI, BR","","","","","","","0","4,S","26","4,S","26","4,S","","","35.8","4,S,25,","","","34.00","4,,,S"
"BRM00082361","2000-01","-3.786","-49.72","253.0","TUCURUI, BR","23","1,S","19","1,S","5","1,S","","","","","","","67.1","1,,S,25,","","","347.8","1,,,S","",""
"BRM00082361","2000-02","-3.786","-49.72","253.0","TUCURUI, BR","23",",S","22",",S","9",",S","","","","","","","111.0",",,S,06,","","","540.2",",,,S","",""
"BRM00082361","2000-03","-3.786","-49.72","253.0","TUCURUI, BR","30",",S","28",",S","7",",S","0","5,S","26","5,S","15","5,S","62.0",",,S,22,","34.6","5,S,12,","500.7",",,,S","32.20","5,,,S"
"BRM00082361","2000-04","-3.786","-49.72","253.0","TUCURUI, BR","22","4,S","18","4,S","4","4,S","","","","","","","59.9","4,,S,04,","","","313.8","4,,,S","",""
"BRM00082361","2000-09","-3.786","-49.72","253.0","TUCURUI, BR","","","","","","","0","3,S","27","3,S","27","3,S","","","37.0","3,S,08,","","","34.57","3,,,S"
"BRM00082361","2000-10","-3.786","-49.72","253.0","TUCURUI, BR","","","","","","","0","4,S","27","4,S","27","4,S","","","36.3","4,S,24,","","","34.74","4,,,S"
"BRM00082361","2001-01","-3.786","-49.72","253.0","TUCURUI, BR","29",",S","27",",S","11",",S","0","4,S","27","4,S","24","4,S","56.9",",,S,13,","35.0","4,S,27,","634.9",",,,S","33.46","4,,,S"
"BRM00082361","2001-02","-3.786","-49.72","253.0","TUCURUI, BR","22","1,S","17","1,S","4","1,S","","","","","","","32.0","1,,S,23,","","","256.7","1,,,S","",""
"BRM00082361","2001-03","-3.786","-49.72","253.0","TUCURUI, BR","24",",S","19",",S","4",",S","","","","","","","183.9",",,S,01,","","","571.8",",,,S","",""
