"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GME00126886","2001-04","52.8167","9.9331","70.0","BERGEN, GM","20",",E","11",",E","0",",E","0",",","10",",,E,15,","17.1",",,E,25,","74.1",",,,E"
"GME00126886","2001-05","52.8167","9.9331","70.0","BERGEN, GM","7",",E","4",",E","0",",E","0",",","0",",,E,31,+","10.3",",,E,16,","25.4",",,,E"
"GME00126886","2001-06","52.8167","9.9331","70.0","BERGEN, GM","21",",E","12",",E","1",",E","0",",","0",",,E,30,+","37.2",",,E,30,","143.5",",,,E"
"GME00126886","2001-07","52.8167","9.9331","70.0","BERGEN, GM","13",",E","7",",E","0",",E","0",",","0",",,E,31,+","9.9",",,E,31,","50.4",",,,E"
"GME00126886","2001-08","52.8167","9.9331","70.0","BERGEN, GM","14","1,E","9","1,E","0","1,E","0","1,","0","1,,E,31,+","16.2","1,,E,07,","81.9","1,,,E"
"GME00126886","2001-09","52.8167","9.9331","70.0","BERGEN, GM","25","1,E","16","1,E","2","1,E","0","1,","0","1,,E,30,+","32.3","1,,E,09,","182.5","1,,,E"
"GME00126886","2001-10","52.8167","9.9331","70.0","BERGEN, GM","12",",E","7",",E","0",",E","0",",","0",",,E,31,+","7.4",",,E,21,","37.9",",,,E"
"GME00126886","2001-11","52.8167","9.9331","70.0","BERGEN, GM","17",",E","10",",E","0",",E","0",",","0",",,E,30,+","9.1",",,E,08,","64.9",",,,E"
"GME00126886","2001-12","52.8167","9.9331","70.0","BERGEN, GM","19",",E","10",",E","0",",E","5",",","110",",,E,31,","18.8",",,E,05,","116.9",",,,E"
"GME00126886","2002-01","52.8167","9.9331","70.0","BERGEN, GM","17",",E","6",",E","1",",E","6",",","110",",,E,01,","26.4",",,E,26,","71.5",",,,E"
"GME00126886","2002-02","52.8167","9.9331","70.0","BERGEN, GM","19",",E","13",",E","0",",E","1",",","40",",,E,22,","21.5",",,E,19,","123.8",",,,E"
"GME00126886","2002-03","52.8167","9.9331","70.0","BERGEN, GM","13",",E","7",",E","0",",E","0",",","0",",,E,31,+","10.3",",,E,06,","45.9",",,,E"
"GME00126886","2002-04","52.8167","9.9331","70.0","BERGEN, GM","13",",E","11",",E","0",",E","0",",","0",",,E,30,+","12.2",",,E,15,","73.5",",,,E"
"GME00126886","2002-05","52.8167","9.9331","70.0","BERGEN, GM","12",",E","7",",E","0",",E","0",",","0",",,E,31,+","23.0",",,E,03,","78.8",",,,E"
"GME00126886","2002-06","52.8167","9.9331","70.0","BERGEN, GM","17",",E","8",",E","0",",E","0",",","0",",,E,30,+","16.0",",,E,06,","76.3",",,,E"
"GME00126886","2002-07","52.8167","9.9331","70.0","BERGEN, GM","19",",E","10",",E","3",",E","0",",","0",",,E,31,+","64.0",",,E,17,","200.9",",,,E"
"GME00126886","2002-08","52.8167","9.9331","70.0","BERGEN, GM","12",",E","8",",E","3",",E","0",",","0",",,E,31,+","66.3",",,E,05,","190.8",",,,E"
