"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347002","2009-02","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","1.1",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","7",",0","0",",0","-8.9",",0,04,","0",",,0,28,+","0",",,0,28,+","17.3",",,0,10,","24.4",",0,26,+","","","  11.7",",,,0,3,2","283.9",",0","  17.8",",,,0,3,2","   0.6",",,,0,3,2","   6.1",",,,0,3,2","   5.4",",,,0,3,2","  12.0",",,,0,3,2","26.3",",,,0","0",",,,0","8.23",",0","15.01",",,,0","1.45",",,,0"
"USC00347002","2009-03","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","13.9",",0","6","5,0","4","5,0","1","5,0","0",",0","0",",0","0",",0","6",",0","0",",0","12",",0","0",",0","-8.3",",0,01,","0",",,0,31,+","0",",,0,31,+","32.0","5,,0,27,","30.0",",0,05,","","","  16.1",",,,0,3,2","225.5",",0","  23.9",",,,0,3,2","   2.2",",,,0,3,2","   5.6",",,,0,3,2","   8.4",",,,0,3,2","  15.8",",,,0,3,2","91.8",",a,,0","0",",,,0","11.51",",0","17.94",",,,0","5.08",",,,0"
"USC00347002","2009-04","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","27.3",",0","11",",0","5",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","16",",0","2",",0","-5.0",",0,07,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,29,","32.8",",0,22,","","","  19.4",",,,0,3,2","139.2",",0","  27.8",",,,0,3,2","   3.9",",,,0,3,2","  11.1",",,,0,3,2","  11.1",",,,0,3,2","  19.2",",,,0,3,2","117.4",",,,0","0",",,,0","14.60",",0","21.30",",,,0","7.91",",,,0"
"USC00347002","2009-05","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","57.3",",0","15",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","2",",0","7.8",",0,17,","0",",,0,31,+","0",",,0,31,+","18.8",",,0,15,","32.8",",0,31,","","","  22.8",",,,0,3,2","42.2",",0","  35.0",",,,0,3,2","  12.2",",,,0,3,2","  16.1",",,,0,3,2","  16.9",",,,0,3,2","  26.0",",,,0,3,2","87.5",",,,0","0",",,,0","18.82",",0","24.47",",,,0","13.17",",,,0"
"USC00347002","2009-06","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","258.4",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","13.3",",0,05,+","0",",,0,30,+","0",",,0,30,+","26.4",",,0,12,","38.9",",0,27,+","","","  28.9",",,,0,3,2","0.0",",0","  40.6",",,,0,3,2","  18.9",",,,0,3,2","  26.7",",,,0,3,2","  24.8",",,,0,3,2","  35.0",",,,0,3,2","49.4",",,,0","0",",,,0","26.95",",0","33.19",",,,0","20.70",",,,0"
"USC00347002","2009-07","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","276.9",",0","8",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","15.6",",0,23,","0",",,0,31,+","0",",,0,31,+","34.3",",,0,30,","43.9",",0,11,","0.0","0","  30.0",",,,0,3,2","0.0",",0","  40.6",",,,0,3,2","  21.1",",,,0,3,2","  27.2",",,,0,3,2","  25.2",",,,0,3,2","  34.6",",,,0,3,2","130.7",",,,0","0",",,,0","27.26",",0","33.98",",,,0","20.55",",,,0"
"USC00347002","2009-08","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","226.6",",0","14",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","11.7",",0,31,","0",",,0,31,+","0",",,0,31,+","32.5",",,0,18,","36.7",",0,10,+","0.3","0","  26.7",",,,0,3,2","0.3",",0","  38.9",",,,0,3,2","  20.6",",,,0,3,2","  28.9",",,,0,3,2","  23.7",",,,0,3,2","  33.8",",,,0,3,2","131.9",",,,0","0",",,,0","25.63",",0","31.55",",,,0","19.72",",,,0"
"USC00347002","2009-09","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","104.3",",0","15",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","7.2",",0,29,","0",",,0,30,+","0",",,0,30,+","19.1",",,0,08,","34.4",",0,27,","13.6","0","  23.9",",,,0,3,2","13.3",",0","  33.3",",,,0,3,2","  14.4",",,,0,3,2","  20.6",",,,0,3,2","  19.8",",,,0,3,2","  27.4",",,,0,3,2","87.3",",,,0","0",",,,0","21.36",",0","26.73",",,,0","16.00",",,,0"
"USC00347002","2009-10","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","2.5",",0","14",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","1.7",",0,24,","0",",,0,31,+","0",",,0,31,+","82.6",",,0,08,","27.2",",0,01,","201.8","0","  18.9",",,,0,3,2","188.2",",0","  28.9",",,,0,3,2","   6.7",",,,0,3,2","  12.8",",,,0,3,2","  11.8",",,,0,3,2","  17.8",",,,0,3,2","182.8",",,,0","0",",,,0","12.34",",0","17.31",",,,0","7.38",",,,0"
"USC00347002","2009-11","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","3.3",",0","8","1,0","2","1,0","0","1,0","0","1,0","0","1,0","0",",0","4",",0","0",",0","10",",0","0",",0","-3.3",",0,26,","0","1,,0,30,+","0","1,,0,30,+","7.6","1,,0,10,","26.7",",0,07,","389.2","0","  13.3",",,,0,3,2","187.4",",0","  21.7",",,,0,3,2","   3.3",",,,0,3,2","   8.3",",,,0,3,2","   9.0",",,,0,3,2","  15.1",",,,0,3,2","18.2","1,,,0","0","1,,,0","12.20",",0","18.05",",,,0","6.34",",,,0"
"USC00347002","2009-12","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","","","0.0",",0","","","","","","","","","","","0",",0","28",",0","3",",0","0",",0","0",",0","-13.3",",0,10,","","","","","","","20.6",",0,13,","921.6","0","   7.2",",,,0,3,2","532.4",",0","  10.6",",,,0,3,2","  -0.6",",,,0,3,2","   0.6",",,,0,3,2","   2.1",",,,0,3,2","   5.2",",,,0,3,2","","","","","1.16",",0","6.67",",,,0","-4.35",",,,0"
"USC00347002","2010-01","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","0.0","0","0.0",",0","","","","","","","","","","","0",",0","20",",0","10",",0","0",",0","0",",0","-16.1",",0,09,","","","","","","","18.9",",0,22,","1452.5","0","   7.8",",,,0,3,2","530.9",",0","  11.7",",,,0,3,2","   0.6",",,,0,3,2","   0.6",",,,0,3,2","   2.6",",,,0,3,2","   5.1",",,,0,3,2","","","","","1.21",",0","5.91",",,,0","-3.50",",,,0"
"USC00347002","2010-02","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","0.0","0","0.0",",0","","","","","","","0",",0","0",",0","0",",0","21",",0","1",",0","0",",0","0",",0","-7.8",",0,09,","0",",,0,28,+","0",",,0,28,+","","","16.1",",0,18,","1908.1","0","   3.9",",,,0,3,2","455.6",",0","  12.2",",,,0,3,2","   0.6",",,,0,3,2","   0.6",",,,0,3,2","   1.7",",,,0,3,2","   5.8",",,,0,3,2","34.2","4,a,,0","0",",,,0","2.06",",0","6.31",",,,0","-2.19",",,,0"
"USC00347002","2010-03","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","5.6","0","5.6",",0","4","3,0","2","3,0","1","3,0","0",",0","0",",0","0",",0","7",",0","0",",0","6",",0","0",",0","-3.3",",0,22,+","0",",,0,31,+","0",",,0,31,+","25.7","3,,0,08,","30.6",",0,31,","2182.9","0","  12.8",",,,0,3,2","274.8",",0","  23.9",",,,0,3,2","   1.7",",,,0,3,2","   5.6",",,,0,3,2","   6.1",",,,0,3,2","  13.4",",,,0,3,2","44.3",",a,,0","0",",,,0","9.65",",0","15.63",",,,0","3.67",",,,0"
"USC00347002","2010-04","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","31.1","0","25.5",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","1.1",",0,08,","0",",,0,30,+","0",",,0,30,+","14.5",",,0,18,","28.3",",0,04,","2261.8","0","  18.3",",,,0,3,2","78.9",",0","  27.2",",,,0,3,2","   7.2",",,,0,3,2","  14.4",",,,0,3,2","  13.5",",,,0,3,2","  22.0",",,,0,3,2","70.5",",,,0","0",",,,0","16.55",",0","22.39",",,,0","10.72",",,,0"
"USC00347002","2010-05","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","111.6","0","80.5",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","3",",0","5.0",",0,08,","0",",,0,31,+","0",",,0,31,+","98.8",",,0,19,","32.8",",0,30,","2289.6","0","  24.4",",,,0,3,2","27.8",",0","  36.7",",,,0,3,2","  13.3",",,,0,3,2","  16.7",",,,0,3,2","  18.1",",,,0,3,2","  26.8",",,,0,3,2","178.5",",,,0","0",",,,0","20.04",",0","25.93",",,,0","14.14",",,,0"
"USC00347002","2010-06","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","369.0","0","257.4",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","17.8",",0,15,+","0",",,0,30,+","0",",,0,30,+","68.6",",,0,14,","35.6",",0,26,+","2289.6","0","  28.9",",,,0,3,2","0.0",",0","  40.0",",,,0,3,2","  20.6",",,,0,3,2","  27.8",",,,0,3,2","  24.8",",,,0,3,2","  33.8",",,,0,3,2","106.0",",,,0","0",",,,0","26.91",",0","32.11",",,,0","21.72",",,,0"
"USC00347002","2010-07","35.99861","-97.04806","292.0","PERKINS 2 NNW MESONET, OK US","669.0","0","300.0",",0","10",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","20.0",",0,26,","0",",,0,31,+","0",",,0,31,+","44.2",",,0,06,","37.2",",0,31,+","0.0","0","  29.4",",,,0,3,2","0.0",",0","  40.6",",,,0,3,2","  22.8",",,,0,3,2","  27.8",",,,0,3,2","  26.6",",,,0,3,2","  35.9",",,,0,3,2","116.4",",,,0","0",",,,0","28.01",",0","33.31",",,,0","22.71",",,,0"
